wavelength (nanometers),power (peak normalized)
370, 0.000000
371, 0.000000
372, 0.000000
373, 0.000000
374, 0.000000
375, 0.000000
376, 0.000000
377, 0.000000
378, 0.000000
379, 0.000000
380, 0.013620
381, 0.011775
382, 0.009495
383, 0.007576
384, 0.006105
385, 0.004322
386, 0.004036
387, 0.004053
388, 0.004064
389, 0.004291
390, 0.004840
391, 0.005209
392, 0.005571
393, 0.006264
394, 0.007805
395, 0.010370
396, 0.013880
397, 0.018095
398, 0.022552
399, 0.027850
400, 0.033510
401, 0.038003
402, 0.041867
403, 0.044754
404, 0.046534
405, 0.046599
406, 0.044935
407, 0.041838
408, 0.038056
409, 0.033997
410, 0.029469
411, 0.024365
412, 0.020212
413, 0.016995
414, 0.014656
415, 0.012995
416, 0.012162
417, 0.011790
418, 0.011556
419, 0.011201
420, 0.010894
421, 0.010299
422, 0.009949
423, 0.009757
424, 0.011163
425, 0.014707
426, 0.023488
427, 0.035160
428, 0.049073
429, 0.064111
430, 0.080048
431, 0.094916
432, 0.107974
433, 0.116905
434, 0.123675
435, 0.126786
436, 0.126635
437, 0.120336
438, 0.110626
439, 0.098172
440, 0.084164
441, 0.069077
442, 0.054809
443, 0.042407
444, 0.033971
445, 0.027397
446, 0.023004
447, 0.019958
448, 0.018099
449, 0.016565
450, 0.015419
451, 0.014397
452, 0.013342
453, 0.012526
454, 0.012073
455, 0.011911
456, 0.011808
457, 0.011477
458, 0.011319
459, 0.010924
460, 0.010472
461, 0.009672
462, 0.008978
463, 0.009019
464, 0.009109
465, 0.009090
466, 0.008659
467, 0.008085
468, 0.007998
469, 0.007661
470, 0.007294
471, 0.007153
472, 0.007591
473, 0.009102
474, 0.010774
475, 0.014028
476, 0.018786
477, 0.025525
478, 0.034069
479, 0.043540
480, 0.053964
481, 0.065075
482, 0.076058
483, 0.086738
484, 0.096489
485, 0.103796
486, 0.108996
487, 0.112555
488, 0.113682
489, 0.112384
490, 0.108706
491, 0.103160
492, 0.096190
493, 0.088626
494, 0.080860
495, 0.072843
496, 0.066194
497, 0.059862
498, 0.053326
499, 0.046936
500, 0.041138
501, 0.036064
502, 0.032151
503, 0.029087
504, 0.026580
505, 0.024312
506, 0.022128
507, 0.020014
508, 0.017796
509, 0.016265
510, 0.015398
511, 0.014862
512, 0.014518
513, 0.013809
514, 0.013042
515, 0.012305
516, 0.011564
517, 0.011046
518, 0.010853
519, 0.010887
520, 0.010559
521, 0.010300
522, 0.010065
523, 0.010077
524, 0.010459
525, 0.011364
526, 0.012968
527, 0.015398
528, 0.018996
529, 0.023965
530, 0.033299
531, 0.048750
532, 0.072915
533, 0.107123
534, 0.150159
535, 0.203266
536, 0.265625
537, 0.340112
538, 0.416235
539, 0.490031
540, 0.556031
541, 0.614761
542, 0.656927
543, 0.684721
544, 0.691580
545, 0.681453
546, 0.652410
547, 0.609518
548, 0.548454
549, 0.485100
550, 0.419729
551, 0.359568
552, 0.299965
553, 0.248690
554, 0.202705
555, 0.166461
556, 0.137005
557, 0.115404
558, 0.098574
559, 0.086454
560, 0.073637
561, 0.063643
562, 0.054432
563, 0.047584
564, 0.042898
565, 0.038948
566, 0.036108
567, 0.034464
568, 0.035879
569, 0.038094
570, 0.042403
571, 0.048661
572, 0.056816
573, 0.067186
574, 0.079548
575, 0.093299
576, 0.107974
577, 0.122914
578, 0.138924
579, 0.154083
580, 0.167965
581, 0.180258
582, 0.191018
583, 0.200224
584, 0.208619
585, 0.214990
586, 0.217942
587, 0.218799
588, 0.218469
589, 0.217316
590, 0.214755
591, 0.210095
592, 0.204911
593, 0.200073
594, 0.194980
595, 0.188661
596, 0.181098
597, 0.174269
598, 0.170739
599, 0.170312
600, 0.182381
601, 0.209100
602, 0.265630
603, 0.346934
604, 0.451671
605, 0.559215
606, 0.675200
607, 0.774890
608, 0.868901
609, 0.936919
610, 0.984345
611, 1.000000
612, 0.995257
613, 0.954157
614, 0.888593
615, 0.795024
616, 0.700546
617, 0.596811
618, 0.511057
619, 0.432641
620, 0.377621
621, 0.342525
622, 0.326684
623, 0.315815
624, 0.311836
625, 0.304899
626, 0.300419
627, 0.292168
628, 0.281268
629, 0.266840
630, 0.250285
631, 0.231254
632, 0.208808
633, 0.185899
634, 0.164504
635, 0.144000
636, 0.126144
637, 0.109304
638, 0.094072
639, 0.083259
640, 0.075915
641, 0.071156
642, 0.069517
643, 0.070415
644, 0.071108
645, 0.070991
646, 0.071930
647, 0.073321
648, 0.074415
649, 0.075393
650, 0.074819
651, 0.073771
652, 0.071669
653, 0.069446
654, 0.066648
655, 0.064609
656, 0.062272
657, 0.058788
658, 0.055644
659, 0.053960
660, 0.052442
661, 0.051374
662, 0.050240
663, 0.049108
664, 0.047213
665, 0.045046
666, 0.042397
667, 0.040200
668, 0.038888
669, 0.036963
670, 0.034657
671, 0.033102
672, 0.031834
673, 0.030640
674, 0.029721
675, 0.029080
676, 0.029080
677, 0.029569
678, 0.030387
679, 0.031356
680, 0.032734
681, 0.034437
682, 0.035906
683, 0.037557
684, 0.039487
685, 0.041625
686, 0.043909
687, 0.047696
688, 0.051895
689, 0.055649
690, 0.059030
691, 0.061807
692, 0.063852
693, 0.065207
694, 0.065735
695, 0.065511
696, 0.067535
697, 0.070811
698, 0.076195
699, 0.082807
700, 0.091144
701, 0.100532
702, 0.111552
703, 0.121537
704, 0.131619
705, 0.139661
706, 0.147154
707, 0.151190
708, 0.151990
709, 0.146345
710, 0.137626
711, 0.126066
712, 0.112792
713, 0.097629
714, 0.084705
715, 0.072016
716, 0.061648
717, 0.052490
718, 0.044754
719, 0.038976
720, 0.035756
721, 0.033458
722, 0.032123
723, 0.031303
724, 0.031280
725, 0.030527
726, 0.030365
727, 0.031378
728, 0.033768
729, 0.037475
730, 0.042123
