Osram Fluorescent
Measured with: ,Ocean Optics
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:39 PM

CCT: ,3067.9
XYZt: ,1.12665,1.00000,0.57453

wavelength (nanometers),power (peak normalized)
350, 0.00021
352, 0.00292
354, 0.00311
356, -0.00213
358, 0.00259
360, 0.00897
362, 0.00337
364, 0.02092
366, 0.16149
368, 0.03106
370, 0.00303
372, 0.00699
374, -0.00145
376, 0.00404
378, 0.00459
380, 0.00679
382, 0.00815
384, 0.00290
386, 0.00457
388, 0.00451
390, 0.00455
392, 0.00456
394, 0.00021
396, 0.00722
398, 0.00096
400, 0.00453
402, 0.00738
404, 0.22518
406, 0.21538
408, 0.04563
410, 0.01663
412, 0.00929
414, 0.00781
416, 0.01133
418, 0.01533
420, 0.01425
422, 0.01592
424, 0.01869
426, 0.02014
428, 0.01957
430, 0.02537
432, 0.02844
434, 0.04639
436, 0.73729
438, 0.07084
440, 0.03215
442, 0.02993
444, 0.02810
446, 0.02907
448, 0.02785
450, 0.02801
452, 0.02992
454, 0.02775
456, 0.02779
458, 0.02609
460, 0.02565
462, 0.02473
464, 0.02484
466, 0.02342
468, 0.02471
470, 0.02090
472, 0.01987
474, 0.01953
476, 0.01800
478, 0.01908
480, 0.01850
482, 0.02790
484, 0.05095
486, 0.08944
488, 0.10171
490, 0.07836
492, 0.06718
494, 0.05048
496, 0.04044
498, 0.03154
500, 0.02382
502, 0.01593
504, 0.01240
506, 0.00849
508, 0.00709
510, 0.00714
512, 0.00571
514, 0.00571
516, 0.00431
518, 0.00435
520, 0.00435
522, 0.00359
524, 0.00290
526, 0.00291
528, 0.00437
530, 0.00437
532, 0.00908
534, 0.02356
536, 0.02463
538, 0.06192
540, 0.14948
542, 0.40806
544, 0.34297
546, 0.65839
548, 0.33376
550, 0.16589
552, 0.09455
554, 0.05247
556, 0.02806
558, 0.01533
560, 0.01229
562, 0.01077
564, 0.01077
566, 0.00775
568, 0.00776
570, 0.00778
572, 0.00469
574, 0.00627
576, 0.04055
578, 0.09520
580, 0.10800
582, 0.07735
584, 0.09520
586, 0.09387
588, 0.13114
590, 0.06194
592, 0.08762
594, 0.11161
596, 0.05694
598, 0.05762
600, 0.07823
602, 0.04504
604, 0.03333
606, 0.04510
608, 0.08467
610, 0.38616
612, 1.00000
614, 0.48378
616, 0.24546
618, 0.10692
620, 0.07961
622, 0.08369
624, 0.09435
626, 0.09772
628, 0.09326
630, 0.12349
632, 0.12854
634, 0.03710
636, 0.02052
638, 0.01710
640, 0.01367
642, 0.01381
644, 0.01557
646, 0.01383
648, 0.01423
650, 0.03509
652, 0.03544
654, 0.02348
656, 0.01638
658, 0.01663
660, 0.01156
662, 0.02179
664, 0.02245
666, 0.01246
668, 0.01256
670, 0.01079
672, 0.00934
674, 0.00904
676, 0.00790
678, 0.00830
680, 0.00909
682, 0.00910
684, 0.00914
686, 0.01348
688, 0.02984
690, 0.01620
692, 0.00924
694, 0.01880
696, 0.00929
698, 0.00560
700, 0.00373
702, 0.00385
704, 0.01123
706, 0.04150
708, 0.07742
710, 0.06779
712, 0.05912
714, 0.03526
716, 0.00743
718, 0.00190
720, 0.00190
722, 0.00382
724, 0.00192
726, 0.00238
728, 0.00192
730, 0.00576
732, 0.00689
