Ottlite HD
Measured with: ,Pr-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:39 PM

CCT: ,5817.8
XYZt: ,0.96427,1.00000,0.99800

wavelength (nanometers),power (peak normalized)
380, 0.01000
382, 0.00644
384, 0.00890
386, 0.01083
388, 0.00679
390, 0.01009
392, 0.00918
394, 0.02046
396, 0.03086
398, 0.03726
400, 0.05142
402, 0.10379
404, 0.12781
406, 0.12746
408, 0.08325
410, 0.03712
412, 0.02512
414, 0.02575
416, 0.03074
418, 0.03783
420, 0.04274
422, 0.05265
424, 0.06683
426, 0.08974
428, 0.12102
430, 0.16284
432, 0.28493
434, 0.50709
436, 0.57725
438, 0.48124
440, 0.26492
442, 0.16010
444, 0.17248
446, 0.18237
448, 0.19285
450, 0.19964
452, 0.20846
454, 0.21537
456, 0.22192
458, 0.22704
460, 0.23157
462, 0.23514
464, 0.23597
466, 0.23812
468, 0.23538
470, 0.23526
472, 0.23431
474, 0.23514
476, 0.23264
478, 0.23443
480, 0.24193
482, 0.25622
484, 0.28231
486, 0.30554
488, 0.30637
490, 0.29208
492, 0.27254
494, 0.25205
496, 0.23121
498, 0.21894
500, 0.20870
502, 0.19833
504, 0.18940
506, 0.18618
508, 0.18428
510, 0.18213
512, 0.18189
514, 0.17534
516, 0.17105
518, 0.16557
520, 0.15938
522, 0.15080
524, 0.14425
526, 0.13865
528, 0.13401
530, 0.13210
532, 0.13341
534, 0.14258
536, 0.17415
538, 0.26754
540, 0.40786
542, 0.62895
544, 0.89672
546, 0.91161
548, 0.74926
550, 0.41001
552, 0.20060
554, 0.13842
556, 0.10375
558, 0.08324
560, 0.07241
562, 0.06631
564, 0.06092
566, 0.05848
568, 0.05464
570, 0.05115
572, 0.05419
574, 0.10847
576, 0.18011
578, 0.22501
580, 0.22013
582, 0.18416
584, 0.17046
586, 0.17356
588, 0.16820
590, 0.16438
592, 0.15462
594, 0.14735
596, 0.13603
598, 0.12281
600, 0.11481
602, 0.10328
604, 0.10187
606, 0.18356
608, 0.53043
610, 0.89077
612, 1.00000
614, 0.79214
616, 0.44991
618, 0.24932
620, 0.16724
622, 0.15307
624, 0.15831
626, 0.16998
628, 0.18761
630, 0.18130
632, 0.15057
634, 0.09817
636, 0.05241
638, 0.04076
640, 0.03572
642, 0.03370
644, 0.03321
646, 0.03777
648, 0.04908
650, 0.05639
652, 0.05526
654, 0.04594
656, 0.03762
658, 0.03503
660, 0.03719
662, 0.03919
664, 0.03622
666, 0.02987
668, 0.02468
670, 0.02247
672, 0.02075
674, 0.01961
676, 0.01833
678, 0.01905
680, 0.01915
682, 0.02129
684, 0.02628
686, 0.03284
688, 0.03521
690, 0.03354
692, 0.02898
694, 0.02403
696, 0.01858
698, 0.01394
700, 0.01510
702, 0.02586
704, 0.05369
706, 0.08755
708, 0.11009
710, 0.10831
712, 0.08425
714, 0.05578
716, 0.02992
718, 0.01381
720, 0.00945
722, 0.00843
724, 0.00736
726, 0.00552
728, 0.00567
730, 0.00655
732, 0.00620
734, 0.00591
736, 0.00411
738, 0.00442
740, 0.00677
742, 0.00634
744, 0.00641
746, 0.00643
748, 0.00706
750, 0.00789
752, 0.00802
754, 0.00643
756, 0.00416
758, 0.00537
760, 0.00560
762, 0.00265
764, 0.00892
766, 0.00699
768, 0.00677
770, 0.00620
772, 0.00782
774, 0.00691
776, 0.00669
778, 0.00210
780, 0.00182
