Toshiba MP-AL32 Fluorescent
Measured with: ,AMPAS PR-705
Date measured: ,08-18-2010
File generated on: ,July 31,2012 11:31:39 PM

CCT: ,3124.0
XYZt: ,1.05414,1.00000,0.38199

wavelength (nanometers),power (peak normalized)
380, 0.01237
382, 0.00932
384, 0.00692
386, 0.00828
388, 0.01093
390, 0.01314
392, 0.02203
394, 0.02924
396, 0.04475
398, 0.05780
400, 0.07983
402, 0.16695
404, 0.21356
406, 0.20339
408, 0.12712
410, 0.04085
412, 0.02169
414, 0.01881
416, 0.01890
418, 0.02169
420, 0.02364
422, 0.02898
424, 0.04288
426, 0.06797
428, 0.10085
430, 0.14831
432, 0.30593
434, 0.60424
436, 0.69068
438, 0.54322
440, 0.23051
442, 0.07246
444, 0.07619
446, 0.07847
448, 0.08102
450, 0.08322
452, 0.08729
454, 0.09068
456, 0.09322
458, 0.09661
460, 0.10169
462, 0.10508
464, 0.10763
466, 0.11102
468, 0.11356
470, 0.11695
472, 0.12119
474, 0.12542
476, 0.12881
478, 0.13220
480, 0.13729
482, 0.14407
484, 0.15254
486, 0.16271
488, 0.16864
490, 0.17288
492, 0.17627
494, 0.17712
496, 0.17627
498, 0.17966
500, 0.18390
502, 0.18898
504, 0.19407
506, 0.20339
508, 0.21271
510, 0.22203
512, 0.23475
514, 0.24576
516, 0.25678
518, 0.26695
520, 0.27881
522, 0.28559
524, 0.29407
526, 0.30085
528, 0.30678
530, 0.31186
532, 0.31610
534, 0.31949
536, 0.32712
538, 0.34746
540, 0.38814
542, 0.56186
544, 0.83390
546, 1.00000
548, 0.94068
550, 0.57034
552, 0.36610
554, 0.35508
556, 0.35085
558, 0.35000
560, 0.35169
562, 0.35678
564, 0.36102
566, 0.36780
568, 0.37458
570, 0.38051
572, 0.39492
574, 0.47542
576, 0.56695
578, 0.61186
580, 0.57881
582, 0.50678
584, 0.46102
586, 0.46271
588, 0.46949
590, 0.47119
592, 0.47203
594, 0.47542
596, 0.48136
598, 0.48559
600, 0.49068
602, 0.49661
604, 0.50085
606, 0.51271
608, 0.53729
610, 0.55763
612, 0.57034
614, 0.56695
616, 0.56356
618, 0.56780
620, 0.57712
622, 0.58814
624, 0.59322
626, 0.59831
628, 0.60339
630, 0.60932
632, 0.60847
634, 0.59576
636, 0.58051
638, 0.56949
640, 0.56610
642, 0.56356
644, 0.56610
646, 0.57881
648, 0.60085
650, 0.62542
652, 0.64492
654, 0.66356
656, 0.68475
658, 0.70169
660, 0.69576
662, 0.65932
664, 0.60424
666, 0.55593
668, 0.51610
670, 0.47797
672, 0.44407
674, 0.41949
676, 0.40339
678, 0.38983
680, 0.37797
682, 0.36356
684, 0.35254
686, 0.34237
688, 0.33220
690, 0.32373
692, 0.31186
694, 0.29831
696, 0.28814
698, 0.27881
700, 0.26949
702, 0.26017
704, 0.25339
706, 0.24746
708, 0.24153
710, 0.22966
712, 0.22203
714, 0.21356
716, 0.20339
718, 0.19661
720, 0.18898
722, 0.18390
724, 0.17627
726, 0.16780
728, 0.16271
730, 0.15593
732, 0.15000
734, 0.14492
736, 0.14068
738, 0.13559
740, 0.13136
742, 0.12712
744, 0.12119
746, 0.11441
748, 0.11186
750, 0.10932
752, 0.10593
754, 0.10339
756, 0.09576
758, 0.09237
760, 0.08814
762, 0.08898
764, 0.08814
766, 0.08305
768, 0.07771
770, 0.07314
772, 0.07297
774, 0.07212
776, 0.06576
778, 0.06203
780, 0.06051
