Toshiba MP-AL55 Fluorescent
Measured with: ,AMPAS PR-705
Date measured: ,08-18-2010
File generated on: ,July 31,2012 11:31:39 PM

CCT: ,5727.9
XYZt: ,0.95148,1.00000,0.95591

wavelength (nanometers),power (peak normalized)
380, 0.00818
382, 0.00876
384, 0.00726
386, 0.00807
388, 0.00912
390, 0.00932
392, 0.01536
394, 0.02413
396, 0.03268
398, 0.04099
400, 0.05624
402, 0.11894
404, 0.15358
406, 0.14896
408, 0.09804
410, 0.04088
412, 0.02921
414, 0.03199
416, 0.03799
418, 0.04850
420, 0.05993
422, 0.07633
424, 0.09919
426, 0.13510
428, 0.18129
430, 0.24134
432, 0.40762
434, 0.70785
436, 0.81524
438, 0.70208
440, 0.42148
442, 0.27945
444, 0.29908
446, 0.31409
448, 0.33141
450, 0.34180
452, 0.35566
454, 0.36721
456, 0.37875
458, 0.38684
460, 0.39838
462, 0.40647
464, 0.41109
466, 0.41917
468, 0.42032
470, 0.42494
472, 0.42956
474, 0.43418
476, 0.43303
478, 0.43303
480, 0.43533
482, 0.43533
484, 0.43880
486, 0.44342
488, 0.43995
490, 0.43649
492, 0.43418
494, 0.42494
496, 0.41224
498, 0.40878
500, 0.40416
502, 0.39492
504, 0.38568
506, 0.37875
508, 0.37413
510, 0.36721
512, 0.36490
514, 0.35566
516, 0.35104
518, 0.34642
520, 0.34527
522, 0.33487
524, 0.33141
526, 0.32794
528, 0.32448
530, 0.31986
532, 0.31871
534, 0.31524
536, 0.31524
538, 0.32679
540, 0.35450
542, 0.51617
544, 0.86952
546, 1.00000
548, 0.89492
550, 0.52309
552, 0.32333
554, 0.31293
556, 0.30831
558, 0.30600
560, 0.30370
562, 0.30600
564, 0.30716
566, 0.31062
568, 0.31293
570, 0.31524
572, 0.32333
574, 0.39145
576, 0.47344
578, 0.51155
580, 0.47921
582, 0.40878
584, 0.35912
586, 0.35566
588, 0.35797
590, 0.35681
592, 0.35450
594, 0.35566
596, 0.35797
598, 0.35797
600, 0.36028
602, 0.36259
604, 0.36374
606, 0.36836
608, 0.37182
610, 0.37182
612, 0.37529
614, 0.37644
616, 0.37760
618, 0.38106
620, 0.38106
622, 0.37991
624, 0.37413
626, 0.37067
628, 0.36836
630, 0.36490
632, 0.36259
634, 0.36028
636, 0.35681
638, 0.35219
640, 0.34873
642, 0.34527
644, 0.34180
646, 0.33949
648, 0.33487
650, 0.32679
652, 0.32448
654, 0.31986
656, 0.31409
658, 0.30831
660, 0.30370
662, 0.29792
664, 0.29099
666, 0.28522
668, 0.27945
670, 0.27367
672, 0.26674
674, 0.25866
676, 0.25289
678, 0.24711
680, 0.24018
682, 0.23326
684, 0.22633
686, 0.22055
688, 0.21478
690, 0.21132
692, 0.20439
694, 0.19630
696, 0.18938
698, 0.18245
700, 0.17667
702, 0.17090
704, 0.16744
706, 0.16397
708, 0.15704
710, 0.15127
712, 0.14550
714, 0.14088
716, 0.13395
718, 0.12933
720, 0.12471
722, 0.12009
724, 0.11663
726, 0.11270
728, 0.10912
730, 0.10370
732, 0.09919
734, 0.09677
736, 0.09319
738, 0.09076
740, 0.08972
742, 0.08522
744, 0.08037
746, 0.08002
748, 0.07760
750, 0.07436
752, 0.07136
754, 0.07009
756, 0.06570
758, 0.06005
760, 0.06085
762, 0.06143
764, 0.05866
766, 0.05820
768, 0.05589
770, 0.05289
772, 0.04988
774, 0.04781
776, 0.04296
778, 0.04249
780, 0.03834
