wavelength (nanometers),power (peak normalized)
370, 0.000000
371, 0.000000
372, 0.000000
373, 0.000000
374, 0.000000
375, 0.000000
376, 0.000000
377, 0.000000
378, 0.000000
379, 0.000000
380, 0.023229
381, 0.022970
382, 0.022729
383, 0.022589
384, 0.022580
385, 0.024883
386, 0.025572
387, 0.026237
388, 0.026867
389, 0.027422
390, 0.027867
391, 0.028228
392, 0.028482
393, 0.028790
394, 0.029179
395, 0.029435
396, 0.029766
397, 0.030241
398, 0.030665
399, 0.031202
400, 0.031886
401, 0.032965
402, 0.034182
403, 0.035333
404, 0.036116
405, 0.036742
406, 0.037546
407, 0.038146
408, 0.038861
409, 0.039712
410, 0.040579
411, 0.041616
412, 0.042519
413, 0.043477
414, 0.044295
415, 0.045214
416, 0.046600
417, 0.047942
418, 0.049158
419, 0.050161
420, 0.051195
421, 0.052221
422, 0.053167
423, 0.054186
424, 0.055089
425, 0.056186
426, 0.057069
427, 0.057877
428, 0.059089
429, 0.060045
430, 0.060808
431, 0.061587
432, 0.062526
433, 0.063636
434, 0.064697
435, 0.065922
436, 0.067535
437, 0.069667
438, 0.071648
439, 0.073636
440, 0.076340
441, 0.078637
442, 0.080961
443, 0.083336
444, 0.085549
445, 0.087754
446, 0.089609
447, 0.091089
448, 0.092681
449, 0.094667
450, 0.096595
451, 0.098268
452, 0.100672
453, 0.103044
454, 0.105155
455, 0.107139
456, 0.108967
457, 0.110967
458, 0.113279
459, 0.115328
460, 0.116912
461, 0.118307
462, 0.119647
463, 0.120590
464, 0.121668
465, 0.123278
466, 0.124928
467, 0.126623
468, 0.129019
469, 0.131248
470, 0.133300
471, 0.135474
472, 0.137552
473, 0.139517
474, 0.141878
475, 0.144389
476, 0.146237
477, 0.147772
478, 0.149599
479, 0.150954
480, 0.152642
481, 0.154438
482, 0.155775
483, 0.157389
484, 0.159316
485, 0.160957
486, 0.162422
487, 0.164290
488, 0.166661
489, 0.168931
490, 0.171042
491, 0.172775
492, 0.175124
493, 0.178049
494, 0.180780
495, 0.183207
496, 0.185939
497, 0.188893
498, 0.191917
499, 0.194993
500, 0.197921
501, 0.200845
502, 0.204290
503, 0.207619
504, 0.210671
505, 0.213639
506, 0.216519
507, 0.219458
508, 0.222103
509, 0.224791
510, 0.227404
511, 0.230662
512, 0.233575
513, 0.235258
514, 0.237597
515, 0.240772
516, 0.244053
517, 0.247552
518, 0.250487
519, 0.253599
520, 0.256720
521, 0.259973
522, 0.262909
523, 0.266262
524, 0.270283
525, 0.272818
526, 0.274809
527, 0.276595
528, 0.278198
529, 0.280168
530, 0.282578
531, 0.284842
532, 0.286922
533, 0.289296
534, 0.292119
535, 0.295028
536, 0.298589
537, 0.302392
538, 0.306324
539, 0.310414
540, 0.314305
541, 0.317691
542, 0.321659
543, 0.325763
544, 0.328529
545, 0.330983
546, 0.333590
547, 0.336185
548, 0.338481
549, 0.340725
550, 0.343202
551, 0.346492
552, 0.349438
553, 0.351287
554, 0.353407
555, 0.356169
556, 0.360252
557, 0.364291
558, 0.368325
559, 0.372301
560, 0.376292
561, 0.379954
562, 0.383327
563, 0.386979
564, 0.391272
565, 0.395197
566, 0.399250
567, 0.401746
568, 0.404856
569, 0.408489
570, 0.411919
571, 0.415364
572, 0.418111
573, 0.421090
574, 0.424557
575, 0.427842
576, 0.430965
577, 0.434097
578, 0.437073
579, 0.439457
580, 0.441683
581, 0.444947
582, 0.448106
583, 0.452043
584, 0.455487
585, 0.458629
586, 0.461747
587, 0.465149
588, 0.468676
589, 0.472995
590, 0.477701
591, 0.481209
592, 0.483893
593, 0.485893
594, 0.488395
595, 0.491883
596, 0.495142
597, 0.498207
598, 0.501953
599, 0.505826
600, 0.509222
601, 0.511795
602, 0.514335
603, 0.516836
604, 0.520045
605, 0.523741
606, 0.526837
607, 0.530300
608, 0.534234
609, 0.537760
610, 0.540927
611, 0.543930
612, 0.547848
613, 0.553080
614, 0.557283
615, 0.561602
616, 0.564615
617, 0.567590
618, 0.570567
619, 0.572906
620, 0.574660
621, 0.577136
622, 0.580127
623, 0.582366
624, 0.584145
625, 0.586863
626, 0.589046
627, 0.590893
628, 0.593338
629, 0.595784
630, 0.599613
631, 0.603597
632, 0.606767
633, 0.609725
634, 0.613108
635, 0.616497
636, 0.619933
637, 0.623958
638, 0.628538
639, 0.632413
640, 0.636448
641, 0.640327
642, 0.644331
643, 0.648697
644, 0.651625
645, 0.654041
646, 0.656829
647, 0.660009
648, 0.663054
649, 0.666267
650, 0.669337
651, 0.671527
652, 0.672652
653, 0.674062
654, 0.675608
655, 0.678594
656, 0.681814
657, 0.684459
658, 0.686667
659, 0.688556
660, 0.690322
661, 0.691785
662, 0.693753
663, 0.695899
664, 0.698519
665, 0.701312
666, 0.704574
667, 0.707899
668, 0.711295
669, 0.715113
670, 0.719492
671, 0.724243
672, 0.729488
673, 0.734884
674, 0.740428
675, 0.745174
676, 0.750017
677, 0.754763
678, 0.758829
679, 0.762876
680, 0.765585
681, 0.768267
682, 0.771177
683, 0.774366
684, 0.777954
685, 0.780130
686, 0.781489
687, 0.782882
688, 0.783874
689, 0.785957
690, 0.788265
691, 0.791768
692, 0.794585
693, 0.796243
694, 0.798056
695, 0.799498
696, 0.803257
697, 0.808048
698, 0.812457
699, 0.816165
700, 0.818322
701, 0.820780
702, 0.823698
703, 0.827681
704, 0.832866
705, 0.836706
706, 0.840430
707, 0.843315
708, 0.846143
709, 0.849001
710, 0.852075
711, 0.855894
712, 0.859334
713, 0.862242
714, 0.864851
715, 0.866876
716, 0.868709
717, 0.870583
718, 0.872977
719, 0.875139
720, 0.877012
721, 0.879047
722, 0.881222
723, 0.884001
724, 0.886877
725, 0.889396
726, 0.892379
727, 0.897388
728, 0.901473
729, 0.903575
730, 0.904999
