ARRI 200W HMI
Measured with: ,PR-705
Date measured: ,08-19-2010
File generated on: ,July 31,2012 11:31:39 PM

CCT: ,5607.0
XYZt: ,1.00818,1.00000,1.04556

wavelength (nanometers),power (peak normalized)
380, 0.66857
382, 0.55357
384, 0.56571
386, 0.62214
388, 0.68500
390, 0.60500
392, 0.67571
394, 0.61857
396, 0.69214
398, 0.62929
400, 0.63286
402, 0.72143
404, 0.75000
406, 0.82143
408, 0.82857
410, 0.88571
412, 0.87143
414, 0.91429
416, 0.95000
418, 0.95714
420, 0.97857
422, 0.99286
424, 0.90714
426, 0.81429
428, 0.75000
430, 0.71357
432, 0.72857
434, 0.82143
436, 0.86429
438, 0.78571
440, 0.63214
442, 0.53000
444, 0.51286
446, 0.52500
448, 0.54357
450, 0.54929
452, 0.57714
454, 0.61000
456, 0.64857
458, 0.67857
460, 0.66786
462, 0.64429
464, 0.61571
466, 0.60857
468, 0.58500
470, 0.59071
472, 0.59143
474, 0.58286
476, 0.58214
478, 0.57500
480, 0.58857
482, 0.58000
484, 0.55571
486, 0.55571
488, 0.55786
490, 0.56714
492, 0.55929
494, 0.55714
496, 0.54643
498, 0.54857
500, 0.57143
502, 0.59929
504, 0.62071
506, 0.60643
508, 0.58000
510, 0.56357
512, 0.56214
514, 0.56000
516, 0.54143
518, 0.52000
520, 0.50643
522, 0.48643
524, 0.49571
526, 0.51214
528, 0.53857
530, 0.55286
532, 0.54929
534, 0.52643
536, 0.51000
538, 0.52143
540, 0.54357
542, 0.65857
544, 0.91429
546, 1.00000
548, 0.95000
550, 0.72143
552, 0.55571
554, 0.53786
556, 0.53357
558, 0.53571
560, 0.55500
562, 0.60786
564, 0.64786
566, 0.67071
568, 0.65714
570, 0.64357
572, 0.66286
574, 0.78571
576, 0.90000
578, 0.92857
580, 0.83571
582, 0.71214
584, 0.63357
586, 0.66286
588, 0.69429
590, 0.69500
592, 0.67286
594, 0.66571
596, 0.70071
598, 0.72143
600, 0.69357
602, 0.63643
604, 0.59071
606, 0.59143
608, 0.60643
610, 0.60571
612, 0.59929
614, 0.59071
616, 0.58500
618, 0.58214
620, 0.55929
622, 0.55857
624, 0.56500
626, 0.55214
628, 0.51929
630, 0.48357
632, 0.46571
634, 0.46357
636, 0.46857
638, 0.47357
640, 0.48357
642, 0.48071
644, 0.48429
646, 0.47429
648, 0.45500
650, 0.43571
652, 0.42571
654, 0.44143
656, 0.47286
658, 0.48714
660, 0.49786
662, 0.48857
664, 0.47857
666, 0.48929
668, 0.52000
670, 0.53857
672, 0.52786
674, 0.49714
676, 0.44929
678, 0.42500
680, 0.43000
682, 0.46143
684, 0.47429
686, 0.45286
688, 0.40857
690, 0.37357
692, 0.38071
694, 0.41714
696, 0.46143
698, 0.47286
700, 0.42714
702, 0.36786
704, 0.32286
706, 0.28429
708, 0.27429
710, 0.25857
712, 0.25286
714, 0.24643
716, 0.23929
718, 0.24857
720, 0.25643
722, 0.26714
724, 0.27500
726, 0.26929
728, 0.25929
730, 0.25429
732, 0.23643
734, 0.23214
736, 0.22429
738, 0.23714
740, 0.23786
742, 0.22357
744, 0.23714
746, 0.22214
748, 0.22714
750, 0.24071
752, 0.25143
754, 0.29714
756, 0.30714
758, 0.32214
760, 0.31000
762, 0.29786
764, 0.35071
766, 0.37786
768, 0.35429
770, 0.36357
772, 0.32214
774, 0.28286
776, 0.25929
778, 0.23071
780, 0.25000
