Aastro LED Light Ring at CCT 6360K
Measured with: ,AMPAS PR-705
Date measured: ,09-13-2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3400.6
XYZt: ,1.07042,1.00000,0.57229

wavelength (nanometers),power (peak normalized)
380, 0.01284
382, 0.00315
384, 0.00933
386, 0.00085
388, 0.00079
390, 0.00936
392, 0.00936
394, 0.00708
396, 0.00897
398, 0.00625
400, 0.00577
402, 0.00717
404, 0.00664
406, 0.00960
408, 0.00531
410, 0.00382
412, 0.00607
414, 0.00436
416, 0.00472
418, 0.00478
420, 0.00382
422, 0.00589
424, 0.00643
426, 0.00821
428, 0.00943
430, 0.01429
432, 0.01979
434, 0.02738
436, 0.03274
438, 0.04077
440, 0.05060
442, 0.06518
444, 0.08899
446, 0.12202
448, 0.16220
450, 0.21131
452, 0.28571
454, 0.36756
456, 0.45238
458, 0.53571
460, 0.62054
462, 0.67708
464, 0.70536
466, 0.72173
468, 0.70833
470, 0.70089
472, 0.69196
474, 0.68006
476, 0.65923
478, 0.63839
480, 0.61905
482, 0.59226
484, 0.56994
486, 0.54315
488, 0.51190
490, 0.48512
492, 0.46429
494, 0.43601
496, 0.41369
498, 0.40179
500, 0.39286
502, 0.38244
504, 0.37649
506, 0.37946
508, 0.38839
510, 0.40030
512, 0.41964
514, 0.43750
516, 0.45982
518, 0.48214
520, 0.50446
522, 0.51488
524, 0.52827
526, 0.53423
528, 0.53571
530, 0.53125
532, 0.52083
534, 0.50893
536, 0.49702
538, 0.48810
540, 0.47619
542, 0.46577
544, 0.45982
546, 0.44792
548, 0.43601
550, 0.42560
552, 0.41518
554, 0.41071
556, 0.40923
558, 0.40774
560, 0.40923
562, 0.41220
564, 0.41667
566, 0.42411
568, 0.43452
570, 0.44345
572, 0.45982
574, 0.47917
576, 0.50298
578, 0.53125
580, 0.56250
582, 0.60268
584, 0.65476
586, 0.72470
588, 0.80506
590, 0.88244
592, 0.94494
594, 0.97619
596, 0.96280
598, 0.89881
600, 0.83780
602, 0.79613
604, 0.77083
606, 0.76786
608, 0.77827
610, 0.78571
612, 0.79315
614, 0.79018
616, 0.78720
618, 0.79315
620, 0.80060
622, 0.81994
624, 0.85417
626, 0.90476
628, 0.96131
630, 1.00000
632, 0.99851
634, 0.93601
636, 0.81399
638, 0.68601
640, 0.57887
642, 0.49702
644, 0.44048
646, 0.39881
648, 0.36905
650, 0.34375
652, 0.32738
654, 0.31250
656, 0.29911
658, 0.28869
660, 0.27976
662, 0.27083
664, 0.26042
666, 0.25000
668, 0.23958
670, 0.22917
672, 0.21875
674, 0.20982
676, 0.20387
678, 0.19940
680, 0.19048
682, 0.18601
684, 0.18006
686, 0.17411
688, 0.16964
690, 0.16518
692, 0.16071
694, 0.15327
696, 0.14821
698, 0.14435
700, 0.13884
702, 0.13512
704, 0.13199
706, 0.12783
708, 0.12351
710, 0.11741
712, 0.11131
714, 0.10640
716, 0.10149
718, 0.09777
720, 0.09524
722, 0.09062
724, 0.08735
726, 0.08676
728, 0.08006
730, 0.07574
732, 0.07455
734, 0.07366
736, 0.06920
738, 0.06473
740, 0.06265
742, 0.06384
744, 0.05432
746, 0.05714
748, 0.05476
750, 0.05491
752, 0.05342
754, 0.05253
756, 0.05089
758, 0.04539
760, 0.04077
762, 0.03929
764, 0.04271
766, 0.04063
768, 0.04003
770, 0.04152
772, 0.03958
774, 0.03452
776, 0.03423
778, 0.02946
780, 0.03289
