Aastrolight
Measured with: ,Extracted from published curve using GraphClick
Date measured: ,07/14/2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5364.7
XYZt: ,0.87550,1.00000,0.72389

wavelength (nanometers),power (peak normalized)
400, 0.00000
4.238710e+02, 0.00220
4.344370e+02, 0.01396
4.381550e+02, 0.02719
4.410900e+02, 0.04996
4.434380e+02, 0.07494
4.450690e+02, 0.09846
4.454340e+02, 0.10066
4.473330e+02, 0.13299
4.475470e+02, 0.13446
4.491280e+02, 0.15797
4.493080e+02, 0.15944
4.511920e+02, 0.19618
4.513470e+02, 0.19618
4.528340e+02, 0.22777
4.540070e+02, 0.25496
4.551820e+02, 0.29023
4.563520e+02, 0.32990
4.565800e+02, 0.36076
4.582030e+02, 0.40485
4.589940e+02, 0.44747
4.596670e+02, 0.47612
4.609840e+02, 0.52902
4.617510e+02, 0.56209
4.621200e+02, 0.59001
4.627090e+02, 0.61719
4.633960e+02, 0.64364
4.640660e+02, 0.66936
4.650560e+02, 0.71124
4.663310e+02, 0.75827
4.664590e+02, 0.75239
4.686790e+02, 0.79574
4.710270e+02, 0.78913
4.733750e+02, 0.76855
4.757230e+02, 0.74871
4.780710e+02, 0.73108
4.804190e+02, 0.72079
4.827670e+02, 0.72814
4.851150e+02, 0.71418
4.874630e+02, 0.69361
4.898110e+02, 0.66642
4.921590e+02, 0.65320
4.945070e+02, 0.64291
4.968550e+02, 0.64658
4.992030e+02, 0.66642
5.015510e+02, 0.69361
5.038990e+02, 0.74137
5.062470e+02, 0.79574
5.085950e+02, 0.85746
5.109430e+02, 0.90816
5.132910e+02, 0.94930
5.156390e+02, 0.97943
5.179870e+02, 0.99339
5.203350e+02, 0.98677
5.226830e+02, 0.97281
5.250310e+02, 0.95591
5.273790e+02, 0.93240
5.297270e+02, 0.90154
5.320750e+02, 0.87068
5.344230e+02, 0.84717
5.367710e+02, 0.81999
5.391200e+02, 0.79574
5.414680e+02, 0.77223
5.438150e+02, 0.75533
5.461640e+02, 0.73475
5.485120e+02, 0.72079
5.508600e+02, 0.70757
5.532080e+02, 0.69361
5.555560e+02, 0.68699
5.579040e+02, 0.68038
5.602520e+02, 0.68038
5.626000e+02, 0.67671
5.649480e+02, 0.67671
5.672960e+02, 0.67671
5.696440e+02, 0.68406
5.719920e+02, 0.69067
5.743400e+02, 0.70096
5.766880e+02, 0.72079
5.790360e+02, 0.74137
5.813840e+02, 0.76855
5.837320e+02, 0.80602
5.860800e+02, 0.85746
5.884280e+02, 0.91477
5.907760e+02, 0.96914
5.931240e+02, 1.00000
5.954720e+02, 0.95224
5.978200e+02, 0.86774
6.001680e+02, 0.79941
6.025160e+02, 0.75827
6.048640e+02, 0.73843
6.072120e+02, 0.72814
6.095600e+02, 0.71418
6.119080e+02, 0.70757
6.142560e+02, 0.70757
6.166040e+02, 0.70757
6.189520e+02, 0.70757
6.213000e+02, 0.71785
6.236480e+02, 0.72814
6.259960e+02, 0.74871
6.283440e+02, 0.77223
6.306920e+02, 0.78913
6.330400e+02, 0.77223
6.353880e+02, 0.65687
6.377360e+02, 0.51727
6.400840e+02, 0.41514
6.424320e+02, 0.33358
6.447800e+02, 0.29243
6.471280e+02, 0.26157
6.494760e+02, 0.23806
6.518240e+02, 0.21749
6.608490e+02, 0.17708
6.718550e+02, 0.13593
680, 0.10066
