Arri L7-C - Tuned to match tungsten lamps
Measured with: ,PR 705
Date measured: ,31-May-2012
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3103.6
XYZt: ,1.08263,1.00000,0.45815

wavelength (nanometers),power (peak normalized)
380, 0.00728
382, 0.00754
384, 0.00642
386, 0.00384
388, 0.00497
390, 0.00499
392, 0.00774
394, 0.00645
396, 0.00731
398, 0.00494
400, 0.00513
402, 0.00609
404, 0.00579
406, 0.00706
408, 0.00937
410, 0.01040
412, 0.01329
414, 0.01705
416, 0.02153
418, 0.03105
420, 0.03893
422, 0.05104
424, 0.06572
426, 0.08281
428, 0.10302
430, 0.12918
432, 0.16077
434, 0.19034
436, 0.22757
438, 0.26874
440, 0.30474
442, 0.34038
444, 0.36696
446, 0.37662
448, 0.37481
450, 0.35367
452, 0.32196
454, 0.28472
456, 0.25204
458, 0.22008
460, 0.19088
462, 0.17001
464, 0.15337
466, 0.13887
468, 0.12419
470, 0.11555
472, 0.10979
474, 0.10704
476, 0.10601
478, 0.10843
480, 0.11420
482, 0.12002
484, 0.12848
486, 0.14150
488, 0.15358
490, 0.16783
492, 0.18550
494, 0.20734
496, 0.22658
498, 0.25162
500, 0.27859
502, 0.30414
504, 0.33072
506, 0.35850
508, 0.38357
510, 0.40501
512, 0.42797
514, 0.43914
516, 0.44730
518, 0.44971
520, 0.45122
522, 0.43914
524, 0.43159
526, 0.42465
528, 0.41709
530, 0.40985
532, 0.40381
534, 0.39746
536, 0.39384
538, 0.39444
540, 0.39142
542, 0.38991
544, 0.39082
546, 0.39203
548, 0.39293
550, 0.39625
552, 0.39837
554, 0.40260
556, 0.40652
558, 0.41166
560, 0.41528
562, 0.42102
564, 0.42646
566, 0.43250
568, 0.43824
570, 0.44397
572, 0.45122
574, 0.45817
576, 0.46421
578, 0.47176
580, 0.47690
582, 0.48354
584, 0.48898
586, 0.49864
588, 0.50710
590, 0.51284
592, 0.51857
594, 0.52522
596, 0.53579
598, 0.54123
600, 0.54666
602, 0.55482
604, 0.56146
606, 0.57264
608, 0.58260
610, 0.59136
612, 0.60646
614, 0.62126
616, 0.64120
618, 0.66626
620, 0.69435
622, 0.73301
624, 0.77711
626, 0.83056
628, 0.88886
630, 0.94805
632, 0.99185
634, 1.00000
636, 0.95500
638, 0.86771
640, 0.76593
642, 0.66747
644, 0.58562
646, 0.52431
648, 0.47599
650, 0.43582
652, 0.40834
654, 0.38538
656, 0.36424
658, 0.34733
660, 0.33223
662, 0.31803
664, 0.30323
666, 0.29046
668, 0.27970
670, 0.26654
672, 0.25319
674, 0.24204
676, 0.23153
678, 0.22108
680, 0.21142
682, 0.19985
684, 0.19145
686, 0.18297
688, 0.17303
690, 0.16590
692, 0.15690
694, 0.14896
696, 0.14252
698, 0.13597
700, 0.12902
702, 0.12238
704, 0.11486
706, 0.11024
708, 0.10314
710, 0.09777
712, 0.09323
714, 0.08807
716, 0.08454
718, 0.08112
720, 0.07699
722, 0.07303
724, 0.06717
726, 0.06427
728, 0.06125
730, 0.05666
732, 0.05509
734, 0.05273
736, 0.04974
738, 0.04687
740, 0.04397
742, 0.04186
744, 0.03830
746, 0.03960
748, 0.03784
750, 0.03818
752, 0.03525
754, 0.03093
756, 0.02949
758, 0.02920
760, 0.02759
762, 0.02860
764, 0.02551
766, 0.02480
768, 0.02579
770, 0.02487
772, 0.02219
774, 0.02278
776, 0.01950
778, 0.01781
780, 0.01665
