ARRI Locaster
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3218.4
XYZt: ,1.05409,1.00000,0.43378

wavelength (nanometers),power (peak normalized)
380, 0.00964
382, 0.00757
384, 0.00422
386, 0.00590
388, 0.00609
390, 0.00222
392, 0.00398
394, 0.00495
396, 0.00698
398, 0.00526
400, 0.00433
402, 0.00578
404, 0.00395
406, 0.00734
408, 0.00793
410, 0.00811
412, 0.01148
414, 0.01562
416, 0.01846
418, 0.02556
420, 0.03012
422, 0.03722
424, 0.04385
426, 0.05207
428, 0.06272
430, 0.07219
432, 0.08521
434, 0.09704
436, 0.11302
438, 0.12959
440, 0.14556
442, 0.16509
444, 0.18817
446, 0.21065
448, 0.23314
450, 0.24970
452, 0.26746
454, 0.27633
456, 0.28166
458, 0.28047
460, 0.26982
462, 0.25325
464, 0.23136
466, 0.20888
468, 0.17929
470, 0.15858
472, 0.14083
474, 0.12544
476, 0.10888
478, 0.09704
480, 0.08757
482, 0.08047
484, 0.07692
486, 0.07574
488, 0.07456
490, 0.07692
492, 0.08047
494, 0.08876
496, 0.09822
498, 0.11124
500, 0.12663
502, 0.14438
504, 0.16450
506, 0.18580
508, 0.20651
510, 0.22722
512, 0.25089
514, 0.26864
516, 0.28757
518, 0.30414
520, 0.32130
522, 0.33314
524, 0.34497
526, 0.35503
528, 0.36450
530, 0.37160
532, 0.37811
534, 0.38166
536, 0.38580
538, 0.39349
540, 0.39822
542, 0.40237
544, 0.40710
546, 0.40592
548, 0.40237
550, 0.39941
552, 0.39408
554, 0.39112
556, 0.38935
558, 0.38817
560, 0.38639
562, 0.38402
564, 0.38107
566, 0.37929
568, 0.37692
570, 0.37396
572, 0.37278
574, 0.36923
576, 0.36568
578, 0.36331
580, 0.36036
582, 0.35740
584, 0.35444
586, 0.35266
588, 0.35148
590, 0.34852
592, 0.34675
594, 0.34793
596, 0.35089
598, 0.35444
600, 0.36154
602, 0.37337
604, 0.38757
606, 0.41124
608, 0.44438
610, 0.48462
612, 0.53136
614, 0.58225
616, 0.64497
618, 0.72781
620, 0.81657
622, 0.91124
624, 0.97633
626, 1.00000
628, 0.95858
630, 0.85799
632, 0.72189
634, 0.57574
636, 0.44142
638, 0.34911
640, 0.28284
642, 0.23609
644, 0.20000
646, 0.17456
648, 0.15385
650, 0.13905
652, 0.12663
654, 0.11716
656, 0.10828
658, 0.10178
660, 0.09467
662, 0.08817
664, 0.08402
666, 0.07988
668, 0.07515
670, 0.07160
672, 0.06864
674, 0.06331
676, 0.06095
678, 0.05763
680, 0.05598
682, 0.05225
684, 0.05047
686, 0.04817
688, 0.04562
690, 0.04444
692, 0.04083
694, 0.03911
696, 0.03633
698, 0.03391
700, 0.03302
702, 0.03018
704, 0.02947
706, 0.02917
708, 0.02704
710, 0.02645
712, 0.02509
714, 0.02343
716, 0.02142
718, 0.01899
720, 0.02065
722, 0.01817
724, 0.02071
726, 0.01586
728, 0.01544
730, 0.01604
732, 0.01467
734, 0.01373
736, 0.01456
738, 0.01491
740, 0.01331
742, 0.01183
744, 0.01053
746, 0.01101
748, 0.01219
750, 0.01160
752, 0.00947
754, 0.00905
756, 0.01018
758, 0.00852
760, 0.00899
762, 0.01154
764, 0.00793
766, 0.00793
768, 0.00615
770, 0.00828
772, 0.01047
774, 0.01201
776, 0.01118
778, 0.00740
780, 0.00698
