ARRI Pax
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3133.0
XYZt: ,1.06289,1.00000,0.41394

wavelength (nanometers),power (peak normalized)
380, 0.00053
382, 0.00132
384, 0.00192
386, 0.00291
388, 0.00085
390, 0.00226
392, 0.00344
394, 0.00531
396, 0.00758
398, 0.00418
400, 0.00206
402, 0.00356
404, 0.00587
406, 0.00688
408, 0.00529
410, 0.00430
412, 0.00527
414, 0.00649
416, 0.00769
418, 0.00942
420, 0.01102
422, 0.01411
424, 0.01841
426, 0.02212
428, 0.02864
430, 0.03695
432, 0.04942
434, 0.06374
436, 0.07691
438, 0.09030
440, 0.10000
442, 0.11617
444, 0.13788
446, 0.16212
448, 0.18799
450, 0.21224
452, 0.23788
454, 0.25866
456, 0.27483
458, 0.28406
460, 0.28868
462, 0.28406
464, 0.27252
466, 0.25866
468, 0.23557
470, 0.21409
472, 0.19792
474, 0.18152
476, 0.16328
478, 0.14827
480, 0.13834
482, 0.12956
484, 0.12379
486, 0.11824
488, 0.11409
490, 0.11062
492, 0.10924
494, 0.11039
496, 0.11409
498, 0.12333
500, 0.13557
502, 0.15058
504, 0.17113
506, 0.19376
508, 0.22148
510, 0.24942
512, 0.28868
514, 0.32102
516, 0.35566
518, 0.38568
520, 0.41570
522, 0.43418
524, 0.44573
526, 0.45035
528, 0.45035
530, 0.44342
532, 0.42956
534, 0.41339
536, 0.39954
538, 0.39261
540, 0.38799
542, 0.38337
544, 0.37875
546, 0.36259
548, 0.33949
550, 0.31640
552, 0.29330
554, 0.27714
556, 0.26790
558, 0.25866
560, 0.25404
562, 0.24942
564, 0.24711
566, 0.24942
568, 0.25173
570, 0.25635
572, 0.26790
574, 0.28406
576, 0.30485
578, 0.33256
580, 0.36721
582, 0.41339
584, 0.47575
586, 0.55658
588, 0.63972
590, 0.71594
592, 0.75982
594, 0.76212
596, 0.70670
598, 0.60739
600, 0.51270
602, 0.43880
604, 0.38568
606, 0.36259
608, 0.36490
610, 0.38799
612, 0.41801
614, 0.45035
616, 0.49192
618, 0.55889
620, 0.64203
622, 0.75058
624, 0.86143
626, 0.95381
628, 1.00000
630, 0.96998
632, 0.85912
634, 0.69746
636, 0.51963
638, 0.39030
640, 0.30023
642, 0.23557
644, 0.18961
646, 0.15889
648, 0.13834
650, 0.12102
652, 0.11109
654, 0.10046
656, 0.09423
658, 0.08799
660, 0.08360
662, 0.07921
664, 0.07529
666, 0.07136
668, 0.06813
670, 0.06490
672, 0.06236
674, 0.06005
676, 0.05843
678, 0.05473
680, 0.05312
682, 0.05127
684, 0.04965
686, 0.04850
688, 0.04596
690, 0.04273
692, 0.04018
694, 0.04088
696, 0.03811
698, 0.03741
700, 0.03510
702, 0.03441
704, 0.03303
706, 0.03233
708, 0.03256
710, 0.03025
712, 0.02887
714, 0.02818
716, 0.02471
718, 0.02356
720, 0.02219
722, 0.02309
724, 0.02155
726, 0.01977
728, 0.02127
730, 0.01878
732, 0.01727
734, 0.01566
736, 0.01626
738, 0.01436
740, 0.01485
742, 0.01425
744, 0.01275
746, 0.01471
748, 0.01148
750, 0.01092
752, 0.01106
754, 0.01150
756, 0.01148
758, 0.01173
760, 0.01372
762, 0.01231
764, 0.01501
766, 0.01143
768, 0.01150
770, 0.01127
772, 0.00815
774, 0.00878
776, 0.00339
778, 0.00952
780, 0.00836
