Ayrton ICECOLOR 250 3G
Measured with: ,AMPAS PR-705
Date measured: ,07-25-12
File generated on: ,August 01,2012  5:40:12 PM

CCT: ,36335.5
XYZt: ,1.31426,1.00000,2.30028

wavelength (nanometers),power (peak normalized)
380, 0.00269
382, 0.00314
384, 0.00592
386, 0.00899
388, 0.00364
390, 0.01079
392, 0.00811
394, 0.00757
396, 0.00844
398, 0.00378
400, 0.00556
402, 0.00576
404, 0.00503
406, 0.00753
408, 0.00840
410, 0.01143
412, 0.01111
414, 0.01688
416, 0.02457
418, 0.03141
420, 0.04209
422, 0.05833
424, 0.07756
426, 0.10118
428, 0.13462
430, 0.17628
432, 0.22329
434, 0.28312
436, 0.36325
438, 0.44979
440, 0.54915
442, 0.67521
444, 0.79167
446, 0.89530
448, 0.97115
450, 1.00000
452, 0.97756
454, 0.91987
456, 0.82479
458, 0.71795
460, 0.62393
462, 0.54167
464, 0.45940
466, 0.38889
468, 0.33333
470, 0.28526
472, 0.24038
474, 0.20406
476, 0.17735
478, 0.15598
480, 0.13996
482, 0.12607
484, 0.11752
486, 0.11325
488, 0.11218
490, 0.11432
492, 0.11859
494, 0.12714
496, 0.13782
498, 0.14957
500, 0.16774
502, 0.18483
504, 0.20406
506, 0.22222
508, 0.24038
510, 0.25855
512, 0.27350
514, 0.28419
516, 0.29167
518, 0.29380
520, 0.29274
522, 0.28739
524, 0.28098
526, 0.27030
528, 0.25855
530, 0.24573
532, 0.23397
534, 0.22222
536, 0.21047
538, 0.19872
540, 0.18590
542, 0.17628
544, 0.16880
546, 0.15919
548, 0.15064
550, 0.14423
552, 0.13675
554, 0.13141
556, 0.12607
558, 0.12179
560, 0.11752
562, 0.11432
564, 0.11004
566, 0.10791
568, 0.10545
570, 0.10321
572, 0.10118
574, 0.10053
576, 0.09829
578, 0.09829
580, 0.09882
582, 0.09915
584, 0.09722
586, 0.09915
588, 0.09915
590, 0.10043
592, 0.10278
594, 0.10438
596, 0.10791
598, 0.11111
600, 0.11645
602, 0.12179
604, 0.13141
606, 0.13996
608, 0.15171
610, 0.16880
612, 0.18697
614, 0.21154
616, 0.24038
618, 0.27457
620, 0.32158
622, 0.37500
624, 0.43697
626, 0.50641
628, 0.58547
630, 0.66774
632, 0.74145
634, 0.78739
636, 0.77885
638, 0.71474
640, 0.60577
642, 0.48184
644, 0.36859
646, 0.27885
648, 0.20513
650, 0.15812
652, 0.12607
654, 0.10395
656, 0.08739
658, 0.07660
660, 0.06592
662, 0.06004
664, 0.05438
666, 0.05064
668, 0.04754
670, 0.04284
672, 0.04038
674, 0.03729
676, 0.03686
678, 0.03429
680, 0.03216
682, 0.03152
684, 0.02970
686, 0.02981
688, 0.02895
690, 0.02489
692, 0.02468
694, 0.02308
696, 0.02286
698, 0.02147
700, 0.02179
702, 0.02126
704, 0.02041
706, 0.01741
708, 0.01774
710, 0.01656
712, 0.01571
714, 0.01571
716, 0.01549
718, 0.01442
720, 0.01389
722, 0.01303
724, 0.01229
726, 0.01186
728, 0.00986
730, 0.00968
732, 0.00735
734, 0.00933
736, 0.01003
738, 0.00704
740, 0.00844
742, 0.00909
744, 0.00574
746, 0.00682
748, 0.00748
750, 0.00554
752, 0.00891
754, 0.00792
756, 0.00623
758, 0.00630
760, 0.00493
762, 0.00147
764, 0.00768
766, 0.00357
768, 0.00731
770, 0.00139
772, 0.00466
774, 0.00487
776, 0.00074
778, 0.00646
780, 0.00526
