Ayrton Wildsun 500C
Measured with: ,AMPAS PR-705
Date measured: ,07-25-12
File generated on: ,August 01,2012  5:40:12 PM

CCT: ,20896.3
XYZt: ,1.24681,1.00000,2.12635

wavelength (nanometers),power (peak normalized)
380, 0.00782
382, 0.00973
384, 0.00485
386, 0.00263
388, 0.00468
390, 0.00647
392, 0.00480
394, 0.00799
396, 0.00678
398, 0.00613
400, 0.00342
402, 0.00362
404, 0.00487
406, 0.00700
408, 0.00782
410, 0.01304
412, 0.01506
414, 0.02063
416, 0.02481
418, 0.03177
420, 0.04342
422, 0.06101
424, 0.08025
426, 0.10494
428, 0.13924
430, 0.17848
432, 0.22658
434, 0.28734
436, 0.36582
438, 0.44684
440, 0.54430
442, 0.66709
444, 0.78354
446, 0.88734
448, 0.96582
450, 1.00000
452, 0.97595
454, 0.91139
456, 0.80759
458, 0.68861
460, 0.58861
462, 0.50506
464, 0.42658
466, 0.36203
468, 0.31266
470, 0.26835
472, 0.23038
474, 0.19873
476, 0.17722
478, 0.15949
480, 0.14810
482, 0.13924
484, 0.13671
486, 0.13544
488, 0.13924
490, 0.14430
492, 0.15443
494, 0.16582
496, 0.17975
498, 0.19620
500, 0.21646
502, 0.23418
504, 0.25316
506, 0.27089
508, 0.28861
510, 0.30380
512, 0.31519
514, 0.32152
516, 0.32532
518, 0.32532
520, 0.31899
522, 0.31139
524, 0.30127
526, 0.29114
528, 0.27722
530, 0.26203
532, 0.24937
534, 0.23797
536, 0.22532
538, 0.21392
540, 0.20127
542, 0.19114
544, 0.18101
546, 0.17215
548, 0.16456
550, 0.15570
552, 0.15063
554, 0.14430
556, 0.13924
558, 0.13544
560, 0.13165
562, 0.12785
564, 0.12430
566, 0.12228
568, 0.11987
570, 0.11848
572, 0.11620
574, 0.11443
576, 0.11367
578, 0.11278
580, 0.11329
582, 0.11266
584, 0.11253
586, 0.11266
588, 0.11316
590, 0.11468
592, 0.11532
594, 0.11722
596, 0.11835
598, 0.12215
600, 0.12595
602, 0.12911
604, 0.13671
606, 0.14304
608, 0.15190
610, 0.16329
612, 0.17595
614, 0.19367
616, 0.21519
618, 0.24304
620, 0.27722
622, 0.31772
624, 0.36456
626, 0.42152
628, 0.48481
630, 0.55696
632, 0.64051
634, 0.73038
636, 0.79620
638, 0.81392
640, 0.77342
642, 0.68354
644, 0.56203
646, 0.44177
648, 0.32911
650, 0.24937
652, 0.19367
654, 0.15443
656, 0.12646
658, 0.10582
660, 0.08911
662, 0.07924
664, 0.07076
666, 0.06519
668, 0.05949
670, 0.05418
672, 0.05228
674, 0.04848
676, 0.04570
678, 0.04532
680, 0.04139
682, 0.03911
684, 0.03747
686, 0.03709
688, 0.03456
690, 0.03532
692, 0.03177
694, 0.03000
696, 0.02949
698, 0.02709
700, 0.02608
702, 0.02557
704, 0.02544
706, 0.02304
708, 0.02038
710, 0.02025
712, 0.01949
714, 0.01937
716, 0.01759
718, 0.01684
720, 0.01316
722, 0.01468
724, 0.01494
726, 0.01443
728, 0.01291
730, 0.01443
732, 0.01192
734, 0.01034
736, 0.01177
738, 0.01035
740, 0.01003
742, 0.00970
744, 0.01228
746, 0.00791
748, 0.01063
750, 0.00852
752, 0.00925
754, 0.01132
756, 0.00857
758, 0.00811
760, 0.00978
762, 0.00651
764, 0.00946
766, 0.00495
768, 0.00576
770, 0.00918
772, 0.00909
774, 0.01197
776, 0.00615
778, 0.00692
780, 0.01519
