Ayrton Wildsun 500K "Daylight"-ish
Measured with: ,AMPAS PR-705
Date measured: ,07-25-12
File generated on: ,August 01,2012  5:40:12 PM

CCT: ,6556.9
XYZt: ,0.97483,1.00000,1.13829

wavelength (nanometers),power (peak normalized)
380, 0.00608
382, 0.01152
384, 0.00625
386, 0.00845
388, 0.00622
390, 0.00721
392, 0.00919
394, 0.00774
396, 0.00862
398, 0.00862
400, 0.00678
402, 0.00643
404, 0.01293
406, 0.01682
408, 0.02074
410, 0.02795
412, 0.03816
414, 0.05194
416, 0.07279
418, 0.09823
420, 0.12898
422, 0.17491
424, 0.22367
426, 0.27986
428, 0.35124
430, 0.43110
432, 0.51237
434, 0.60424
436, 0.70671
438, 0.80212
440, 0.89399
442, 0.96820
444, 1.00000
446, 0.98940
448, 0.93286
450, 0.83746
452, 0.73498
454, 0.63604
456, 0.53710
458, 0.45583
460, 0.39576
462, 0.34523
464, 0.29929
466, 0.26007
468, 0.23074
470, 0.20530
472, 0.18339
474, 0.16572
476, 0.15265
478, 0.14488
480, 0.13710
482, 0.13180
484, 0.12933
486, 0.12968
488, 0.13180
490, 0.13887
492, 0.14700
494, 0.15936
496, 0.17314
498, 0.18834
500, 0.20813
502, 0.22792
504, 0.24841
506, 0.26996
508, 0.29152
510, 0.31378
512, 0.33463
514, 0.35336
516, 0.37456
518, 0.38869
520, 0.40636
522, 0.42049
524, 0.43463
526, 0.44523
528, 0.45583
530, 0.46643
532, 0.47350
534, 0.48057
536, 0.48763
538, 0.49117
540, 0.49470
542, 0.49823
544, 0.50177
546, 0.50177
548, 0.50177
550, 0.50530
552, 0.50177
554, 0.50177
556, 0.50177
558, 0.50177
560, 0.50177
562, 0.49823
564, 0.49470
566, 0.49470
568, 0.49117
570, 0.48763
572, 0.48410
574, 0.48057
576, 0.47703
578, 0.46996
580, 0.46643
582, 0.45936
584, 0.45230
586, 0.44876
588, 0.44170
590, 0.43463
592, 0.42756
594, 0.42049
596, 0.40989
598, 0.40283
600, 0.39576
602, 0.38869
604, 0.37809
606, 0.36749
608, 0.35689
610, 0.34912
612, 0.34028
614, 0.33074
616, 0.32085
618, 0.31201
620, 0.30247
622, 0.29293
624, 0.28375
626, 0.27491
628, 0.26678
630, 0.25724
632, 0.24806
634, 0.23958
636, 0.23074
638, 0.22297
640, 0.21555
642, 0.20813
644, 0.19929
646, 0.19293
648, 0.18410
650, 0.17845
652, 0.17067
654, 0.16325
656, 0.15654
658, 0.15124
660, 0.14523
662, 0.13781
664, 0.13180
666, 0.12615
668, 0.12155
670, 0.11625
672, 0.11131
674, 0.10671
676, 0.10071
678, 0.09611
680, 0.09187
682, 0.08834
684, 0.08481
686, 0.07986
688, 0.07668
690, 0.07350
692, 0.06926
694, 0.06714
696, 0.06396
698, 0.06078
700, 0.05830
702, 0.05548
704, 0.05159
706, 0.05053
708, 0.04594
710, 0.04488
712, 0.04240
714, 0.04028
716, 0.03993
718, 0.03675
720, 0.03604
722, 0.03138
724, 0.03120
726, 0.03095
728, 0.02873
730, 0.02650
732, 0.02668
734, 0.02551
736, 0.02463
738, 0.02307
740, 0.02219
742, 0.02304
744, 0.02155
746, 0.02233
748, 0.01951
750, 0.01883
752, 0.01678
754, 0.01721
756, 0.01399
758, 0.01710
760, 0.01389
762, 0.01120
764, 0.01343
766, 0.01247
768, 0.01403
770, 0.01484
772, 0.01389
774, 0.00936
776, 0.01247
778, 0.00986
780, 0.01265
