Ayrton Wildsun 500K "Tungsten"-ish
Measured with: ,AMPAS PR-705
Date measured: ,07-25-12
File generated on: ,August 01,2012  5:40:12 PM

CCT: ,2692.6
XYZt: ,1.12164,1.00000,0.30959

wavelength (nanometers),power (peak normalized)
380, 0.00801
382, 0.00203
384, 0.00441
386, 0.01244
388, 0.01294
390, 0.01336
392, 0.00662
394, 0.00684
396, 0.00908
398, 0.00840
400, 0.00719
402, 0.00820
404, 0.00950
406, 0.01118
408, 0.01134
410, 0.01563
412, 0.02193
414, 0.02664
416, 0.03840
418, 0.05076
420, 0.06605
422, 0.08739
424, 0.10924
426, 0.13529
428, 0.16723
430, 0.20252
432, 0.23866
434, 0.27815
436, 0.32185
438, 0.35882
440, 0.39580
442, 0.41933
444, 0.42353
446, 0.41261
448, 0.37899
450, 0.32857
452, 0.28319
454, 0.23866
456, 0.19748
458, 0.16471
460, 0.14202
462, 0.12353
464, 0.10840
466, 0.09748
468, 0.08655
470, 0.07958
472, 0.07328
474, 0.07008
476, 0.06681
478, 0.06681
480, 0.06765
482, 0.06857
484, 0.07076
486, 0.07361
488, 0.07958
490, 0.08908
492, 0.10000
494, 0.11176
496, 0.12521
498, 0.14202
500, 0.16471
502, 0.18403
504, 0.20588
506, 0.22857
508, 0.25378
510, 0.28151
512, 0.30588
514, 0.32857
516, 0.35462
518, 0.37815
520, 0.40168
522, 0.42353
524, 0.44538
526, 0.46471
528, 0.48403
530, 0.50336
532, 0.52017
534, 0.53697
536, 0.55210
538, 0.56723
540, 0.58235
542, 0.59664
544, 0.61008
546, 0.62353
548, 0.63697
550, 0.65042
552, 0.66218
554, 0.67563
556, 0.68824
558, 0.70168
560, 0.71681
562, 0.72941
564, 0.74286
566, 0.75630
568, 0.77143
570, 0.78487
572, 0.79832
574, 0.81261
576, 0.82605
578, 0.84034
580, 0.85714
582, 0.86555
584, 0.88235
586, 0.89916
588, 0.90756
590, 0.92437
592, 0.93277
594, 0.94118
596, 0.95798
598, 0.96639
600, 0.97479
602, 0.98319
604, 0.99160
606, 0.99160
608, 0.99160
610, 1.00000
612, 1.00000
614, 1.00000
616, 1.00000
618, 0.99160
620, 0.99160
622, 0.98319
624, 0.97479
626, 0.96639
628, 0.95798
630, 0.94958
632, 0.94118
634, 0.92437
636, 0.90756
638, 0.89076
640, 0.88235
642, 0.86555
644, 0.84874
646, 0.82605
648, 0.80756
650, 0.78655
652, 0.76471
654, 0.74706
656, 0.72605
658, 0.70588
660, 0.68403
662, 0.66218
664, 0.63697
666, 0.61765
668, 0.59496
670, 0.57395
672, 0.55294
674, 0.53193
676, 0.51092
678, 0.48992
680, 0.46975
682, 0.45294
684, 0.43361
686, 0.41429
688, 0.39664
690, 0.37815
692, 0.36050
694, 0.34370
696, 0.32857
698, 0.31176
700, 0.29916
702, 0.28655
704, 0.27227
706, 0.25714
708, 0.24538
710, 0.23277
712, 0.22269
714, 0.21092
716, 0.19916
718, 0.18824
720, 0.17899
722, 0.16807
724, 0.15966
726, 0.15126
728, 0.14286
730, 0.13697
732, 0.13193
734, 0.12269
736, 0.11429
738, 0.10756
740, 0.10336
742, 0.09832
744, 0.09496
746, 0.08739
748, 0.08487
750, 0.08261
752, 0.07773
754, 0.07345
756, 0.06924
758, 0.06529
760, 0.06714
762, 0.05983
764, 0.05782
766, 0.05521
768, 0.05235
770, 0.05723
772, 0.04840
774, 0.04689
776, 0.03857
778, 0.04210
780, 0.04336
