Ayrton Wildsun 500S
Measured with: ,AMPAS PR-705
Date measured: ,07-25-12
File generated on: ,August 01,2012  5:40:12 PM

CCT: ,242247.1
XYZt: ,1.18264,1.00000,2.33416

wavelength (nanometers),power (peak normalized)
380, 0.00634
382, 0.00984
384, 0.00249
386, 0.00545
388, 0.00862
390, 0.00365
392, 0.00687
394, 0.00601
396, 0.00335
398, 0.00662
400, 0.00369
402, 0.00621
404, 0.00655
406, 0.00973
408, 0.01013
410, 0.01502
412, 0.01995
414, 0.02594
416, 0.03873
418, 0.05176
420, 0.06948
422, 0.09871
424, 0.13028
426, 0.17371
428, 0.23005
430, 0.30164
432, 0.38028
434, 0.47418
436, 0.58920
438, 0.69601
440, 0.80399
442, 0.90962
444, 0.97300
446, 1.00000
448, 0.98239
450, 0.91901
452, 0.83451
454, 0.73826
456, 0.63028
458, 0.52700
460, 0.44718
462, 0.37793
464, 0.31338
466, 0.26056
468, 0.21831
470, 0.18310
472, 0.15376
474, 0.12911
476, 0.11244
478, 0.09977
480, 0.09026
482, 0.08333
484, 0.07993
486, 0.07864
488, 0.08087
490, 0.08310
492, 0.08791
494, 0.09730
496, 0.10575
498, 0.11854
500, 0.13380
502, 0.14906
504, 0.16667
506, 0.18545
508, 0.20540
510, 0.22653
512, 0.24648
514, 0.26643
516, 0.28286
518, 0.29812
520, 0.30869
522, 0.31690
524, 0.32042
526, 0.32042
528, 0.31690
530, 0.30869
532, 0.29812
534, 0.28638
536, 0.27347
538, 0.26056
540, 0.24531
542, 0.23122
544, 0.22066
546, 0.20892
548, 0.19718
550, 0.18662
552, 0.17723
554, 0.16901
556, 0.16197
558, 0.15376
560, 0.14671
562, 0.14085
564, 0.13498
566, 0.13028
568, 0.12676
570, 0.12207
572, 0.11972
574, 0.11561
576, 0.11232
578, 0.10939
580, 0.10669
582, 0.10528
584, 0.10117
586, 0.09930
588, 0.09859
590, 0.09660
592, 0.09507
594, 0.09401
596, 0.09319
598, 0.09343
600, 0.09413
602, 0.09448
604, 0.09648
606, 0.09777
608, 0.10164
610, 0.10528
612, 0.11068
614, 0.11737
616, 0.12559
618, 0.13732
620, 0.15141
622, 0.16901
624, 0.18897
626, 0.21596
628, 0.24883
630, 0.28991
632, 0.33451
634, 0.38850
636, 0.45070
638, 0.51995
640, 0.58333
642, 0.62441
644, 0.63028
646, 0.59390
648, 0.51878
650, 0.43075
652, 0.33803
654, 0.25704
656, 0.19366
658, 0.14789
660, 0.11491
662, 0.09190
664, 0.07230
666, 0.05892
668, 0.05094
670, 0.04366
672, 0.03732
674, 0.03357
676, 0.03052
678, 0.02735
680, 0.02465
682, 0.02254
684, 0.02160
686, 0.01995
688, 0.02054
690, 0.01854
692, 0.01831
694, 0.01749
696, 0.01749
698, 0.01514
700, 0.01397
702, 0.01338
704, 0.01350
706, 0.01526
708, 0.01420
710, 0.01171
712, 0.01209
714, 0.01158
716, 0.00884
718, 0.00984
720, 0.00940
722, 0.00923
724, 0.00769
726, 0.00783
728, 0.00773
730, 0.00739
732, 0.01043
734, 0.00511
736, 0.00819
738, 0.00725
740, 0.00653
742, 0.00636
744, 0.00735
746, 0.00766
748, 0.00619
750, 0.00710
752, 0.00670
754, 0.00586
756, 0.00506
758, 0.00567
760, 0.00831
762, 0.00840
764, 0.00849
766, 0.00432
768, 0.00381
770, 0.00485
772, 0.00508
774, 0.00715
776, 0.00487
778, 0.00254
780, 0.00773
