CineFire - Daylight
Measured with: ,AMPAS PR-705
Date measured: ,03-Jun-2013
File generated on: ,June 03,2013  5:51:40 PM

CCT: ,6392.1
XYZt: ,0.98701,1.00000,1.13116

wavelength (nanometers),power (peak normalized)
380, 0.00681
382, 0.00920
384, 0.00638
386, 0.00790
388, 0.00902
390, 0.01247
392, 0.00606
394, 0.01008
396, 0.00537
398, 0.00761
400, 0.00811
402, 0.00660
404, 0.00763
406, 0.00777
408, 0.00936
410, 0.01005
412, 0.01423
414, 0.01559
416, 0.01859
418, 0.02301
420, 0.02872
422, 0.03697
424, 0.04468
426, 0.05479
428, 0.07154
430, 0.08723
432, 0.10612
434, 0.13191
436, 0.16436
438, 0.19894
440, 0.23989
442, 0.29787
444, 0.35904
446, 0.43085
448, 0.52128
450, 0.63298
452, 0.73936
454, 0.84840
456, 0.93883
458, 0.99202
460, 1.00000
462, 0.96543
464, 0.89628
466, 0.81649
468, 0.74734
470, 0.68617
472, 0.63298
474, 0.58245
476, 0.53989
478, 0.49734
480, 0.45745
482, 0.41755
484, 0.39096
486, 0.37234
488, 0.36170
490, 0.35106
492, 0.34574
494, 0.34309
496, 0.34309
498, 0.34309
500, 0.34574
502, 0.34840
504, 0.35372
506, 0.35904
508, 0.36436
510, 0.37234
512, 0.37766
514, 0.38298
516, 0.38830
518, 0.39096
520, 0.39362
522, 0.39894
524, 0.40426
526, 0.40691
528, 0.40957
530, 0.41489
532, 0.41755
534, 0.42287
536, 0.42553
538, 0.42553
540, 0.42819
542, 0.43085
544, 0.43351
546, 0.43351
548, 0.43351
550, 0.43617
552, 0.43351
554, 0.43351
556, 0.43351
558, 0.43351
560, 0.43351
562, 0.43085
564, 0.43085
566, 0.42819
568, 0.42553
570, 0.42287
572, 0.41755
574, 0.41489
576, 0.41489
578, 0.41223
580, 0.40957
582, 0.40691
584, 0.40426
586, 0.40426
588, 0.40691
590, 0.40691
592, 0.40691
594, 0.40957
596, 0.40691
598, 0.40957
600, 0.40957
602, 0.40957
604, 0.40957
606, 0.40691
608, 0.40426
610, 0.40426
612, 0.40426
614, 0.40160
616, 0.40160
618, 0.39894
620, 0.39894
622, 0.39362
624, 0.39362
626, 0.39096
628, 0.38830
630, 0.38298
632, 0.37766
634, 0.37234
636, 0.36702
638, 0.36170
640, 0.35638
642, 0.35106
644, 0.34574
646, 0.33777
648, 0.32979
650, 0.32181
652, 0.31649
654, 0.30851
656, 0.30053
658, 0.29255
660, 0.28457
662, 0.27394
664, 0.26543
666, 0.25665
668, 0.24840
670, 0.24043
672, 0.23165
674, 0.22447
676, 0.21543
678, 0.20665
680, 0.19840
682, 0.19069
684, 0.18351
686, 0.17580
688, 0.16729
690, 0.16197
692, 0.15266
694, 0.14681
696, 0.13989
698, 0.13324
700, 0.12819
702, 0.12154
704, 0.11835
706, 0.10904
708, 0.10399
710, 0.10000
712, 0.09388
714, 0.08910
716, 0.08431
718, 0.08032
720, 0.07739
722, 0.07473
724, 0.06941
726, 0.06543
728, 0.06463
730, 0.06037
732, 0.05771
734, 0.05266
736, 0.04787
738, 0.04734
740, 0.04601
742, 0.04415
744, 0.04016
746, 0.04176
748, 0.03670
750, 0.03404
752, 0.03484
754, 0.03351
756, 0.03085
758, 0.02633
760, 0.02394
762, 0.02489
764, 0.02332
766, 0.02532
768, 0.02319
770, 0.02364
772, 0.02173
774, 0.02037
776, 0.01846
778, 0.01779
780, 0.02024
