CineFire - Tungsten
Measured with: ,AMPAS PR-705
Date measured: ,03-Jun-2013
File generated on: ,June 03,2013  5:51:43 PM

CCT: ,3502.6
XYZt: ,1.05702,1.00000,0.55854

wavelength (nanometers),power (peak normalized)
380, 0.00344
382, 0.00832
384, 0.01258
386, 0.01068
388, 0.00842
390, 0.00642
392, 0.01058
394, 0.01121
396, 0.00837
398, 0.01074
400, 0.00779
402, 0.01058
404, 0.00884
406, 0.00995
408, 0.01100
410, 0.01147
412, 0.01505
414, 0.01811
416, 0.02005
418, 0.02421
420, 0.02968
422, 0.03574
424, 0.04268
426, 0.05053
428, 0.06368
430, 0.07737
432, 0.09211
434, 0.11158
436, 0.13579
438, 0.16105
440, 0.19158
442, 0.23474
444, 0.28158
446, 0.33842
448, 0.41158
450, 0.49895
452, 0.58421
454, 0.67368
456, 0.74737
458, 0.79474
460, 0.80526
462, 0.78947
464, 0.74737
466, 0.70526
468, 0.66316
470, 0.62632
472, 0.59474
474, 0.56316
476, 0.53158
478, 0.50421
480, 0.47684
482, 0.45000
484, 0.43474
486, 0.42526
488, 0.42000
490, 0.42105
492, 0.42053
494, 0.42579
496, 0.43263
498, 0.44000
500, 0.45000
502, 0.46053
504, 0.47368
506, 0.48684
508, 0.49895
510, 0.51263
512, 0.52632
514, 0.53684
516, 0.55263
518, 0.56316
520, 0.57368
522, 0.58421
524, 0.59474
526, 0.60526
528, 0.61579
530, 0.62632
532, 0.63684
534, 0.64737
536, 0.65789
538, 0.66842
540, 0.67368
542, 0.68421
544, 0.68947
546, 0.70000
548, 0.70526
550, 0.71579
552, 0.72105
554, 0.72632
556, 0.73158
558, 0.74211
560, 0.74737
562, 0.75263
564, 0.75789
566, 0.76316
568, 0.76316
570, 0.76842
572, 0.77368
574, 0.77368
576, 0.78421
578, 0.78947
580, 0.79474
582, 0.80526
584, 0.81053
586, 0.82105
588, 0.83684
590, 0.85263
592, 0.86316
594, 0.87895
596, 0.88947
598, 0.90526
600, 0.91579
602, 0.92632
604, 0.93684
606, 0.94737
608, 0.95789
610, 0.96842
612, 0.97368
614, 0.97895
616, 0.98421
618, 0.98947
620, 0.99474
622, 1.00000
624, 1.00000
626, 1.00000
628, 1.00000
630, 0.99474
632, 0.98947
634, 0.98421
636, 0.97368
638, 0.96316
640, 0.95263
642, 0.94211
644, 0.92632
646, 0.91579
648, 0.89474
650, 0.87895
652, 0.85789
654, 0.84211
656, 0.82105
658, 0.80000
660, 0.77895
662, 0.75789
664, 0.73684
666, 0.71053
668, 0.68947
670, 0.66842
672, 0.64737
674, 0.62105
676, 0.60000
678, 0.57895
680, 0.55789
682, 0.53684
684, 0.51474
686, 0.49421
688, 0.47158
690, 0.45263
692, 0.43105
694, 0.41211
696, 0.39474
698, 0.37789
700, 0.36000
702, 0.34474
704, 0.32842
706, 0.31053
708, 0.29789
710, 0.28263
712, 0.26895
714, 0.25737
716, 0.24158
718, 0.23000
720, 0.21789
722, 0.20789
724, 0.19684
726, 0.18684
728, 0.17316
730, 0.16842
732, 0.16000
734, 0.14737
736, 0.14053
738, 0.13211
740, 0.12632
742, 0.11842
744, 0.11105
746, 0.10526
748, 0.10158
750, 0.09684
752, 0.09053
754, 0.08579
756, 0.08105
758, 0.07842
760, 0.07737
762, 0.07053
764, 0.06947
766, 0.06421
768, 0.06316
770, 0.06000
772, 0.05368
774, 0.05421
776, 0.05474
778, 0.04816
780, 0.04626
