Edison Daylight
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,8480.5
XYZt: ,1.01429,1.00000,1.42917

wavelength (nanometers),power (peak normalized)
380, 0.00000
382, 0.00000
384, 0.00000
386, 0.00000
388, 0.00000
390, 0.00000
392, 0.00000
394, 0.00000
396, 0.00000
398, 0.00000
400, 0.00637
402, 0.00814
404, 0.00814
406, 0.00814
408, 0.00946
410, 0.01023
412, 0.01169
414, 0.01371
416, 0.02049
418, 0.02802
420, 0.03396
422, 0.04505
424, 0.06140
426, 0.08153
428, 0.10597
430, 0.13988
432, 0.18307
434, 0.23305
436, 0.29561
438, 0.38159
440, 0.48907
442, 0.62002
444, 0.75290
446, 0.89883
448, 0.97060
450, 1.00000
452, 0.96026
454, 0.86932
456, 0.75294
458, 0.65581
460, 0.57709
462, 0.52411
464, 0.47716
466, 0.43426
468, 0.38958
470, 0.35182
472, 0.31290
474, 0.28714
476, 0.26551
478, 0.25231
480, 0.24710
482, 0.24571
484, 0.24551
486, 0.24793
488, 0.25012
490, 0.25831
492, 0.26641
494, 0.27366
496, 0.28292
498, 0.29415
500, 0.30434
502, 0.31522
504, 0.32383
506, 0.32879
508, 0.33584
510, 0.34099
512, 0.34329
514, 0.34583
516, 0.34672
518, 0.34800
520, 0.34837
522, 0.34837
524, 0.34680
526, 0.34481
528, 0.34481
530, 0.34433
532, 0.34160
534, 0.33940
536, 0.33642
538, 0.33504
540, 0.33296
542, 0.33099
544, 0.33060
546, 0.33003
548, 0.32876
550, 0.32656
552, 0.32527
554, 0.32349
556, 0.32205
558, 0.32017
560, 0.31695
562, 0.31639
564, 0.31492
566, 0.31285
568, 0.30995
570, 0.30689
572, 0.30396
574, 0.30268
576, 0.30026
578, 0.29848
580, 0.29501
582, 0.29152
584, 0.28995
586, 0.28796
588, 0.28663
590, 0.28441
592, 0.28441
594, 0.28339
596, 0.28171
598, 0.28264
600, 0.27907
602, 0.27907
604, 0.27907
606, 0.27907
608, 0.28167
610, 0.27993
612, 0.27907
614, 0.28174
616, 0.28319
618, 0.28130
620, 0.28264
622, 0.28106
624, 0.28215
626, 0.28087
628, 0.28596
630, 0.28081
632, 0.27857
634, 0.27603
636, 0.27539
638, 0.27360
640, 0.27191
642, 0.26722
644, 0.26340
646, 0.26047
648, 0.25665
650, 0.25461
652, 0.24969
654, 0.24248
656, 0.23781
658, 0.23318
660, 0.22809
662, 0.22230
664, 0.21523
666, 0.20956
668, 0.20246
670, 0.19772
672, 0.19304
674, 0.18533
676, 0.17951
678, 0.17359
680, 0.16795
682, 0.16071
684, 0.15719
686, 0.15035
688, 0.14383
690, 0.14001
692, 0.13302
694, 0.12920
696, 0.12171
698, 0.11732
700, 0.10939
702, 0.10572
704, 0.10073
706, 0.09673
708, 0.09164
710, 0.08759
712, 0.08322
714, 0.07986
716, 0.07436
718, 0.07135
720, 0.06703
722, 0.06449
724, 0.06105
726, 0.05792
728, 0.05669
730, 0.05252
732, 0.04997
734, 0.04708
736, 0.04472
738, 0.04211
740, 0.03890
742, 0.03567
744, 0.03567
746, 0.03305
748, 0.03212
750, 0.02984
752, 0.02767
754, 0.02767
756, 0.02727
758, 0.02397
760, 0.02324
762, 0.02243
764, 0.01989
766, 0.01969
768, 0.01901
770, 0.01596
772, 0.01524
774, 0.01524
776, 0.00000
778, 0.00000
780, 0.00000
