Edison Tungsten
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3133.4
XYZt: ,1.02926,1.00000,0.31104

wavelength (nanometers),power (peak normalized)
380, 0.00000
382, 0.00000
384, 0.00000
386, 0.00000
388, 0.00000
390, 0.00000
392, 0.00000
394, 0.00000
396, 0.00000
398, 0.00000
400, 0.00000
402, 0.00392
404, 0.00514
406, 0.00545
408, 0.00545
410, 0.00545
412, 0.00545
414, 0.00692
416, 0.01023
418, 0.01396
420, 0.01683
422, 0.02148
424, 0.02792
426, 0.03452
428, 0.04356
430, 0.05739
432, 0.06989
434, 0.09079
436, 0.11382
438, 0.14502
440, 0.18463
442, 0.22684
444, 0.27150
446, 0.31270
448, 0.33372
450, 0.33378
452, 0.31666
454, 0.29369
456, 0.27066
458, 0.25092
460, 0.23712
462, 0.22693
464, 0.22372
466, 0.21851
468, 0.21220
470, 0.20615
472, 0.20334
474, 0.20439
476, 0.20791
478, 0.21830
480, 0.22781
482, 0.24341
484, 0.26215
486, 0.28118
488, 0.30380
490, 0.32859
492, 0.35030
494, 0.37667
496, 0.40430
498, 0.42739
500, 0.45177
502, 0.47644
504, 0.49517
506, 0.51566
508, 0.53258
510, 0.54731
512, 0.56263
514, 0.57496
516, 0.58896
518, 0.59493
520, 0.59982
522, 0.60572
524, 0.61450
526, 0.61957
528, 0.62611
530, 0.62919
532, 0.63361
534, 0.63903
536, 0.64166
538, 0.64453
540, 0.64900
542, 0.65339
544, 0.65672
546, 0.66312
548, 0.66744
550, 0.67199
552, 0.67762
554, 0.68164
556, 0.68574
558, 0.69385
560, 0.69726
562, 0.70147
564, 0.70453
566, 0.70883
568, 0.71535
570, 0.72149
572, 0.72572
574, 0.72781
576, 0.73311
578, 0.73840
580, 0.74382
582, 0.75188
584, 0.75930
586, 0.76735
588, 0.77525
590, 0.78566
592, 0.79627
594, 0.80609
596, 0.81815
598, 0.83216
600, 0.84014
602, 0.85383
604, 0.86640
606, 0.87961
608, 0.89288
610, 0.90639
612, 0.91907
614, 0.93269
616, 0.94520
618, 0.95708
620, 0.96754
622, 0.97400
624, 0.98205
626, 0.99011
628, 0.99502
630, 0.99994
632, 1.00000
634, 1.00000
636, 0.99946
638, 0.99765
640, 0.99165
642, 0.98619
644, 0.97818
646, 0.97051
648, 0.95848
650, 0.94619
652, 0.93391
654, 0.91910
656, 0.90183
658, 0.87869
660, 0.85878
662, 0.83884
664, 0.81826
666, 0.79446
668, 0.77547
670, 0.75120
672, 0.72958
674, 0.70360
676, 0.68312
678, 0.66159
680, 0.63903
682, 0.61767
684, 0.59302
686, 0.57085
688, 0.55197
690, 0.52924
692, 0.50413
694, 0.48617
696, 0.46156
698, 0.44365
700, 0.42351
702, 0.40102
704, 0.38505
706, 0.36755
708, 0.34974
710, 0.33377
712, 0.31825
714, 0.30042
716, 0.28517
718, 0.26845
720, 0.25642
722, 0.23798
724, 0.22603
726, 0.21521
728, 0.20377
730, 0.19182
732, 0.18073
734, 0.17079
736, 0.16074
738, 0.15552
740, 0.14528
742, 0.13423
744, 0.12765
746, 0.12257
748, 0.11496
750, 0.10702
752, 0.10031
754, 0.09683
756, 0.09014
758, 0.08403
760, 0.08035
762, 0.07548
764, 0.07199
766, 0.06713
768, 0.06160
770, 0.05854
772, 0.05485
774, 0.00000
776, 0.00000
778, 0.00000
780, 0.00000
