Kelvin Tile
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3091.2
XYZt: ,1.09967,1.00000,0.50383

wavelength (nanometers),power (peak normalized)
380, 0.00447
382, 0.00000
384, 0.00545
386, 0.00162
388, 0.00451
390, 0.00508
392, 0.00318
394, 0.00115
396, 0.00278
398, 0.00340
400, 0.00152
402, 0.00366
404, 0.00383
406, 0.00287
408, 0.00063
410, 0.00151
412, 0.00170
414, 0.00253
416, 0.00263
418, 0.00206
420, 0.00391
422, 0.00488
424, 0.00581
426, 0.00760
428, 0.00923
430, 0.01154
432, 0.01715
434, 0.02077
436, 0.02829
438, 0.03691
440, 0.04715
442, 0.06016
444, 0.07764
446, 0.10041
448, 0.12398
450, 0.15203
452, 0.18699
454, 0.22764
456, 0.26626
458, 0.29553
460, 0.32236
462, 0.32927
464, 0.31911
466, 0.30081
468, 0.27195
470, 0.23699
472, 0.21057
474, 0.18821
476, 0.16667
478, 0.14878
480, 0.13537
482, 0.12398
484, 0.11423
486, 0.10650
488, 0.10081
490, 0.09878
492, 0.09797
494, 0.10000
496, 0.10488
498, 0.11057
500, 0.11911
502, 0.12846
504, 0.14187
506, 0.15732
508, 0.17398
510, 0.19390
512, 0.21829
514, 0.24350
516, 0.26626
518, 0.28821
520, 0.30488
522, 0.31829
524, 0.32480
526, 0.32724
528, 0.32358
530, 0.31423
532, 0.30407
534, 0.28862
536, 0.27480
538, 0.26301
540, 0.25081
542, 0.23943
544, 0.22886
546, 0.22073
548, 0.21463
550, 0.20976
552, 0.20650
554, 0.20366
556, 0.20447
558, 0.20650
560, 0.21016
562, 0.21585
564, 0.22358
566, 0.23211
568, 0.24187
570, 0.25163
572, 0.26220
574, 0.27195
576, 0.28252
578, 0.29065
580, 0.29593
582, 0.30122
584, 0.30407
586, 0.30528
588, 0.30528
590, 0.30285
592, 0.29797
594, 0.29390
596, 0.28821
598, 0.28211
600, 0.27724
602, 0.27358
604, 0.27154
606, 0.27398
608, 0.27927
610, 0.28699
612, 0.29919
614, 0.31626
616, 0.34065
618, 0.37398
620, 0.41463
622, 0.47154
624, 0.54472
626, 0.63008
628, 0.73171
630, 0.84146
632, 0.93902
634, 1.00000
636, 0.97967
638, 0.86585
640, 0.71138
642, 0.55285
644, 0.42276
646, 0.32520
648, 0.25203
650, 0.19350
652, 0.15203
654, 0.12358
656, 0.10041
658, 0.08496
660, 0.07236
662, 0.06260
664, 0.05650
666, 0.05041
668, 0.04593
670, 0.04187
672, 0.03776
674, 0.03528
676, 0.03309
678, 0.03175
680, 0.02943
682, 0.02809
684, 0.02671
686, 0.02467
688, 0.02545
690, 0.02415
692, 0.02110
694, 0.02061
696, 0.01837
698, 0.02033
700, 0.01825
702, 0.01691
704, 0.01695
706, 0.01443
708, 0.01545
710, 0.01386
712, 0.01366
714, 0.01329
716, 0.01098
718, 0.01150
720, 0.01215
722, 0.01224
724, 0.01171
726, 0.01126
728, 0.01089
730, 0.00923
732, 0.00935
734, 0.00919
736, 0.00744
738, 0.00894
740, 0.00732
742, 0.00833
744, 0.00797
746, 0.00724
748, 0.00768
750, 0.00549
752, 0.00667
754, 0.00744
756, 0.00463
758, 0.00394
760, 0.00557
762, 0.00359
764, 0.00606
766, 0.00638
768, 0.00520
770, 0.00703
772, 0.00504
774, 0.00577
776, 0.00369
778, 0.00602
780, 0.00170
