Generic white LED
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,2889.1
XYZt: ,1.13066,1.00000,0.48153

wavelength (nanometers),power (peak normalized)
380, 0.00190
382, 0.00942
384, 0.00934
386, 0.00667
388, 0.01592
390, 0.00888
392, 0.00957
394, 0.01160
396, 0.00482
398, 0.00602
400, 0.00866
402, 0.00891
404, 0.01101
406, 0.00627
408, 0.00664
410, 0.00515
412, 0.00451
414, 0.00707
416, 0.00589
418, 0.00656
420, 0.00874
422, 0.01067
424, 0.01218
426, 0.01554
428, 0.02112
430, 0.02592
432, 0.03296
434, 0.04608
436, 0.05744
438, 0.07168
440, 0.09264
442, 0.11856
444, 0.15632
446, 0.20480
448, 0.26080
450, 0.32480
452, 0.40480
454, 0.49280
456, 0.57600
458, 0.64000
460, 0.69440
462, 0.72000
464, 0.71200
466, 0.68800
468, 0.64640
470, 0.59200
472, 0.55040
474, 0.51200
476, 0.46880
478, 0.43200
480, 0.39520
482, 0.36640
484, 0.33600
486, 0.30720
488, 0.28320
490, 0.26560
492, 0.25440
494, 0.24480
496, 0.23680
498, 0.23360
500, 0.23360
502, 0.23200
504, 0.23360
506, 0.23680
508, 0.24320
510, 0.24960
512, 0.25920
514, 0.26720
516, 0.27680
518, 0.28640
520, 0.29760
522, 0.30880
524, 0.32160
526, 0.33600
528, 0.35040
530, 0.36320
532, 0.38080
534, 0.39840
536, 0.41600
538, 0.43680
540, 0.45920
542, 0.48320
544, 0.50720
546, 0.53120
548, 0.55360
550, 0.57760
552, 0.60160
554, 0.62880
556, 0.65440
558, 0.68160
560, 0.70720
562, 0.73440
564, 0.76320
566, 0.78880
568, 0.81280
570, 0.83520
572, 0.86080
574, 0.88320
576, 0.90400
578, 0.92320
580, 0.93760
582, 0.95520
584, 0.96640
586, 0.97920
588, 0.99040
590, 0.99360
592, 0.99680
594, 1.00000
596, 0.99520
598, 0.99040
600, 0.98400
602, 0.97760
604, 0.96800
606, 0.96160
608, 0.95680
610, 0.94560
612, 0.93440
614, 0.92000
616, 0.90560
618, 0.89440
620, 0.87680
622, 0.86880
624, 0.84320
626, 0.83200
628, 0.81760
630, 0.79840
632, 0.78080
634, 0.76640
636, 0.74880
638, 0.72640
640, 0.70880
642, 0.68800
644, 0.67040
646, 0.65760
648, 0.63680
650, 0.61760
652, 0.59680
654, 0.57600
656, 0.55680
658, 0.53760
660, 0.52160
662, 0.50080
664, 0.48320
666, 0.46240
668, 0.44480
670, 0.42560
672, 0.40800
674, 0.39040
676, 0.37440
678, 0.36160
680, 0.34720
682, 0.33760
684, 0.32800
686, 0.31840
688, 0.30720
690, 0.30080
692, 0.28800
694, 0.27840
696, 0.26720
698, 0.25760
700, 0.24960
702, 0.24160
704, 0.23200
706, 0.22560
708, 0.21760
710, 0.20800
712, 0.20000
714, 0.19200
716, 0.18240
718, 0.17600
720, 0.16960
722, 0.15968
724, 0.15824
726, 0.15216
728, 0.14560
730, 0.13968
732, 0.13504
734, 0.12864
736, 0.12352
738, 0.12224
740, 0.11408
742, 0.11248
744, 0.10176
746, 0.10832
748, 0.10368
750, 0.10368
752, 0.09552
754, 0.09120
756, 0.08784
758, 0.08080
760, 0.08080
762, 0.07760
764, 0.07296
766, 0.07440
768, 0.07200
770, 0.06960
772, 0.06880
774, 0.06624
776, 0.06656
778, 0.05584
780, 0.05984
