Helios D8
Measured with: ,AMPAS PR-705
Date measured: ,04-Sep-2012
File generated on: ,September 04,2012 12:09:05 PM

CCT: ,5234.2
XYZt: ,0.97619,1.00000,0.90450

wavelength (nanometers),power (peak normalized)
380, 0.00688
382, 0.00338
384, 0.00165
386, 0.00413
388, 0.00794
390, 0.00677
392, 0.00673
394, 0.00863
396, 0.00502
398, 0.00822
400, 0.00782
402, 0.00826
404, 0.00690
406, 0.00591
408, 0.00746
410, 0.00828
412, 0.00855
414, 0.00836
416, 0.01330
418, 0.01651
420, 0.02290
422, 0.02956
424, 0.03751
426, 0.04829
428, 0.06186
430, 0.08085
432, 0.10459
434, 0.13456
436, 0.17515
438, 0.22138
440, 0.27934
442, 0.36170
444, 0.45213
446, 0.55803
448, 0.67803
450, 0.80525
452, 0.90361
454, 0.97508
456, 1.00000
458, 0.97639
460, 0.92328
462, 0.85770
464, 0.78164
466, 0.71803
468, 0.66557
470, 0.61934
472, 0.57344
474, 0.52616
476, 0.48577
478, 0.45069
480, 0.42033
482, 0.39711
484, 0.38354
486, 0.37574
488, 0.37292
490, 0.37226
492, 0.37561
494, 0.38210
496, 0.38885
498, 0.39889
500, 0.41062
502, 0.42236
504, 0.43489
506, 0.44807
508, 0.46020
510, 0.47075
512, 0.48289
514, 0.49207
516, 0.50098
518, 0.50984
520, 0.51646
522, 0.52308
524, 0.52957
526, 0.53410
528, 0.53843
530, 0.54236
532, 0.54682
534, 0.55030
536, 0.55364
538, 0.55607
540, 0.55862
542, 0.56118
544, 0.56275
546, 0.56452
548, 0.56643
550, 0.56682
552, 0.56748
554, 0.56748
556, 0.56879
558, 0.56859
560, 0.56866
562, 0.56780
564, 0.56715
566, 0.56689
568, 0.56570
570, 0.56387
572, 0.56269
574, 0.55908
576, 0.55823
578, 0.55672
580, 0.55580
582, 0.55416
584, 0.55239
586, 0.55128
588, 0.54984
590, 0.54957
592, 0.54787
594, 0.54918
596, 0.54807
598, 0.54682
600, 0.54669
602, 0.54675
604, 0.54577
606, 0.54446
608, 0.54348
610, 0.54092
612, 0.54098
614, 0.54052
616, 0.53902
618, 0.53803
620, 0.53593
622, 0.53298
624, 0.52892
626, 0.52584
628, 0.52216
630, 0.51830
632, 0.51325
634, 0.50590
636, 0.49843
638, 0.49298
640, 0.48603
642, 0.47869
644, 0.46872
646, 0.46039
648, 0.45062
650, 0.44007
652, 0.43056
654, 0.41987
656, 0.40970
658, 0.39751
660, 0.38584
662, 0.37554
664, 0.36262
666, 0.34984
668, 0.33816
670, 0.32774
672, 0.31607
674, 0.30269
676, 0.29167
678, 0.27797
680, 0.26925
682, 0.25934
684, 0.24807
686, 0.23764
688, 0.22682
690, 0.21803
692, 0.20649
694, 0.19672
696, 0.18669
698, 0.17921
700, 0.17180
702, 0.16230
704, 0.15377
706, 0.14643
708, 0.13980
710, 0.13239
712, 0.12511
714, 0.11790
716, 0.11226
718, 0.10525
720, 0.10000
722, 0.09449
724, 0.08970
726, 0.08354
728, 0.07948
730, 0.07475
732, 0.07508
734, 0.07134
736, 0.06424
738, 0.06193
740, 0.05899
742, 0.05513
744, 0.05035
746, 0.04803
748, 0.04291
750, 0.04370
752, 0.04480
754, 0.03965
756, 0.03693
758, 0.03487
760, 0.03231
762, 0.03037
764, 0.03574
766, 0.02857
768, 0.02852
770, 0.02659
772, 0.02648
774, 0.02440
776, 0.02433
778, 0.01636
780, 0.01902
