Helios T8 - Take 2
Measured with: ,AMPAS PR-705
Date measured: ,10-04-2012
File generated on: ,October 10,2012  2:24:48 PM

CCT: ,3154.0
XYZt: ,1.06146,1.00000,0.42616

wavelength (nanometers),power (peak normalized)
380, 0.00717
382, 0.01454
384, 0.00963
386, 0.00717
388, 0.00935
390, 0.00544
392, 0.00883
394, 0.00683
396, 0.01120
398, 0.00781
400, 0.00561
402, 0.00492
404, 0.00467
406, 0.00837
408, 0.00814
410, 0.00833
412, 0.00922
414, 0.00922
416, 0.01037
418, 0.01046
420, 0.01398
422, 0.01593
424, 0.02130
426, 0.02500
428, 0.03157
430, 0.04139
432, 0.05278
434, 0.06537
436, 0.08435
438, 0.10648
440, 0.13611
442, 0.17870
444, 0.22778
446, 0.28611
448, 0.35463
450, 0.42963
452, 0.48981
454, 0.53519
456, 0.55556
458, 0.55185
460, 0.53056
462, 0.50185
464, 0.46944
466, 0.44352
468, 0.42593
470, 0.40833
472, 0.39259
474, 0.37130
476, 0.35278
478, 0.33704
480, 0.32500
482, 0.31759
484, 0.31667
486, 0.31944
488, 0.32500
490, 0.33241
492, 0.34167
494, 0.35370
496, 0.36667
498, 0.38056
500, 0.39722
502, 0.41204
504, 0.42778
506, 0.44444
508, 0.46296
510, 0.47593
512, 0.49167
514, 0.50463
516, 0.51667
518, 0.53056
520, 0.54074
522, 0.55185
524, 0.56204
526, 0.57315
528, 0.58241
530, 0.59259
532, 0.60185
534, 0.60926
536, 0.62037
538, 0.62685
540, 0.63519
542, 0.64167
544, 0.65000
546, 0.65833
548, 0.66481
550, 0.67130
552, 0.67778
554, 0.68333
556, 0.69167
558, 0.69722
560, 0.70370
562, 0.70926
564, 0.71574
566, 0.72130
568, 0.72778
570, 0.73426
572, 0.74167
574, 0.74907
576, 0.75556
578, 0.76389
580, 0.77130
582, 0.78056
584, 0.78981
586, 0.80000
588, 0.81019
590, 0.82130
592, 0.83426
594, 0.84630
596, 0.85741
598, 0.86944
600, 0.88148
602, 0.89352
604, 0.90648
606, 0.91759
608, 0.92593
610, 0.94444
612, 0.95370
614, 0.96296
616, 0.97222
618, 0.98148
620, 0.98148
622, 0.99074
624, 0.99074
626, 1.00000
628, 1.00000
630, 1.00000
632, 0.99074
634, 0.99074
636, 0.98148
638, 0.97222
640, 0.96296
642, 0.95370
644, 0.94444
646, 0.92593
648, 0.91296
650, 0.89537
652, 0.88056
654, 0.86296
656, 0.84537
658, 0.82407
660, 0.80278
662, 0.77963
664, 0.75741
666, 0.73519
668, 0.71111
670, 0.68796
672, 0.66389
674, 0.64167
676, 0.61667
678, 0.59352
680, 0.57130
682, 0.54907
684, 0.52778
686, 0.50648
688, 0.48519
690, 0.46481
692, 0.44259
694, 0.42222
696, 0.40370
698, 0.38426
700, 0.36667
702, 0.34907
704, 0.33519
706, 0.31759
708, 0.29907
710, 0.28426
712, 0.27037
714, 0.25648
716, 0.24444
718, 0.22870
720, 0.21759
722, 0.20556
724, 0.19630
726, 0.18426
728, 0.17130
730, 0.16296
732, 0.15463
734, 0.14444
736, 0.13611
738, 0.13056
740, 0.12500
742, 0.11759
744, 0.11019
746, 0.10185
748, 0.09630
750, 0.09259
752, 0.08454
754, 0.08361
756, 0.08037
758, 0.07398
760, 0.07120
762, 0.06620
764, 0.06102
766, 0.05907
768, 0.05667
770, 0.05000
772, 0.04852
774, 0.04870
776, 0.04315
778, 0.04880
780, 0.03676
