Helios T80
Measured with: ,AMPAS PR-705
Date measured: ,04-Sep-2012
File generated on: ,September 04,2012 12:09:05 PM

CCT: ,3068.1
XYZt: ,1.07522,1.00000,0.41494

wavelength (nanometers),power (peak normalized)
380, 0.00920
382, 0.00925
384, 0.00874
386, 0.00588
388, 0.00843
390, 0.01129
392, 0.00867
394, 0.01260
396, 0.00783
398, 0.00877
400, 0.01165
402, 0.00775
404, 0.00896
406, 0.00769
408, 0.00989
410, 0.00842
412, 0.01095
414, 0.01278
416, 0.01818
418, 0.02166
420, 0.02893
422, 0.03572
424, 0.04446
426, 0.05534
428, 0.06824
430, 0.08499
432, 0.10634
434, 0.13142
436, 0.16541
438, 0.20297
440, 0.24737
442, 0.30793
444, 0.36769
446, 0.42676
448, 0.47661
450, 0.50951
452, 0.51516
454, 0.50248
456, 0.46967
458, 0.42953
460, 0.39415
462, 0.36660
464, 0.34093
466, 0.31675
468, 0.29594
470, 0.27740
472, 0.25946
474, 0.24430
476, 0.23449
478, 0.22983
480, 0.22993
482, 0.23370
484, 0.24063
486, 0.24936
488, 0.25887
490, 0.27096
492, 0.28702
494, 0.30456
496, 0.32111
498, 0.34103
500, 0.36234
502, 0.38186
504, 0.40188
506, 0.42052
508, 0.43925
510, 0.45629
512, 0.47195
514, 0.48761
516, 0.50416
518, 0.51754
520, 0.53043
522, 0.54450
524, 0.55590
526, 0.56611
528, 0.57641
530, 0.58672
532, 0.59594
534, 0.60555
536, 0.61467
538, 0.62230
540, 0.63102
542, 0.63806
544, 0.64628
546, 0.65352
548, 0.66204
550, 0.66819
552, 0.67463
554, 0.68216
556, 0.68979
558, 0.69544
560, 0.70228
562, 0.70892
564, 0.71526
566, 0.72240
568, 0.73013
570, 0.73717
572, 0.74529
574, 0.75342
576, 0.76204
578, 0.77166
580, 0.78107
582, 0.78959
584, 0.79990
586, 0.81219
588, 0.82329
590, 0.83508
592, 0.84638
594, 0.86105
596, 0.87384
598, 0.88543
600, 0.89742
602, 0.91031
604, 0.92210
606, 0.93251
608, 0.94371
610, 0.95263
612, 0.96224
614, 0.97106
616, 0.97879
618, 0.98593
620, 0.99207
622, 0.99604
624, 0.99802
626, 1.00000
628, 1.00000
630, 0.99901
632, 0.99405
634, 0.98880
636, 0.97998
638, 0.97384
640, 0.96412
642, 0.95164
644, 0.93855
646, 0.92567
648, 0.90753
650, 0.89267
652, 0.87582
654, 0.85758
656, 0.84063
658, 0.81972
660, 0.79921
662, 0.77721
664, 0.75431
666, 0.73152
668, 0.70932
670, 0.68652
672, 0.66432
674, 0.64212
676, 0.61903
678, 0.59594
680, 0.57443
682, 0.55243
684, 0.53191
686, 0.51169
688, 0.48940
690, 0.46908
692, 0.44866
694, 0.42944
696, 0.41041
698, 0.39296
700, 0.37661
702, 0.35877
704, 0.34143
706, 0.32339
708, 0.30942
710, 0.29415
712, 0.28097
714, 0.26472
716, 0.25263
718, 0.23865
720, 0.22567
722, 0.21288
724, 0.20347
726, 0.19187
728, 0.18365
730, 0.17304
732, 0.16581
734, 0.15263
736, 0.14351
738, 0.13598
740, 0.13033
742, 0.12329
744, 0.11724
746, 0.11150
748, 0.10575
750, 0.10228
752, 0.09404
754, 0.08898
756, 0.08557
758, 0.07819
760, 0.07718
762, 0.07481
764, 0.06965
766, 0.06591
768, 0.05938
770, 0.05833
772, 0.05579
774, 0.05389
776, 0.05033
778, 0.04501
780, 0.03914
