LitePanels Daylight
Measured with: ,AMPAS PR-705
Date measured: ,03-05-2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5152.0
XYZt: ,1.00408,1.00000,0.94585

wavelength (nanometers),power (peak normalized)
380, 0.00555
382, 0.00459
384, 0.00511
386, 0.00582
388, 0.00580
390, 0.00517
392, 0.00555
394, 0.00487
396, 0.00529
398, 0.00477
400, 0.00451
402, 0.00476
404, 0.00530
406, 0.00490
408, 0.00479
410, 0.00506
412, 0.00507
414, 0.00583
416, 0.00643
418, 0.00794
420, 0.00996
422, 0.01358
424, 0.01770
426, 0.02357
428, 0.03139
430, 0.04274
432, 0.05844
434, 0.07628
436, 0.10005
438, 0.13364
440, 0.17221
442, 0.22415
444, 0.29557
446, 0.38556
448, 0.48769
450, 0.59233
452, 0.72459
454, 0.83363
456, 0.92578
458, 0.98118
460, 1.00000
462, 0.96588
464, 0.89395
466, 0.81112
468, 0.69821
470, 0.61238
472, 0.54344
474, 0.48502
476, 0.42515
478, 0.37626
480, 0.33614
482, 0.29836
484, 0.26563
486, 0.23690
488, 0.21400
490, 0.19652
492, 0.18526
494, 0.17496
496, 0.16720
498, 0.16595
500, 0.16697
502, 0.16892
504, 0.17392
506, 0.18387
508, 0.19599
510, 0.20950
512, 0.22946
514, 0.24669
516, 0.26644
518, 0.28670
520, 0.30865
522, 0.32802
524, 0.34803
526, 0.36789
528, 0.38707
530, 0.40431
532, 0.42278
534, 0.43651
536, 0.44960
538, 0.46537
540, 0.47543
542, 0.48658
544, 0.49738
546, 0.50389
548, 0.50879
550, 0.51449
552, 0.51755
554, 0.52059
556, 0.52274
558, 0.52575
560, 0.52608
562, 0.52730
564, 0.52649
566, 0.52832
568, 0.52779
570, 0.52640
572, 0.52687
574, 0.52520
576, 0.52351
578, 0.52269
580, 0.51921
582, 0.51595
584, 0.51238
586, 0.51029
588, 0.50848
590, 0.50368
592, 0.49685
594, 0.49284
596, 0.48890
598, 0.48064
600, 0.47367
602, 0.46797
604, 0.45999
606, 0.45543
608, 0.45060
610, 0.44144
612, 0.43568
614, 0.42638
616, 0.41819
618, 0.41025
620, 0.40091
622, 0.39114
624, 0.38087
626, 0.37214
628, 0.36331
630, 0.35450
632, 0.34566
634, 0.33581
636, 0.32578
638, 0.31523
640, 0.30607
642, 0.29657
644, 0.28721
646, 0.27912
648, 0.27000
650, 0.25974
652, 0.25209
654, 0.24274
656, 0.23333
658, 0.22473
660, 0.21643
662, 0.20814
664, 0.19861
666, 0.19047
668, 0.18194
670, 0.17376
672, 0.16574
674, 0.15800
676, 0.15172
678, 0.14576
680, 0.14020
682, 0.13440
684, 0.13006
686, 0.12562
688, 0.12093
690, 0.11701
692, 0.11231
694, 0.10703
696, 0.10288
698, 0.09872
700, 0.09523
702, 0.09103
704, 0.08755
706, 0.08401
708, 0.08014
710, 0.07631
712, 0.07365
714, 0.07058
716, 0.06711
718, 0.06416
720, 0.06182
722, 0.05902
724, 0.05600
726, 0.05371
728, 0.05109
730, 0.04920
732, 0.04706
734, 0.04527
736, 0.04274
738, 0.04125
740, 0.03972
742, 0.03828
744, 0.03695
746, 0.03457
748, 0.03325
750, 0.03198
752, 0.03085
754, 0.02966
756, 0.02816
758, 0.02680
760, 0.02547
762, 0.02457
764, 0.02443
766, 0.02381
768, 0.02267
770, 0.02228
772, 0.02174
774, 0.02034
776, 0.01921
778, 0.01906
780, 0.01794
