LitePanels Tungsten
Measured with: ,PR-705
Date measured: ,03-05-2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,2872.2
XYZt: ,1.13439,1.00000,0.48274

wavelength (nanometers),power (peak normalized)
380, 0.00896
382, 0.00940
384, 0.00737
386, 0.00646
388, 0.00898
390, 0.00848
392, 0.00637
394, 0.00520
396, 0.00631
398, 0.00578
400, 0.00548
402, 0.00635
404, 0.00586
406, 0.00612
408, 0.00527
410, 0.00521
412, 0.00526
414, 0.00543
416, 0.00613
418, 0.00634
420, 0.00767
422, 0.00883
424, 0.01143
426, 0.01361
428, 0.01713
430, 0.02232
432, 0.02932
434, 0.03796
436, 0.04899
438, 0.06575
440, 0.08521
442, 0.11229
444, 0.15195
446, 0.20408
448, 0.26634
450, 0.33598
452, 0.43196
454, 0.52397
456, 0.61192
458, 0.68113
460, 0.73440
462, 0.74453
464, 0.72125
466, 0.68271
468, 0.61621
470, 0.56489
472, 0.52292
474, 0.48712
476, 0.44639
478, 0.41019
480, 0.37742
482, 0.34401
484, 0.31458
486, 0.28836
488, 0.26689
490, 0.25158
492, 0.24302
494, 0.23521
496, 0.22829
498, 0.22835
500, 0.22922
502, 0.22952
504, 0.23113
506, 0.23666
508, 0.24317
510, 0.24966
512, 0.26075
514, 0.26872
516, 0.27857
518, 0.28947
520, 0.30204
522, 0.31208
524, 0.32514
526, 0.33863
528, 0.35340
530, 0.36822
532, 0.38653
534, 0.40238
536, 0.41980
538, 0.44129
540, 0.46028
542, 0.48422
544, 0.50806
546, 0.52946
548, 0.55102
550, 0.57520
552, 0.59947
554, 0.62477
556, 0.64941
558, 0.67600
560, 0.70003
562, 0.72770
564, 0.75275
566, 0.78002
568, 0.80429
570, 0.82699
572, 0.85263
574, 0.87767
576, 0.89812
578, 0.91939
580, 0.93422
582, 0.94873
584, 0.96140
586, 0.97684
588, 0.98919
590, 0.99382
592, 0.99382
594, 0.99753
596, 1.00000
598, 0.99321
600, 0.98734
602, 0.98240
604, 0.97159
606, 0.96819
608, 0.96356
610, 0.94904
612, 0.94101
614, 0.92705
616, 0.91476
618, 0.90358
620, 0.88885
622, 0.87217
624, 0.85454
626, 0.84002
628, 0.82502
630, 0.80957
632, 0.79361
634, 0.77591
636, 0.75658
638, 0.73576
640, 0.71739
642, 0.69833
644, 0.67925
646, 0.66170
648, 0.64250
650, 0.62011
652, 0.60343
654, 0.58298
656, 0.56229
658, 0.54246
660, 0.52387
662, 0.50528
664, 0.48264
666, 0.46399
668, 0.44527
670, 0.42650
672, 0.40754
674, 0.38978
676, 0.37523
678, 0.36201
680, 0.34914
682, 0.33573
684, 0.32548
686, 0.31523
688, 0.30417
690, 0.29592
692, 0.28564
694, 0.27208
696, 0.26251
698, 0.25349
700, 0.24466
702, 0.23434
704, 0.22545
706, 0.21757
708, 0.20846
710, 0.19914
712, 0.19191
714, 0.18431
716, 0.17613
718, 0.16838
720, 0.16313
722, 0.15630
724, 0.14929
726, 0.14317
728, 0.13771
730, 0.13240
732, 0.12613
734, 0.12112
736, 0.11572
738, 0.11112
740, 0.10763
742, 0.10259
744, 0.09775
746, 0.09305
748, 0.09067
750, 0.08781
752, 0.08361
754, 0.08113
756, 0.07737
758, 0.07437
760, 0.07212
762, 0.06919
764, 0.06501
766, 0.06437
768, 0.06117
770, 0.05911
772, 0.05672
774, 0.05332
776, 0.05264
778, 0.05091
780, 0.04791
