LoAmerica Generic LED Flood Light
Measured with: ,AMPAS PR-705
Date measured: ,06-14-2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,7007.5
XYZt: ,1.03017,1.00000,1.29770

wavelength (nanometers),power (peak normalized)
380, 0.01400
382, 0.00631
384, 0.00859
386, 0.00489
388, 0.00902
390, 0.00670
392, 0.00787
394, 0.00524
396, 0.00619
398, 0.00474
400, 0.00524
402, 0.00444
404, 0.00400
406, 0.00585
408, 0.00400
410, 0.00470
412, 0.00217
414, 0.00422
416, 0.00646
418, 0.00806
420, 0.01096
422, 0.01537
424, 0.02222
426, 0.03000
428, 0.04426
430, 0.06296
432, 0.09037
434, 0.12685
436, 0.17556
438, 0.25370
440, 0.34074
442, 0.45185
444, 0.59074
446, 0.73704
448, 0.86481
450, 0.94815
452, 1.00000
454, 0.98519
456, 0.94074
458, 0.86481
460, 0.77593
462, 0.69630
464, 0.62407
466, 0.56111
468, 0.48704
470, 0.42778
472, 0.37407
474, 0.32778
476, 0.27778
478, 0.23889
480, 0.21111
482, 0.18519
484, 0.16481
486, 0.14889
488, 0.13278
490, 0.12130
492, 0.11426
494, 0.10741
496, 0.10315
498, 0.10519
500, 0.10796
502, 0.11185
504, 0.11852
506, 0.12741
508, 0.13574
510, 0.14611
512, 0.15981
514, 0.17185
516, 0.18704
518, 0.20185
520, 0.21667
522, 0.23148
524, 0.24630
526, 0.26296
528, 0.27778
530, 0.29259
532, 0.30926
534, 0.32407
536, 0.33704
538, 0.35185
540, 0.36481
542, 0.37593
544, 0.38889
546, 0.39815
548, 0.40556
550, 0.41481
552, 0.42037
554, 0.42778
556, 0.43148
558, 0.43704
560, 0.43889
562, 0.44074
564, 0.44074
566, 0.44259
568, 0.44074
570, 0.43889
572, 0.43704
574, 0.43333
576, 0.42778
578, 0.42407
580, 0.41667
582, 0.41111
584, 0.40185
586, 0.39630
588, 0.39074
590, 0.38148
592, 0.37222
594, 0.36296
596, 0.35556
598, 0.34444
600, 0.33519
602, 0.32593
604, 0.31481
606, 0.30741
608, 0.30000
610, 0.28704
612, 0.27778
614, 0.26667
616, 0.25926
618, 0.25185
620, 0.24074
622, 0.23148
624, 0.22037
626, 0.21111
628, 0.20370
630, 0.19815
632, 0.19074
634, 0.18296
636, 0.17241
638, 0.16444
640, 0.15778
642, 0.15111
644, 0.14444
646, 0.13741
648, 0.13537
650, 0.12481
652, 0.12204
654, 0.11574
656, 0.10889
658, 0.10370
660, 0.09963
662, 0.09630
664, 0.08926
666, 0.08611
668, 0.08167
670, 0.07870
672, 0.07444
674, 0.07037
676, 0.06741
678, 0.06370
680, 0.06019
682, 0.05685
684, 0.05370
686, 0.05130
688, 0.04981
690, 0.04519
692, 0.04481
694, 0.04074
696, 0.03926
698, 0.03667
700, 0.03611
702, 0.03241
704, 0.03111
706, 0.02963
708, 0.03074
710, 0.02759
712, 0.02444
714, 0.02574
716, 0.02500
718, 0.02167
720, 0.02296
722, 0.02278
724, 0.01831
726, 0.02074
728, 0.01926
730, 0.01624
732, 0.01583
734, 0.01393
736, 0.01493
738, 0.01463
740, 0.01319
742, 0.01541
744, 0.01509
746, 0.01504
748, 0.01246
750, 0.01224
752, 0.01117
754, 0.01120
756, 0.01006
758, 0.00974
760, 0.01037
762, 0.00959
764, 0.00956
766, 0.01041
768, 0.00915
770, 0.00620
772, 0.00800
774, 0.01131
776, 0.01083
778, 0.00567
780, 0.00931
