Lumos 300D
Measured with: ,AMPAS PR-705
Date measured: ,07-25-2012
File generated on: ,August 01,2012 10:12:27 AM

CCT: ,5929.8
XYZt: ,0.97169,1.00000,1.03257

wavelength (nanometers),power (peak normalized)
380, 0.00793
382, 0.01266
384, 0.00303
386, 0.00216
388, 0.01068
390, 0.00456
392, 0.00821
394, 0.00543
396, 0.01028
398, 0.00972
400, 0.00703
402, 0.00750
404, 0.00825
406, 0.00872
408, 0.01289
410, 0.01399
412, 0.01731
414, 0.02287
416, 0.03138
418, 0.04173
420, 0.05193
422, 0.06862
424, 0.08717
426, 0.10989
428, 0.13957
430, 0.17465
432, 0.21329
434, 0.26430
436, 0.33230
438, 0.40495
440, 0.49304
442, 0.61515
444, 0.73107
446, 0.84544
448, 0.94281
450, 0.99845
452, 1.00000
454, 0.96445
456, 0.88872
458, 0.80526
460, 0.73261
462, 0.67233
464, 0.61669
466, 0.56569
468, 0.52396
470, 0.48068
472, 0.44513
474, 0.41422
476, 0.39104
478, 0.37713
480, 0.37094
482, 0.36940
484, 0.36940
486, 0.37403
488, 0.38176
490, 0.38949
492, 0.39876
494, 0.40958
496, 0.42195
498, 0.43277
500, 0.44359
502, 0.45286
504, 0.46213
506, 0.47141
508, 0.47913
510, 0.48377
512, 0.48995
514, 0.49459
516, 0.49923
518, 0.50386
520, 0.50541
522, 0.51005
524, 0.51314
526, 0.51777
528, 0.52087
530, 0.52396
532, 0.52859
534, 0.53168
536, 0.53632
538, 0.53941
540, 0.54405
542, 0.54560
544, 0.54869
546, 0.55023
548, 0.55178
550, 0.55178
552, 0.55023
554, 0.55023
556, 0.54869
558, 0.54714
560, 0.54250
562, 0.53941
564, 0.53478
566, 0.52859
568, 0.52550
570, 0.51932
572, 0.51314
574, 0.50850
576, 0.50232
578, 0.49614
580, 0.49150
582, 0.48686
584, 0.48068
586, 0.47759
588, 0.47295
590, 0.47141
592, 0.46832
594, 0.46522
596, 0.46213
598, 0.46213
600, 0.46213
602, 0.46059
604, 0.46059
606, 0.46059
608, 0.46059
610, 0.46059
612, 0.46368
614, 0.46522
616, 0.46677
618, 0.46832
620, 0.47141
622, 0.47141
624, 0.47450
626, 0.47295
628, 0.47450
630, 0.47295
632, 0.47141
634, 0.47141
636, 0.46677
638, 0.46677
640, 0.46213
642, 0.45750
644, 0.45286
646, 0.44668
648, 0.44204
650, 0.43586
652, 0.42813
654, 0.42040
656, 0.41267
658, 0.40340
660, 0.39258
662, 0.38331
664, 0.37094
666, 0.35858
668, 0.34776
670, 0.33694
672, 0.32767
674, 0.31530
676, 0.30294
678, 0.29366
680, 0.28439
682, 0.27512
684, 0.26739
686, 0.25811
688, 0.24884
690, 0.23957
692, 0.23184
694, 0.22257
696, 0.21175
698, 0.20402
700, 0.19629
702, 0.18547
704, 0.17774
706, 0.17002
708, 0.16074
710, 0.15317
712, 0.14544
714, 0.13802
716, 0.13308
718, 0.12612
720, 0.11716
722, 0.11345
724, 0.10556
726, 0.10077
728, 0.09614
730, 0.09042
732, 0.08423
734, 0.08439
736, 0.07635
738, 0.07249
740, 0.06832
742, 0.06569
744, 0.06244
746, 0.05564
748, 0.05286
750, 0.04961
752, 0.05070
754, 0.04745
756, 0.04451
758, 0.04359
760, 0.03709
762, 0.03864
764, 0.03632
766, 0.03447
768, 0.02782
770, 0.02906
772, 0.02983
774, 0.02488
776, 0.02736
778, 0.02998
780, 0.02658
