Lumos 300F
Measured with: ,AMPAS PR-705
Date measured: ,07-25-2012
File generated on: ,August 01,2012 10:12:27 AM

CCT: ,3264.2
XYZt: ,1.05913,1.00000,0.47280

wavelength (nanometers),power (peak normalized)
380, 0.00869
382, 0.00912
384, 0.00779
386, 0.01004
388, 0.00568
390, 0.00520
392, 0.01004
394, 0.00471
396, 0.01008
398, 0.00760
400, 0.00709
402, 0.00906
404, 0.00842
406, 0.00586
408, 0.01100
410, 0.01195
412, 0.01189
414, 0.01623
416, 0.01965
418, 0.02623
420, 0.03197
422, 0.04057
424, 0.05143
426, 0.06578
428, 0.07930
430, 0.09877
432, 0.11926
434, 0.14365
436, 0.17746
438, 0.21516
440, 0.26230
442, 0.32377
444, 0.38934
446, 0.45287
448, 0.51230
450, 0.55328
452, 0.56557
454, 0.55738
456, 0.52459
458, 0.48361
460, 0.44877
462, 0.42008
464, 0.39344
466, 0.37295
468, 0.35246
470, 0.33197
472, 0.31557
474, 0.30123
476, 0.29303
478, 0.28893
480, 0.28893
482, 0.29508
484, 0.30328
486, 0.31352
488, 0.32582
490, 0.33811
492, 0.35451
494, 0.37295
496, 0.38730
498, 0.40574
500, 0.42213
502, 0.43852
504, 0.45287
506, 0.46516
508, 0.47951
510, 0.48975
512, 0.50205
514, 0.51230
516, 0.52254
518, 0.53279
520, 0.54098
522, 0.55123
524, 0.56148
526, 0.57172
528, 0.57992
530, 0.59016
532, 0.60041
534, 0.61066
536, 0.62295
538, 0.63115
540, 0.64139
542, 0.65164
544, 0.65984
546, 0.67008
548, 0.67828
550, 0.68443
552, 0.69057
554, 0.69672
556, 0.70287
558, 0.70697
560, 0.71107
562, 0.71311
564, 0.71721
566, 0.71926
568, 0.72131
570, 0.72336
572, 0.72336
574, 0.72541
576, 0.72746
578, 0.73156
580, 0.73361
582, 0.73566
584, 0.74180
586, 0.74590
588, 0.75410
590, 0.76025
592, 0.76844
594, 0.77869
596, 0.78689
598, 0.79918
600, 0.80943
602, 0.82172
604, 0.83402
606, 0.84631
608, 0.85861
610, 0.87295
612, 0.88730
614, 0.90164
616, 0.91598
618, 0.93033
620, 0.94467
622, 0.95902
624, 0.96926
626, 0.97746
628, 0.98566
630, 0.99385
632, 0.99795
634, 1.00000
636, 1.00000
638, 1.00000
640, 0.99795
642, 0.99385
644, 0.98770
646, 0.97951
648, 0.97131
650, 0.95902
652, 0.94672
654, 0.93238
656, 0.91803
658, 0.90164
660, 0.88320
662, 0.85656
664, 0.83197
666, 0.80738
668, 0.78484
670, 0.76230
672, 0.73566
674, 0.71311
676, 0.69057
678, 0.66803
680, 0.64959
682, 0.62910
684, 0.60656
686, 0.58607
688, 0.56557
690, 0.54713
692, 0.52664
694, 0.50410
696, 0.48566
698, 0.46516
700, 0.44877
702, 0.42828
704, 0.40779
706, 0.38730
708, 0.36885
710, 0.35041
712, 0.33402
714, 0.31762
716, 0.30123
718, 0.28689
720, 0.27254
722, 0.25820
724, 0.24590
726, 0.23361
728, 0.22541
730, 0.20902
732, 0.19549
734, 0.18586
736, 0.17664
738, 0.16701
740, 0.15799
742, 0.14795
744, 0.14037
746, 0.13627
748, 0.12725
750, 0.11393
752, 0.11250
754, 0.10881
756, 0.10246
758, 0.09775
760, 0.09447
762, 0.08238
764, 0.08053
766, 0.07316
768, 0.06844
770, 0.07111
772, 0.06742
774, 0.06107
776, 0.06086
778, 0.06045
780, 0.05020
