Mole-Richardson Daylight
Measured with: ,AMPAS PR-705
Date measured: ,08-17-2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5301.4
XYZt: ,0.95169,1.00000,0.86785

wavelength (nanometers),power (peak normalized)
380, 0.01138
382, 0.00883
384, 0.00596
386, 0.00192
388, 0.00569
390, 0.00403
392, 0.00886
394, 0.00378
396, 0.00501
398, 0.00387
400, 0.00307
402, 0.00314
404, 0.00579
406, 0.00536
408, 0.00537
410, 0.00558
412, 0.00622
414, 0.00645
416, 0.00668
418, 0.01148
420, 0.01480
422, 0.01984
424, 0.02709
426, 0.03615
428, 0.04904
430, 0.06888
432, 0.09607
434, 0.12790
436, 0.16818
438, 0.22659
440, 0.28802
442, 0.36657
444, 0.46526
446, 0.57704
448, 0.69084
450, 0.78852
452, 0.89728
454, 0.96274
456, 1.00000
458, 0.99496
460, 0.95670
462, 0.89225
464, 0.81470
466, 0.74018
468, 0.65156
470, 0.58812
472, 0.53575
474, 0.49144
476, 0.44612
478, 0.40886
480, 0.38268
482, 0.36153
484, 0.34844
486, 0.34139
488, 0.33837
490, 0.34038
492, 0.35247
494, 0.36556
496, 0.37664
498, 0.39879
500, 0.42195
502, 0.44209
504, 0.46022
506, 0.48137
508, 0.50151
510, 0.51964
512, 0.54280
514, 0.55589
516, 0.56999
518, 0.58207
520, 0.59517
522, 0.59718
524, 0.60423
526, 0.61027
528, 0.61531
530, 0.61833
532, 0.61934
534, 0.61732
536, 0.61631
538, 0.61833
540, 0.61329
542, 0.60926
544, 0.60826
546, 0.60423
548, 0.59919
550, 0.59718
552, 0.59013
554, 0.58711
556, 0.58207
558, 0.58006
560, 0.57402
562, 0.57100
564, 0.56596
566, 0.56395
568, 0.56093
570, 0.55690
572, 0.55690
574, 0.55388
576, 0.55186
578, 0.55086
580, 0.54884
582, 0.54582
584, 0.54381
586, 0.54381
588, 0.54683
590, 0.54582
592, 0.54280
594, 0.54381
596, 0.54481
598, 0.54079
600, 0.53978
602, 0.53978
604, 0.53676
606, 0.53978
608, 0.54079
610, 0.53877
612, 0.54079
614, 0.53978
616, 0.53978
618, 0.54079
620, 0.53978
622, 0.53776
624, 0.53474
626, 0.53273
628, 0.53172
630, 0.52971
632, 0.52568
634, 0.52266
636, 0.51762
638, 0.51158
640, 0.50856
642, 0.50151
644, 0.49648
646, 0.49144
648, 0.48540
650, 0.47734
652, 0.47029
654, 0.46123
656, 0.45217
658, 0.44109
660, 0.43202
662, 0.41994
664, 0.40584
666, 0.39074
668, 0.37664
670, 0.36052
672, 0.34642
674, 0.33434
676, 0.32528
678, 0.32024
680, 0.31420
682, 0.30816
684, 0.30312
686, 0.30010
688, 0.29708
690, 0.29406
692, 0.28701
694, 0.27996
696, 0.27291
698, 0.26586
700, 0.25881
702, 0.25076
704, 0.24169
706, 0.23565
708, 0.22860
710, 0.21954
712, 0.21249
714, 0.20342
716, 0.19738
718, 0.19033
720, 0.18228
722, 0.17825
724, 0.16818
726, 0.16213
728, 0.15609
730, 0.14904
732, 0.14300
734, 0.13897
736, 0.13394
738, 0.12790
740, 0.12286
742, 0.11782
744, 0.11380
746, 0.10574
748, 0.10574
750, 0.10171
752, 0.09829
754, 0.09335
756, 0.08943
758, 0.08449
760, 0.08167
762, 0.07714
764, 0.07150
766, 0.07291
768, 0.06506
770, 0.06636
772, 0.06838
774, 0.06113
776, 0.05760
778, 0.05730
780, 0.05569
