Mole-Richardson Tungsten
Measured with: ,AMPAS PR-705
Date measured: ,08-17-2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3115.5
XYZt: ,1.06166,1.00000,0.40025

wavelength (nanometers),power (peak normalized)
380, 0.01004
382, 0.00486
384, 0.00423
386, 0.00299
388, 0.00091
390, 0.00417
392, 0.00877
394, 0.00933
396, 0.00812
398, 0.00382
400, 0.00413
402, 0.00601
404, 0.00801
406, 0.00531
408, 0.00246
410, 0.00557
412, 0.00454
414, 0.00420
416, 0.00624
418, 0.00459
420, 0.00523
422, 0.00634
424, 0.00970
426, 0.01322
428, 0.01553
430, 0.02108
432, 0.03148
434, 0.04217
436, 0.05655
438, 0.07977
440, 0.10399
442, 0.13689
444, 0.17949
446, 0.23504
448, 0.29202
450, 0.34900
452, 0.41880
454, 0.47721
456, 0.52564
458, 0.55556
460, 0.57123
462, 0.55983
464, 0.52849
466, 0.49430
468, 0.44587
470, 0.41453
472, 0.39174
474, 0.37607
476, 0.35613
478, 0.34188
480, 0.33048
482, 0.32194
484, 0.31766
486, 0.31909
488, 0.32336
490, 0.33191
492, 0.34758
494, 0.36467
496, 0.37607
498, 0.39886
500, 0.42023
502, 0.43732
504, 0.45299
506, 0.47151
508, 0.49003
510, 0.50285
512, 0.52564
514, 0.53561
516, 0.54986
518, 0.56125
520, 0.57407
522, 0.57835
524, 0.58547
526, 0.59259
528, 0.59972
530, 0.60399
532, 0.60826
534, 0.61111
536, 0.61254
538, 0.61966
540, 0.61966
542, 0.62251
544, 0.62678
546, 0.62963
548, 0.63248
550, 0.63960
552, 0.64387
554, 0.64957
556, 0.65812
558, 0.66667
560, 0.67664
562, 0.68803
564, 0.70085
566, 0.71652
568, 0.72934
570, 0.74359
572, 0.76211
574, 0.78063
576, 0.79772
578, 0.81481
580, 0.82906
582, 0.84473
584, 0.86040
586, 0.88177
588, 0.90028
590, 0.91168
592, 0.92165
594, 0.93590
596, 0.95014
598, 0.95584
600, 0.96154
602, 0.97009
604, 0.97151
606, 0.98006
608, 0.98860
610, 0.98718
612, 0.99430
614, 0.99430
616, 0.99715
618, 1.00000
620, 0.99715
622, 0.99288
624, 0.98718
626, 0.98433
628, 0.97863
630, 0.97151
632, 0.96439
634, 0.95442
636, 0.94444
638, 0.93020
640, 0.91880
642, 0.90741
644, 0.89316
646, 0.88177
648, 0.86895
650, 0.84900
652, 0.83761
654, 0.81909
656, 0.79915
658, 0.77920
660, 0.75926
662, 0.73362
664, 0.70798
666, 0.68091
668, 0.65527
670, 0.62963
672, 0.60114
674, 0.57692
676, 0.56125
678, 0.54843
680, 0.53846
682, 0.52707
684, 0.52137
686, 0.51425
688, 0.50427
690, 0.49715
692, 0.49003
694, 0.47436
696, 0.45869
698, 0.45014
700, 0.44017
702, 0.42308
704, 0.41168
706, 0.39601
708, 0.38034
710, 0.36752
712, 0.35470
714, 0.34473
716, 0.33048
718, 0.32051
720, 0.30912
722, 0.29630
724, 0.28490
726, 0.27635
728, 0.26496
730, 0.25641
732, 0.24217
734, 0.23077
736, 0.22080
738, 0.21652
740, 0.20370
742, 0.19516
744, 0.19231
746, 0.18234
748, 0.17379
750, 0.16524
752, 0.16097
754, 0.15670
756, 0.14957
758, 0.14530
760, 0.13647
762, 0.12393
764, 0.12621
766, 0.11852
768, 0.11709
770, 0.11339
772, 0.10755
774, 0.10470
776, 0.09430
778, 0.09601
780, 0.09459
