3200K Tungsten Simulation - 'Bad' CRI
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,3201.3
XYZt: ,1.06131,1.00000,0.44648

wavelength (nanometers),power (peak normalized)
380, 0.00105
381, 0.00004
382, 0.00049
383, 0.00094
384, -0.00004
385, 0.00089
386, -0.00016
387, 0.00066
388, 0.00098
389, 0.00052
390, 0.00041
391, 0.00078
392, 0.00026
393, 0.00040
394, 0.00019
395, 0.00063
396, 0.00045
397, 0.00026
398, 0.00031
399, 0.00040
400, 0.00061
401, 0.00008
402, 0.00095
403, 0.00031
404, 0.00023
405, 0.00053
406, 0.00030
407, -0.00014
408, 0.00067
409, -0.00005
410, 0.00107
411, 0.00069
412, 0.00100
413, 0.00049
414, 0.00088
415, 0.00090
416, 0.00093
417, 0.00054
418, 0.00130
419, 0.00101
420, 0.00213
421, 0.00227
422, 0.00221
423, 0.00292
424, 0.00334
425, 0.00353
426, 0.00442
427, 0.00532
428, 0.00678
429, 0.00781
430, 0.00940
431, 0.01085
432, 0.01304
433, 0.01557
434, 0.01833
435, 0.02108
436, 0.02462
437, 0.02878
438, 0.03260
439, 0.03809
440, 0.04518
441, 0.05118
442, 0.05936
443, 0.06909
444, 0.07844
445, 0.09085
446, 0.10447
447, 0.11839
448, 0.13473
449, 0.15070
450, 0.16820
451, 0.18459
452, 0.20044
453, 0.21530
454, 0.22593
455, 0.23516
456, 0.24070
457, 0.24301
458, 0.24202
459, 0.23861
460, 0.23261
461, 0.22465
462, 0.21443
463, 0.20546
464, 0.19333
465, 0.18119
466, 0.17139
467, 0.15951
468, 0.14839
469, 0.13667
470, 0.12716
471, 0.11710
472, 0.10704
473, 0.09837
474, 0.09075
475, 0.08412
476, 0.07617
477, 0.06979
478, 0.06526
479, 0.05912
480, 0.05502
481, 0.05071
482, 0.04660
483, 0.04354
484, 0.04024
485, 0.03706
486, 0.03482
487, 0.03286
488, 0.03143
489, 0.02945
490, 0.02858
491, 0.02772
492, 0.02779
493, 0.02781
494, 0.02786
495, 0.02856
496, 0.02895
497, 0.03117
498, 0.03276
499, 0.03402
500, 0.03742
501, 0.03986
502, 0.04365
503, 0.04753
504, 0.05243
505, 0.05787
506, 0.06390
507, 0.07010
508, 0.07792
509, 0.08472
510, 0.09424
511, 0.10311
512, 0.11307
513, 0.12346
514, 0.13381
515, 0.14604
516, 0.15703
517, 0.17008
518, 0.18225
519, 0.19348
520, 0.20552
521, 0.21745
522, 0.22704
523, 0.23738
524, 0.24499
525, 0.25237
526, 0.25852
527, 0.26275
528, 0.26552
529, 0.26801
530, 0.26731
531, 0.26571
532, 0.26356
533, 0.25853
534, 0.25325
535, 0.24722
536, 0.23922
537, 0.23288
538, 0.22382
539, 0.21596
540, 0.20779
541, 0.19949
542, 0.19053
543, 0.18144
544, 0.17276
545, 0.16510
546, 0.15789
547, 0.14947
548, 0.14267
549, 0.13566
550, 0.12854
551, 0.12325
552, 0.11772
553, 0.11088
554, 0.10661
555, 0.10051
556, 0.09654
557, 0.09290
