5500K Daylight Simulation - 'Bad' CRI
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,5507.4
XYZt: ,0.95816,1.00000,0.92522

wavelength (nanometers),power (peak normalized)
380, 0.00083
381, 0.00065
382, 0.00047
383, 0.00036
384, 0.00098
385, 0.00065
386, 0.00098
387, 0.00060
388, 0.00052
389, 0.00040
390, 0.00049
391, 0.00129
392, 0.00057
393, 0.00096
394, 0.00152
395, 0.00127
396, 0.00091
397, 0.00176
398, 0.00030
399, 0.00123
400, 0.00083
401, 0.00106
402, 0.00048
403, 0.00016
404, 0.00052
405, 0.00080
406, 0.00188
407, 0.00086
408, 0.00125
409, 0.00098
410, 0.00091
411, 0.00105
412, 0.00202
413, 0.00197
414, 0.00190
415, 0.00247
416, 0.00221
417, 0.00273
418, 0.00371
419, 0.00378
420, 0.00555
421, 0.00564
422, 0.00638
423, 0.00772
424, 0.00972
425, 0.01136
426, 0.01359
427, 0.01588
428, 0.01878
429, 0.02253
430, 0.02647
431, 0.03231
432, 0.03756
433, 0.04428
434, 0.05124
435, 0.06070
436, 0.07045
437, 0.08172
438, 0.09535
439, 0.11055
440, 0.12725
441, 0.14657
442, 0.16973
443, 0.19610
444, 0.22614
445, 0.25799
446, 0.29490
447, 0.33666
448, 0.38016
449, 0.43031
450, 0.47705
451, 0.52412
452, 0.56993
453, 0.60876
454, 0.64340
455, 0.66809
456, 0.68585
457, 0.68913
458, 0.69227
459, 0.67872
460, 0.66332
461, 0.64082
462, 0.61283
463, 0.58325
464, 0.55149
465, 0.51817
466, 0.48731
467, 0.45510
468, 0.42244
469, 0.39103
470, 0.36171
471, 0.33393
472, 0.30675
473, 0.28145
474, 0.25853
475, 0.23761
476, 0.21801
477, 0.19972
478, 0.18366
479, 0.16880
480, 0.15490
481, 0.14297
482, 0.13076
483, 0.12051
484, 0.11174
485, 0.10241
486, 0.09561
487, 0.08812
488, 0.08316
489, 0.07821
490, 0.07456
491, 0.06973
492, 0.06860
493, 0.06658
494, 0.06581
495, 0.06622
496, 0.06537
497, 0.06698
498, 0.06932
499, 0.07233
500, 0.07655
501, 0.08105
502, 0.08641
503, 0.09315
504, 0.10217
505, 0.11015
506, 0.12020
507, 0.13183
508, 0.14362
509, 0.15778
510, 0.17344
511, 0.19002
512, 0.20580
513, 0.22565
514, 0.24466
515, 0.26500
516, 0.28681
517, 0.30860
518, 0.32931
519, 0.35060
520, 0.37081
521, 0.39219
522, 0.41189
523, 0.42930
524, 0.44505
525, 0.45633
526, 0.47034
527, 0.47666
528, 0.48251
529, 0.48467
530, 0.48437
531, 0.48175
532, 0.47684
533, 0.46853
534, 0.46199
535, 0.44978
536, 0.43686
537, 0.42418
538, 0.40952
539, 0.39305
540, 0.37622
541, 0.36155
542, 0.34560
543, 0.33046
544, 0.31599
545, 0.30104
546, 0.28597
547, 0.27297
548, 0.25890
549, 0.24660
550, 0.23411
551, 0.22287
552, 0.21116
553, 0.20166
554, 0.19091
555, 0.18201
556, 0.17359
557, 0.16463
