5500K Daylight Simulation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,5494.0
XYZt: ,0.95831,1.00000,0.92275

wavelength (nanometers),power (peak normalized)
380, 0.00073
381, 0.00078
382, 0.00166
383, 0.00317
384, 0.00094
385, 0.00084
386, 0.00257
387, 0.00051
388, 0.00218
389, 0.00110
390, 0.00101
391, 0.00294
392, 0.00366
393, 0.00228
394, -0.00265
395, 0.00028
396, 0.00157
397, 0.00194
398, 0.00185
399, 0.00180
400, 0.00134
401, 0.00072
402, 0.00357
403, 0.00180
404, 0.00264
405, 0.00279
406, 0.00208
407, 0.00424
408, 0.00331
409, 0.00304
410, 0.00446
411, 0.00568
412, 0.00536
413, 0.00715
414, 0.00846
415, 0.00735
416, 0.01001
417, 0.01346
418, 0.01576
419, 0.01925
420, 0.02241
421, 0.02648
422, 0.03209
423, 0.03869
424, 0.04496
425, 0.05266
426, 0.06157
427, 0.07302
428, 0.08669
429, 0.09953
430, 0.11958
431, 0.14043
432, 0.16349
433, 0.19044
434, 0.22221
435, 0.25398
436, 0.29244
437, 0.33257
438, 0.37576
439, 0.41959
440, 0.46202
441, 0.51033
442, 0.55227
443, 0.59657
444, 0.63724
445, 0.67585
446, 0.72172
447, 0.75931
448, 0.79953
449, 0.84438
450, 0.87856
451, 0.91368
452, 0.94605
453, 0.96926
454, 0.98817
455, 0.99370
456, 0.98737
457, 0.97408
458, 0.95087
459, 0.91625
460, 0.88156
461, 0.84033
462, 0.79879
463, 0.76287
464, 0.72475
465, 0.69038
466, 0.65858
467, 0.63642
468, 0.60848
469, 0.58637
470, 0.56406
471, 0.54940
472, 0.53391
473, 0.52070
474, 0.50621
475, 0.49085
476, 0.48089
477, 0.46974
478, 0.45984
479, 0.44772
480, 0.44105
481, 0.43439
482, 0.43015
483, 0.42996
484, 0.43102
485, 0.43142
486, 0.43846
487, 0.44725
488, 0.45837
489, 0.46971
490, 0.47972
491, 0.49442
492, 0.50614
493, 0.51951
494, 0.53270
495, 0.54339
496, 0.55512
497, 0.56477
498, 0.57074
499, 0.57804
500, 0.58265
501, 0.58482
502, 0.58765
503, 0.58894
504, 0.59542
505, 0.59824
506, 0.60394
507, 0.60694
508, 0.61227
509, 0.61998
510, 0.62968
511, 0.63971
512, 0.64904
513, 0.65955
514, 0.67074
515, 0.68215
516, 0.69469
517, 0.70677
518, 0.71853
519, 0.72609
520, 0.73599
521, 0.74538
522, 0.75127
523, 0.75434
524, 0.75823
525, 0.75604
526, 0.75675
527, 0.75305
528, 0.74909
529, 0.74013
530, 0.73298
531, 0.72341
532, 0.71281
533, 0.70170
534, 0.68948
535, 0.67667
536, 0.66087
537, 0.64915
538, 0.63818
539, 0.62255
540, 0.60912
541, 0.59568
542, 0.58430
543, 0.56946
544, 0.55958
545, 0.54777
546, 0.53326
547, 0.52444
548, 0.51031
549, 0.49846
550, 0.48984
551, 0.48119
552, 0.46966
553, 0.46106
554, 0.45253
555, 0.44153
556, 0.43688
557, 0.43018
558, 0.42077
