3200K Tungsten Simulation - 'Good' CRI
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,3200.6
XYZt: ,1.06110,1.00000,0.44524

wavelength (nanometers),power (peak normalized)
380, -0.00041
381, 0.00030
382, -0.00014
383, 0.00081
384, 0.00117
385, -0.00008
386, -0.00067
387, 0.00075
388, -0.00024
389, 0.00020
390, -0.00009
391, 0.00007
392, -0.00021
393, 0.00052
394, 0.00040
395, 0.00059
396, 0.00041
397, 0.00083
398, 0.00015
399, 0.00057
400, 0.00097
401, 0.00068
402, 0.00058
403, -0.00025
404, 0.00007
405, 0.00076
406, 0.00109
407, -0.00006
408, 0.00022
409, 0.00041
410, 0.00046
411, 0.00066
412, 0.00049
413, 0.00049
414, 0.00096
415, 0.00112
416, 0.00149
417, 0.00120
418, 0.00128
419, 0.00189
420, 0.00283
421, 0.00335
422, 0.00313
423, 0.00340
424, 0.00423
425, 0.00511
426, 0.00646
427, 0.00753
428, 0.00839
429, 0.01026
430, 0.01228
431, 0.01443
432, 0.01722
433, 0.02017
434, 0.02307
435, 0.02774
436, 0.03259
437, 0.03755
438, 0.04348
439, 0.04986
440, 0.05786
441, 0.06583
442, 0.07615
443, 0.08786
444, 0.10140
445, 0.11726
446, 0.13408
447, 0.15236
448, 0.17200
449, 0.19360
450, 0.21526
451, 0.23646
452, 0.25698
453, 0.27481
454, 0.29002
455, 0.30150
456, 0.30771
457, 0.31250
458, 0.31136
459, 0.30507
460, 0.29776
461, 0.28801
462, 0.27677
463, 0.26232
464, 0.24791
465, 0.23286
466, 0.21931
467, 0.20520
468, 0.19026
469, 0.17646
470, 0.16330
471, 0.14992
472, 0.13906
473, 0.12742
474, 0.11660
475, 0.10766
476, 0.09901
477, 0.09141
478, 0.08395
479, 0.07699
480, 0.07149
481, 0.06581
482, 0.06146
483, 0.05708
484, 0.05328
485, 0.05046
486, 0.04723
487, 0.04484
488, 0.04247
489, 0.04126
490, 0.04060
491, 0.04009
492, 0.03969
493, 0.04068
494, 0.04131
495, 0.04270
496, 0.04495
497, 0.04808
498, 0.05063
499, 0.05479
500, 0.05877
501, 0.06472
502, 0.07121
503, 0.07795
504, 0.08522
505, 0.09474
506, 0.10408
507, 0.11516
508, 0.12794
509, 0.14042
510, 0.15407
511, 0.16959
512, 0.18600
513, 0.20400
514, 0.22194
515, 0.24144
516, 0.26039
517, 0.28068
518, 0.30005
519, 0.32048
520, 0.33950
521, 0.35703
522, 0.37631
523, 0.39165
524, 0.40662
525, 0.41799
526, 0.42843
527, 0.43509
528, 0.43982
529, 0.44296
530, 0.44225
531, 0.44187
532, 0.43695
533, 0.42925
534, 0.42177
535, 0.40967
536, 0.39785
537, 0.38635
538, 0.37391
539, 0.36052
540, 0.34502
541, 0.33085
542, 0.31701
543, 0.30154
544, 0.28777
545, 0.27517
546, 0.26113
547, 0.24790
548, 0.23626
549, 0.22598
550, 0.21422
551, 0.20313
552, 0.19326
553, 0.18417
554, 0.17422
555, 0.16580
556, 0.15707
557, 0.14924
