5500K Daylight Simulation - 'Good' CRI
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,5496.7
XYZt: ,0.95859,1.00000,0.92390

wavelength (nanometers),power (peak normalized)
380, 0.00082
381, 0.00119
382, -0.00026
383, 0.00108
384, 0.00164
385, 0.00126
386, 0.00024
387, -0.00033
388, 0.00047
389, 0.00024
390, -0.00002
391, 0.00115
392, -0.00008
393, 0.00036
394, 0.00046
395, 0.00070
396, 0.00053
397, 0.00125
398, 0.00154
399, 0.00022
400, 0.00057
401, 0.00030
402, 0.00127
403, 0.00021
404, 0.00140
405, 0.00111
406, 0.00099
407, 0.00199
408, 0.00110
409, 0.00100
410, 0.00049
411, 0.00149
412, 0.00203
413, 0.00173
414, 0.00291
415, 0.00345
416, 0.00335
417, 0.00410
418, 0.00463
419, 0.00613
420, 0.00633
421, 0.00696
422, 0.00904
423, 0.01084
424, 0.01252
425, 0.01464
426, 0.01734
427, 0.02201
428, 0.02498
429, 0.02971
430, 0.03442
431, 0.04190
432, 0.04925
433, 0.05644
434, 0.06762
435, 0.07894
436, 0.09190
437, 0.10684
438, 0.12422
439, 0.14301
440, 0.16320
441, 0.19052
442, 0.21897
443, 0.25477
444, 0.29342
445, 0.33586
446, 0.38600
447, 0.43754
448, 0.49451
449, 0.55506
450, 0.62009
451, 0.68050
452, 0.74043
453, 0.78879
454, 0.83330
455, 0.86847
456, 0.89226
457, 0.89841
458, 0.89678
459, 0.88181
460, 0.86083
461, 0.83014
462, 0.79679
463, 0.75643
464, 0.71734
465, 0.67566
466, 0.63235
467, 0.59019
468, 0.54910
469, 0.50977
470, 0.46965
471, 0.43427
472, 0.40107
473, 0.36742
474, 0.33626
475, 0.30880
476, 0.28381
477, 0.25970
478, 0.23989
479, 0.22034
480, 0.20248
481, 0.18579
482, 0.17163
483, 0.15878
484, 0.14552
485, 0.13500
486, 0.12560
487, 0.11848
488, 0.11198
489, 0.10391
490, 0.09907
491, 0.09576
492, 0.09409
493, 0.09157
494, 0.09099
495, 0.09117
496, 0.09232
497, 0.09620
498, 0.09929
499, 0.10441
500, 0.11038
501, 0.11920
502, 0.12733
503, 0.13803
504, 0.14771
505, 0.16327
506, 0.17849
507, 0.19604
508, 0.21519
509, 0.23554
510, 0.25770
511, 0.28228
512, 0.30831
513, 0.33553
514, 0.36512
515, 0.39767
516, 0.42932
517, 0.46145
518, 0.49365
519, 0.52507
520, 0.55816
521, 0.58876
522, 0.61524
523, 0.64311
524, 0.66557
525, 0.68560
526, 0.70374
527, 0.71326
528, 0.72364
529, 0.72537
530, 0.72803
531, 0.72377
532, 0.71654
533, 0.70632
534, 0.69173
535, 0.67642
536, 0.65641
537, 0.63534
538, 0.61372
539, 0.59198
540, 0.56887
541, 0.54471
542, 0.52022
543, 0.49679
544, 0.47345
545, 0.45323
546, 0.43060
547, 0.40917
548, 0.39110
549, 0.37091
550, 0.35240
551, 0.33606
552, 0.31735
553, 0.30253
554, 0.28642
555, 0.27269
556, 0.25781
557, 0.24437
