3200K Tungsten Simulation - 'Intense' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,3201.4
XYZt: ,1.06185,1.00000,0.44819

wavelength (nanometers),power (peak normalized)
380, 0.00086
381, 0.00060
382, 0.00032
383, 0.00012
384, -0.00014
385, 0.00057
386, 0.00058
387, 0.00018
388, 0.00054
389, 0.00101
390, 0.00032
391, 0.00066
392, 0.00029
393, 0.00038
394, 0.00021
395, -0.00036
396, 0.00069
397, 0.00068
398, 0.00022
399, -0.00010
400, 0.00007
401, 0.00068
402, 0.00065
403, 0.00030
404, 0.00024
405, 0.00010
406, 0.00071
407, 0.00019
408, 0.00053
409, 0.00049
410, 0.00054
411, 0.00030
412, 0.00077
413, 0.00077
414, 0.00076
415, 0.00090
416, 0.00141
417, 0.00130
418, 0.00084
419, 0.00147
420, 0.00218
421, 0.00209
422, 0.00261
423, 0.00229
424, 0.00333
425, 0.00310
426, 0.00440
427, 0.00542
428, 0.00612
429, 0.00706
430, 0.00853
431, 0.01055
432, 0.01223
433, 0.01385
434, 0.01668
435, 0.01965
436, 0.02231
437, 0.02584
438, 0.03046
439, 0.03473
440, 0.04050
441, 0.04726
442, 0.05423
443, 0.06242
444, 0.07148
445, 0.08224
446, 0.09428
447, 0.10760
448, 0.12186
449, 0.13691
450, 0.15122
451, 0.16654
452, 0.18027
453, 0.19421
454, 0.20349
455, 0.21224
456, 0.21702
457, 0.21911
458, 0.21868
459, 0.21417
460, 0.20902
461, 0.20195
462, 0.19329
463, 0.18352
464, 0.17430
465, 0.16435
466, 0.15370
467, 0.14385
468, 0.13328
469, 0.12367
470, 0.11429
471, 0.10540
472, 0.09751
473, 0.08974
474, 0.08232
475, 0.07548
476, 0.06976
477, 0.06379
478, 0.05972
479, 0.05482
480, 0.05075
481, 0.04729
482, 0.04351
483, 0.04044
484, 0.03855
485, 0.03633
486, 0.03448
487, 0.03234
488, 0.03176
489, 0.03079
490, 0.03017
491, 0.03038
492, 0.03016
493, 0.03112
494, 0.03197
495, 0.03284
496, 0.03489
497, 0.03757
498, 0.03980
499, 0.04332
500, 0.04711
501, 0.05150
502, 0.05629
503, 0.06271
504, 0.06876
505, 0.07633
506, 0.08425
507, 0.09301
508, 0.10327
509, 0.11402
510, 0.12542
511, 0.13803
512, 0.15132
513, 0.16554
514, 0.18034
515, 0.19598
516, 0.21184
517, 0.22868
518, 0.24466
519, 0.26100
520, 0.27646
521, 0.29163
522, 0.30480
523, 0.31879
524, 0.32966
525, 0.33972
526, 0.34854
527, 0.35396
528, 0.35894
529, 0.35955
530, 0.36059
531, 0.35884
532, 0.35562
533, 0.34922
534, 0.34306
535, 0.33469
536, 0.32351
537, 0.31446
538, 0.30533
539, 0.29320
540, 0.28124
541, 0.26933
542, 0.25717
543, 0.24612
544, 0.23427
545, 0.22378
546, 0.21249
547, 0.20264
548, 0.19290
549, 0.18315
550, 0.17448
551, 0.16507
552, 0.15745
553, 0.14900
554, 0.14175
555, 0.13391
556, 0.12653
557, 0.12056
