5500K Daylight Simulation - 'Intense' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,5498.8
XYZt: ,0.95769,1.00000,0.92249

wavelength (nanometers),power (peak normalized)
380, 0.00158
381, 0.00139
382, 0.00072
383, 0.00227
384, 0.00158
385, 0.00058
386, 0.00050
387, 0.00056
388, 0.00080
389, 0.00130
390, 0.00125
391, 0.00106
392, 0.00116
393, 0.00040
394, 0.00104
395, -0.00020
396, 0.00033
397, 0.00028
398, -0.00018
399, 0.00073
400, 0.00030
401, 0.00029
402, 0.00026
403, 0.00045
404, 0.00043
405, 0.00009
406, 0.00107
407, -0.00034
408, 0.00019
409, 0.00062
410, 0.00137
411, 0.00094
412, 0.00070
413, 0.00079
414, 0.00050
415, 0.00176
416, 0.00225
417, 0.00231
418, 0.00271
419, 0.00287
420, 0.00394
421, 0.00464
422, 0.00594
423, 0.00728
424, 0.00949
425, 0.01032
426, 0.01219
427, 0.01455
428, 0.01856
429, 0.02111
430, 0.02502
431, 0.02938
432, 0.03491
433, 0.04105
434, 0.04877
435, 0.05588
436, 0.06478
437, 0.07608
438, 0.08810
439, 0.10257
440, 0.11804
441, 0.13648
442, 0.15752
443, 0.18187
444, 0.20895
445, 0.24108
446, 0.27555
447, 0.31295
448, 0.35318
449, 0.39821
450, 0.44107
451, 0.48522
452, 0.52623
453, 0.56349
454, 0.59294
455, 0.61613
456, 0.63134
457, 0.63876
458, 0.63757
459, 0.62655
460, 0.61108
461, 0.59046
462, 0.56479
463, 0.53758
464, 0.50915
465, 0.47958
466, 0.45072
467, 0.42086
468, 0.38969
469, 0.36163
470, 0.33460
471, 0.30821
472, 0.28386
473, 0.26100
474, 0.23910
475, 0.21901
476, 0.20319
477, 0.18493
478, 0.17144
479, 0.15699
480, 0.14351
481, 0.13246
482, 0.12244
483, 0.11303
484, 0.10412
485, 0.09724
486, 0.09133
487, 0.08520
488, 0.07997
489, 0.07597
490, 0.07235
491, 0.07040
492, 0.06816
493, 0.06751
494, 0.06749
495, 0.06790
496, 0.06994
497, 0.07146
498, 0.07616
499, 0.07961
500, 0.08480
501, 0.09080
502, 0.09761
503, 0.10651
504, 0.11510
505, 0.12710
506, 0.13860
507, 0.15239
508, 0.16800
509, 0.18410
510, 0.20248
511, 0.22082
512, 0.24155
513, 0.26220
514, 0.28671
515, 0.31055
516, 0.33552
517, 0.36098
518, 0.38649
519, 0.41220
520, 0.43395
521, 0.45953
522, 0.48172
523, 0.50303
524, 0.52148
525, 0.53618
526, 0.54958
527, 0.55902
528, 0.56644
529, 0.56913
530, 0.56781
531, 0.56831
532, 0.56212
533, 0.55137
534, 0.54188
535, 0.52830
536, 0.51213
537, 0.49617
538, 0.48189
539, 0.46275
540, 0.44427
541, 0.42592
542, 0.40847
543, 0.38904
544, 0.37099
545, 0.35556
546, 0.33766
547, 0.32030
548, 0.30565
549, 0.28952
550, 0.27481
551, 0.26263
552, 0.24857
553, 0.23507
554, 0.22404
555, 0.21138
556, 0.20079
557, 0.18978
