3200K Tungsten Simulation - 'Mild' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,3200.2
XYZt: ,1.06149,1.00000,0.44615

wavelength (nanometers),power (peak normalized)
380, -0.00029
381, 0.00012
382, -0.00048
383, -0.00044
384, 0.00029
385, -0.00005
386, 0.00019
387, 0.00021
388, 0.00047
389, 0.00033
390, -0.00011
391, 0.00071
392, -0.00039
393, 0.00022
394, -0.00051
395, -0.00014
396, 0.00047
397, 0.00036
398, -0.00011
399, 0.00038
400, -0.00010
401, 0.00120
402, -0.00002
403, 0.00097
404, 0.00046
405, 0.00032
406, 0.00055
407, 0.00084
408, 0.00056
409, 0.00046
410, 0.00129
411, 0.00061
412, 0.00115
413, 0.00046
414, 0.00058
415, 0.00145
416, 0.00147
417, 0.00153
418, 0.00162
419, 0.00278
420, 0.00184
421, 0.00226
422, 0.00268
423, 0.00354
424, 0.00396
425, 0.00478
426, 0.00579
427, 0.00601
428, 0.00809
429, 0.00864
430, 0.01091
431, 0.01212
432, 0.01492
433, 0.01748
434, 0.02044
435, 0.02321
436, 0.02706
437, 0.03119
438, 0.03642
439, 0.04269
440, 0.04871
441, 0.05574
442, 0.06476
443, 0.07478
444, 0.08670
445, 0.09900
446, 0.11248
447, 0.12961
448, 0.14618
449, 0.16415
450, 0.18113
451, 0.19991
452, 0.21719
453, 0.23242
454, 0.24536
455, 0.25463
456, 0.26104
457, 0.26246
458, 0.26169
459, 0.25755
460, 0.25119
461, 0.24144
462, 0.23257
463, 0.22040
464, 0.20831
465, 0.19651
466, 0.18464
467, 0.17150
468, 0.16003
469, 0.14786
470, 0.13715
471, 0.12690
472, 0.11604
473, 0.10664
474, 0.09824
475, 0.09056
476, 0.08378
477, 0.07678
478, 0.07059
479, 0.06504
480, 0.05982
481, 0.05598
482, 0.05201
483, 0.04854
484, 0.04495
485, 0.04225
486, 0.04028
487, 0.03816
488, 0.03663
489, 0.03498
490, 0.03456
491, 0.03479
492, 0.03481
493, 0.03511
494, 0.03570
495, 0.03726
496, 0.03934
497, 0.04223
498, 0.04489
499, 0.04901
500, 0.05308
501, 0.05764
502, 0.06333
503, 0.07001
504, 0.07669
505, 0.08493
506, 0.09393
507, 0.10343
508, 0.11444
509, 0.12622
510, 0.13946
511, 0.15341
512, 0.16859
513, 0.18488
514, 0.19998
515, 0.21824
516, 0.23537
517, 0.25329
518, 0.27113
519, 0.28862
520, 0.30481
521, 0.32332
522, 0.34034
523, 0.35380
524, 0.36662
525, 0.37704
526, 0.38579
527, 0.39289
528, 0.39750
529, 0.40113
530, 0.39915
531, 0.39882
532, 0.39420
533, 0.38776
534, 0.37979
535, 0.37061
536, 0.35975
537, 0.34936
538, 0.33661
539, 0.32404
540, 0.31100
541, 0.29803
542, 0.28440
543, 0.27255
544, 0.25993
545, 0.24880
546, 0.23570
547, 0.22512
548, 0.21277
549, 0.20213
550, 0.19144
551, 0.18348
552, 0.17349
553, 0.16498
554, 0.15651
555, 0.14920
556, 0.14122
557, 0.13425
