5500K Daylight Simulation - 'Mild' Saturation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,5499.8
XYZt: ,0.95882,1.00000,0.92498

wavelength (nanometers),power (peak normalized)
380, 0.00072
381, 0.00110
382, 0.00084
383, -0.00040
384, -0.00036
385, 0.00021
386, -0.00004
387, 0.00028
388, -0.00002
389, 0.00049
390, 0.00052
391, 0.00089
392, 0.00076
393, 0.00098
394, 0.00066
395, 0.00035
396, 0.00076
397, -0.00008
398, 0.00030
399, 0.00093
400, 0.00088
401, 0.00061
402, 0.00033
403, 0.00021
404, 0.00017
405, 0.00044
406, -0.00083
407, 0.00085
408, 0.00100
409, 0.00114
410, 0.00080
411, 0.00142
412, 0.00162
413, 0.00198
414, 0.00220
415, 0.00190
416, 0.00294
417, 0.00342
418, 0.00330
419, 0.00388
420, 0.00543
421, 0.00639
422, 0.00772
423, 0.00982
424, 0.01118
425, 0.01261
426, 0.01463
427, 0.01829
428, 0.02212
429, 0.02563
430, 0.03000
431, 0.03619
432, 0.04229
433, 0.04980
434, 0.05757
435, 0.06830
436, 0.07849
437, 0.09152
438, 0.10613
439, 0.12216
440, 0.14156
441, 0.16288
442, 0.18908
443, 0.21622
444, 0.24959
445, 0.28793
446, 0.32895
447, 0.37403
448, 0.42110
449, 0.47690
450, 0.52713
451, 0.57884
452, 0.62778
453, 0.67338
454, 0.70892
455, 0.73741
456, 0.75510
457, 0.76145
458, 0.75816
459, 0.74641
460, 0.72813
461, 0.70452
462, 0.67176
463, 0.64048
464, 0.60615
465, 0.57216
466, 0.53754
467, 0.50192
468, 0.46538
469, 0.43120
470, 0.39937
471, 0.36603
472, 0.33773
473, 0.31045
474, 0.28543
475, 0.26080
476, 0.23944
477, 0.22097
478, 0.20219
479, 0.18588
480, 0.17136
481, 0.15772
482, 0.14427
483, 0.13480
484, 0.12273
485, 0.11407
486, 0.10702
487, 0.10020
488, 0.09428
489, 0.08928
490, 0.08406
491, 0.08151
492, 0.07876
493, 0.07916
494, 0.07843
495, 0.07935
496, 0.08063
497, 0.08324
498, 0.08571
499, 0.09071
500, 0.09650
501, 0.10333
502, 0.11186
503, 0.12064
504, 0.13073
505, 0.14358
506, 0.15741
507, 0.17369
508, 0.18898
509, 0.20693
510, 0.22851
511, 0.25037
512, 0.27332
513, 0.29778
514, 0.32589
515, 0.35197
516, 0.37937
517, 0.40926
518, 0.43892
519, 0.46522
520, 0.49387
521, 0.51988
522, 0.54593
523, 0.56723
524, 0.58879
525, 0.60577
526, 0.61992
527, 0.63237
528, 0.64090
529, 0.64338
530, 0.64187
531, 0.63957
532, 0.63707
533, 0.62216
534, 0.61139
535, 0.59622
536, 0.58122
537, 0.56308
538, 0.54477
539, 0.52399
540, 0.50213
541, 0.48156
542, 0.46089
543, 0.43908
544, 0.41834
545, 0.40007
546, 0.37944
547, 0.36313
548, 0.34433
549, 0.32832
550, 0.31087
551, 0.29589
552, 0.28100
553, 0.26525
554, 0.25229
555, 0.23727
556, 0.22663
557, 0.21518
