3200K Tungsten Simulation
Measured with: ,NIST's Instrument Systems Compact Array Spectrometer
Date measured: ,03/02/2011
File generated on: ,July 31,2012 11:31:43 PM

CCT: ,3199.6
XYZt: ,1.06111,1.00000,0.44460

wavelength (nanometers),power (peak normalized)
380, -0.00004
381, 0.00140
382, 0.00007
383, 0.00124
384, 0.00054
385, 0.00044
386, 0.00110
387, 0.00071
388, -0.00019
389, 0.00059
390, 0.00055
391, 0.00136
392, 0.00128
393, 0.00105
394, 0.00139
395, 0.00134
396, 0.00103
397, 0.00033
398, 0.00062
399, 0.00065
400, 0.00093
401, 0.00088
402, 0.00197
403, 0.00132
404, 0.00196
405, 0.00161
406, 0.00169
407, 0.00210
408, 0.00216
409, 0.00243
410, 0.00264
411, 0.00293
412, 0.00321
413, 0.00323
414, 0.00411
415, 0.00502
416, 0.00555
417, 0.00690
418, 0.00887
419, 0.01070
420, 0.01403
421, 0.01515
422, 0.01745
423, 0.02146
424, 0.02496
425, 0.02982
426, 0.03421
427, 0.04027
428, 0.04825
429, 0.05513
430, 0.06490
431, 0.07713
432, 0.08713
433, 0.10164
434, 0.11881
435, 0.13488
436, 0.15286
437, 0.17138
438, 0.19139
439, 0.20901
440, 0.22251
441, 0.23589
442, 0.24304
443, 0.24852
444, 0.24666
445, 0.24275
446, 0.23513
447, 0.22455
448, 0.21128
449, 0.19771
450, 0.18411
451, 0.17468
452, 0.16425
453, 0.15564
454, 0.14967
455, 0.14389
456, 0.13910
457, 0.13648
458, 0.13387
459, 0.13321
460, 0.13255
461, 0.13381
462, 0.13725
463, 0.14294
464, 0.14753
465, 0.15441
466, 0.16389
467, 0.17205
468, 0.18023
469, 0.19006
470, 0.20127
471, 0.20853
472, 0.21738
473, 0.22350
474, 0.22764
475, 0.23145
476, 0.23601
477, 0.23665
478, 0.23715
479, 0.23712
480, 0.23659
481, 0.23602
482, 0.23365
483, 0.23466
484, 0.23463
485, 0.23465
486, 0.23621
487, 0.23875
488, 0.24281
489, 0.24735
490, 0.25093
491, 0.25666
492, 0.25989
493, 0.26268
494, 0.26634
495, 0.26649
496, 0.26978
497, 0.27059
498, 0.27029
499, 0.26817
500, 0.26572
501, 0.26232
502, 0.25990
503, 0.25677
504, 0.25397
505, 0.24966
506, 0.24782
507, 0.24655
508, 0.24499
509, 0.24350
510, 0.24324
511, 0.24373
512, 0.24442
513, 0.24489
514, 0.24680
515, 0.25097
516, 0.25211
517, 0.25713
518, 0.25858
519, 0.26103
520, 0.26344
521, 0.26718
522, 0.27087
523, 0.27392
524, 0.27748
525, 0.28043
526, 0.28533
527, 0.28742
528, 0.29303
529, 0.29548
530, 0.29969
531, 0.30428
532, 0.30853
533, 0.31077
534, 0.31484
535, 0.31885
536, 0.32174
537, 0.32673
538, 0.33124
539, 0.33470
540, 0.33696
541, 0.34209
542, 0.34405
543, 0.34867
544, 0.35115
545, 0.35279
546, 0.35665
547, 0.35783
548, 0.35989
549, 0.36194
550, 0.36490
551, 0.36639
552, 0.36903
553, 0.37018
554, 0.37080
555, 0.37338
556, 0.37337
557, 0.37672
558, 0.37719
