PRG tungsten
Measured with: ,AMPAS PR-705
Date measured: ,03/31/2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3048.0
XYZt: ,1.08727,1.00000,0.44070

wavelength (nanometers),power (peak normalized)
380, 0.01281
382, 0.01311
384, 0.00539
386, 0.00862
388, 0.01108
390, 0.00755
392, 0.00826
394, 0.00976
396, 0.00564
398, 0.00937
400, 0.00652
402, 0.00814
404, 0.00779
406, 0.00737
408, 0.01188
410, 0.01068
412, 0.01130
414, 0.01733
416, 0.01756
418, 0.02355
420, 0.03196
422, 0.04142
424, 0.05142
426, 0.06584
428, 0.08112
430, 0.10090
432, 0.12509
434, 0.14841
436, 0.17838
438, 0.21317
440, 0.24812
442, 0.28922
444, 0.33510
446, 0.37466
448, 0.40109
450, 0.40706
452, 0.39887
454, 0.37653
456, 0.35078
458, 0.32844
460, 0.31753
462, 0.31668
464, 0.32077
466, 0.33407
468, 0.33714
470, 0.34277
472, 0.34669
474, 0.34720
476, 0.34123
478, 0.33782
480, 0.33578
482, 0.33407
484, 0.33441
486, 0.33817
488, 0.33868
490, 0.34294
492, 0.35010
494, 0.35931
496, 0.36238
498, 0.37466
500, 0.38728
502, 0.39853
504, 0.40638
506, 0.41814
508, 0.42957
510, 0.43844
512, 0.45276
514, 0.46112
516, 0.47084
518, 0.47988
520, 0.49164
522, 0.49710
524, 0.50597
526, 0.51535
528, 0.52422
530, 0.53342
532, 0.54059
534, 0.54826
536, 0.55508
538, 0.56651
540, 0.57128
542, 0.58066
544, 0.59055
546, 0.59465
548, 0.59789
550, 0.60317
552, 0.60539
554, 0.60948
556, 0.61238
558, 0.61716
560, 0.61954
562, 0.62415
564, 0.62636
566, 0.63165
568, 0.63557
570, 0.63915
572, 0.64512
574, 0.65041
576, 0.65604
578, 0.66456
580, 0.66917
582, 0.67718
584, 0.68639
586, 0.69918
588, 0.71282
590, 0.72237
592, 0.73141
594, 0.74676
596, 0.76330
598, 0.77797
600, 0.79195
602, 0.80935
604, 0.82452
606, 0.84482
608, 0.86596
610, 0.88404
612, 0.90246
614, 0.91388
616, 0.92667
618, 0.93912
620, 0.94986
622, 0.96214
624, 0.96965
626, 0.97749
628, 0.98550
630, 0.99130
632, 0.99744
634, 0.99932
636, 1.00000
638, 0.99727
640, 0.99267
642, 0.98806
644, 0.98090
646, 0.97544
648, 0.96504
650, 0.95003
652, 0.94014
654, 0.92326
656, 0.90655
658, 0.88950
660, 0.87261
662, 0.85573
664, 0.83151
666, 0.81293
668, 0.79451
670, 0.77353
672, 0.74847
674, 0.72220
676, 0.69969
678, 0.68059
680, 0.65587
682, 0.63080
684, 0.60692
686, 0.58475
688, 0.56241
690, 0.54280
692, 0.52251
694, 0.49676
696, 0.47647
698, 0.45498
700, 0.43656
702, 0.41542
704, 0.39751
706, 0.38148
708, 0.36340
710, 0.34175
712, 0.33049
714, 0.31600
716, 0.29690
718, 0.28087
720, 0.26705
722, 0.25426
724, 0.24352
726, 0.22954
728, 0.21913
730, 0.20873
732, 0.19577
734, 0.18707
736, 0.17582
738, 0.17121
740, 0.15766
742, 0.14922
744, 0.14291
746, 0.13424
748, 0.12619
750, 0.12128
752, 0.11368
754, 0.11117
756, 0.10293
758, 0.09507
760, 0.09118
762, 0.08250
764, 0.08240
766, 0.07652
768, 0.07290
770, 0.07077
772, 0.07029
774, 0.06289
776, 0.05288
778, 0.05513
780, 0.05418
