PRG HS2 Daylight (5600K)
Measured with: ,AMPAS PR-705
Date measured: ,08-11-2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5984.5
XYZt: ,1.01204,1.00000,1.11917

wavelength (nanometers),power (peak normalized)
380, 0.00553
382, 0.00719
384, 0.00576
386, 0.00518
388, 0.00468
390, 0.00563
392, 0.00514
394, 0.00382
396, 0.00464
398, 0.00684
400, 0.00482
402, 0.00603
404, 0.00813
406, 0.00857
408, 0.01039
410, 0.01285
412, 0.01661
414, 0.02486
416, 0.03507
418, 0.04990
420, 0.06667
422, 0.08940
424, 0.11965
426, 0.15453
428, 0.19846
430, 0.24855
432, 0.31407
434, 0.37958
436, 0.45857
438, 0.55299
440, 0.64355
442, 0.74759
444, 0.85549
446, 0.94220
448, 1.00000
450, 1.00000
452, 0.95954
454, 0.86898
456, 0.76301
458, 0.64355
460, 0.52794
462, 0.44123
464, 0.37380
466, 0.32177
468, 0.26782
470, 0.22929
472, 0.19846
474, 0.17091
476, 0.14586
478, 0.12659
480, 0.11387
482, 0.10501
484, 0.09730
486, 0.09364
488, 0.09056
490, 0.09017
492, 0.09345
494, 0.10154
496, 0.10944
498, 0.12351
500, 0.13988
502, 0.15761
504, 0.17881
506, 0.20039
508, 0.22158
510, 0.24470
512, 0.27168
514, 0.29480
516, 0.31407
518, 0.33526
520, 0.35645
522, 0.37380
524, 0.38921
526, 0.40270
528, 0.41618
530, 0.42775
532, 0.43931
534, 0.44509
536, 0.45279
538, 0.46243
540, 0.46435
542, 0.46821
544, 0.47399
546, 0.47592
548, 0.47784
550, 0.48170
552, 0.48170
554, 0.48170
556, 0.48170
558, 0.48362
560, 0.48362
562, 0.48362
564, 0.48170
566, 0.48170
568, 0.48170
570, 0.47977
572, 0.47784
574, 0.47592
576, 0.47399
578, 0.47206
580, 0.46628
582, 0.46243
584, 0.45665
586, 0.45279
588, 0.45087
590, 0.44509
592, 0.43738
594, 0.43160
596, 0.42582
598, 0.41618
600, 0.41040
602, 0.40462
604, 0.39499
606, 0.38921
608, 0.38150
610, 0.36994
612, 0.36416
614, 0.35453
616, 0.34682
618, 0.33911
620, 0.32948
622, 0.31792
624, 0.30829
626, 0.29865
628, 0.28902
630, 0.28131
632, 0.27360
634, 0.26397
636, 0.25434
638, 0.24663
640, 0.23699
642, 0.22929
644, 0.21965
646, 0.21195
648, 0.20617
650, 0.19461
652, 0.18825
654, 0.18170
656, 0.17245
658, 0.16551
660, 0.16108
662, 0.15395
664, 0.14721
666, 0.14046
668, 0.13391
670, 0.12852
672, 0.12254
674, 0.11676
676, 0.11214
678, 0.10713
680, 0.10096
682, 0.09595
684, 0.09249
686, 0.08767
688, 0.08382
690, 0.07958
692, 0.07688
694, 0.07168
696, 0.06802
698, 0.06474
700, 0.06243
702, 0.05896
704, 0.05549
706, 0.05434
708, 0.05222
710, 0.04682
712, 0.04528
714, 0.04509
716, 0.04123
718, 0.03834
720, 0.03757
722, 0.03699
724, 0.03738
726, 0.03333
728, 0.03430
730, 0.03198
732, 0.02929
734, 0.02871
736, 0.02794
738, 0.02524
740, 0.02158
742, 0.02447
744, 0.02119
746, 0.01894
748, 0.01965
750, 0.01965
752, 0.01798
754, 0.01545
756, 0.01676
758, 0.01355
760, 0.01472
762, 0.01491
764, 0.01476
766, 0.01306
768, 0.01428
770, 0.01697
772, 0.01366
774, 0.01013
776, 0.00840
778, 0.00842
780, 0.01208
