PRG HS2 Tungsten (3200K)
Measured with: ,AMPAS PR-705
Date measured: ,08-11-2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3387.4
XYZt: ,1.06468,1.00000,0.54945

wavelength (nanometers),power (peak normalized)
380, 0.01670
382, 0.00522
384, 0.01074
386, 0.01128
388, 0.01128
390, 0.01005
392, 0.00567
394, 0.00645
396, 0.00911
398, 0.00936
400, 0.00655
402, 0.01261
404, 0.01118
406, 0.01192
408, 0.01187
410, 0.01498
412, 0.01867
414, 0.02611
416, 0.03429
418, 0.04729
420, 0.06108
422, 0.08177
424, 0.10542
426, 0.13202
428, 0.16552
430, 0.20690
432, 0.25567
434, 0.30640
436, 0.36847
438, 0.44236
440, 0.51232
442, 0.59606
444, 0.68473
446, 0.75862
448, 0.81773
450, 0.82759
452, 0.80788
454, 0.74384
456, 0.67488
458, 0.58621
460, 0.50246
462, 0.44138
464, 0.39113
466, 0.35369
468, 0.31429
470, 0.28670
472, 0.26108
474, 0.24089
476, 0.22167
478, 0.21034
480, 0.20542
482, 0.20345
484, 0.20739
486, 0.21576
488, 0.22365
490, 0.23547
492, 0.25123
494, 0.27438
496, 0.29163
498, 0.31823
500, 0.34581
502, 0.36897
504, 0.39655
506, 0.42217
508, 0.45074
510, 0.47389
512, 0.50246
514, 0.52709
516, 0.54680
518, 0.57143
520, 0.59113
522, 0.61084
524, 0.63054
526, 0.64532
528, 0.66502
530, 0.67980
532, 0.69951
534, 0.70936
536, 0.72414
538, 0.73892
540, 0.74877
542, 0.75862
544, 0.77340
546, 0.77833
548, 0.78818
550, 0.79803
552, 0.80296
554, 0.80788
556, 0.81281
558, 0.81773
560, 0.82266
562, 0.82759
564, 0.82759
566, 0.83251
568, 0.83744
570, 0.83744
572, 0.84729
574, 0.84729
576, 0.85222
578, 0.85714
580, 0.85714
582, 0.86207
584, 0.86207
586, 0.87192
588, 0.87685
590, 0.88177
592, 0.88670
594, 0.89163
596, 0.90148
598, 0.90640
600, 0.91626
602, 0.92118
604, 0.92611
606, 0.94089
608, 0.95074
610, 0.95567
612, 0.96552
614, 0.97044
616, 0.98030
618, 0.98522
620, 0.99015
622, 0.99015
624, 0.99507
626, 0.99507
628, 0.99507
630, 1.00000
632, 1.00000
634, 0.99507
636, 0.99015
638, 0.98522
640, 0.97537
642, 0.97044
644, 0.96059
646, 0.95074
648, 0.93596
650, 0.92118
652, 0.90640
654, 0.89163
656, 0.87192
658, 0.85222
660, 0.83744
662, 0.81773
664, 0.79803
666, 0.77833
668, 0.75862
670, 0.73399
672, 0.70936
674, 0.68473
676, 0.66502
678, 0.64532
680, 0.62069
682, 0.59606
684, 0.57635
686, 0.55172
688, 0.53202
690, 0.51232
692, 0.48966
694, 0.46601
696, 0.44729
698, 0.42857
700, 0.41084
702, 0.39163
704, 0.37340
706, 0.35764
708, 0.34286
710, 0.32118
712, 0.31133
714, 0.29754
716, 0.28325
718, 0.26995
720, 0.25862
722, 0.24631
724, 0.23448
726, 0.22266
728, 0.21133
730, 0.20197
732, 0.19113
734, 0.18079
736, 0.16995
738, 0.16305
740, 0.15517
742, 0.15123
744, 0.14089
746, 0.13054
748, 0.12709
750, 0.12217
752, 0.11478
754, 0.10690
756, 0.10099
758, 0.09803
760, 0.09704
762, 0.08916
764, 0.08128
766, 0.07537
768, 0.07586
770, 0.07192
772, 0.06847
774, 0.06798
776, 0.06010
778, 0.06059
780, 0.05468
