Bailey Patent Application - 4750
Measured with: ,extracted using GraphClick
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,4732.9
XYZt: ,0.97713,1.00000,0.78622

wavelength (nanometers),power (peak normalized)
380, 0.00048
382, 0.00048
384, 0.00048
386, 0.00048
388, 0.00048
390, 0.00048
392, 0.00048
394, 0.00048
396, 0.00048
398, 0.00048
400, 0.00006
402, 0.00057
404, 0.00107
406, 0.00201
408, 0.00247
410, 0.00667
412, 0.00993
414, 0.01306
416, 0.01726
418, 0.02258
420, 0.02994
422, 0.04044
424, 0.05417
426, 0.07021
428, 0.08894
430, 0.11803
432, 0.14711
434, 0.17619
436, 0.22842
438, 0.28227
440, 0.35053
442, 0.45248
444, 0.53977
446, 0.61260
448, 0.68542
450, 0.75825
452, 0.79673
454, 0.80348
456, 0.78108
458, 0.72149
460, 0.64411
462, 0.56673
464, 0.51398
466, 0.46730
468, 0.42062
470, 0.39333
472, 0.38110
474, 0.37130
476, 0.37462
478, 0.38625
480, 0.40516
482, 0.44014
484, 0.48187
486, 0.52879
488, 0.56643
490, 0.59677
492, 0.61857
494, 0.61437
496, 0.59861
498, 0.57606
500, 0.55296
502, 0.53730
504, 0.52604
506, 0.51904
508, 0.51452
510, 0.51126
512, 0.50921
514, 0.51131
516, 0.51341
518, 0.51551
520, 0.51761
522, 0.52118
524, 0.52520
526, 0.52870
528, 0.53394
530, 0.53845
532, 0.54125
534, 0.54605
536, 0.55095
538, 0.55564
540, 0.55774
542, 0.56073
544, 0.56395
546, 0.56605
548, 0.56869
550, 0.57010
552, 0.56870
554, 0.57043
556, 0.57253
558, 0.57459
560, 0.57459
562, 0.57581
564, 0.57761
566, 0.57761
568, 0.57860
570, 0.57925
572, 0.57784
574, 0.57761
576, 0.57678
578, 0.57468
580, 0.57191
582, 0.56911
584, 0.56607
586, 0.56047
588, 0.55623
590, 0.55214
592, 0.54584
594, 0.54062
596, 0.53548
598, 0.52988
600, 0.52616
602, 0.52331
604, 0.52126
606, 0.52126
608, 0.52126
610, 0.52210
612, 0.52770
614, 0.53679
616, 0.55019
618, 0.57120
620, 0.61227
622, 0.65722
624, 0.70216
626, 0.74710
628, 0.79204
630, 0.89409
632, 0.96570
634, 1.00000
636, 0.97701
638, 0.84155
640, 0.70903
642, 0.57651
644, 0.48964
646, 0.41859
648, 0.35189
650, 0.32108
652, 0.29027
654, 0.26943
656, 0.25532
658, 0.24062
660, 0.22591
662, 0.21199
664, 0.20009
666, 0.18819
668, 0.17828
670, 0.17128
672, 0.16292
674, 0.15526
676, 0.14826
678, 0.14126
680, 0.13472
682, 0.12842
684, 0.12211
686, 0.11691
688, 0.11128
690, 0.10428
692, 0.10110
694, 0.09730
696, 0.09238
698, 0.08677
700, 0.08285
702, 0.07982
704, 0.07562
706, 0.07244
708, 0.06923
710, 0.06503
712, 0.06202
714, 0.05893
716, 0.05543
718, 0.05261
720, 0.04981
722, 0.04708
724, 0.04498
726, 0.04288
728, 0.04078
730, 0.03868
732, 0.03602
734, 0.03372
736, 0.03232
738, 0.03028
740, 0.02818
742, 0.02613
744, 0.02543
746, 0.02389
748, 0.02202
750, 0.02132
752, 0.01960
754, 0.01811
756, 0.01811
758, 0.01691
760, 0.01522
762, 0.01312
764, 0.01308
766, 0.01243
768, 0.01123
770, 0.01003
772, 0.00883
774, 0.00763
776, 0.00643
778, 0.00523
780, 0.00403
