Rains Patent Application Fig. 4a
Measured with: ,GraphClick
Date measured: ,10/15/2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,2789.8
XYZt: ,1.08453,1.00000,0.26464

wavelength (nanometers),power (peak normalized)
400, 0.03074
401, 0.02902
402, 0.02772
403, 0.02685
404, 0.02641
405, 0.02648
406, 0.02723
407, 0.02781
408, 0.02745
409, 0.02665
410, 0.02635
411, 0.02635
412, 0.02635
413, 0.02635
414, 0.02635
415, 0.02635
416, 0.02734
417, 0.02890
418, 0.02928
419, 0.02928
420, 0.02928
421, 0.02960
422, 0.03040
423, 0.03073
424, 0.03012
425, 0.02939
426, 0.02998
427, 0.03307
428, 0.03513
429, 0.03514
430, 0.03514
431, 0.03517
432, 0.03558
433, 0.03635
434, 0.03793
435, 0.04107
436, 0.04424
437, 0.04692
438, 0.04970
439, 0.05309
440, 0.05737
441, 0.06118
442, 0.06364
443, 0.06566
444, 0.06812
445, 0.07117
446, 0.07479
447, 0.07947
448, 0.08546
449, 0.09110
450, 0.09568
451, 0.10000
452, 0.10467
453, 0.10958
454, 0.11483
455, 0.12073
456, 0.12710
457, 0.13319
458, 0.13893
459, 0.14445
460, 0.14968
461, 0.15463
462, 0.15973
463, 0.16518
464, 0.17085
465, 0.17673
466, 0.18291
467, 0.18918
468, 0.19536
469, 0.20154
470, 0.20773
471, 0.21408
472, 0.22025
473, 0.22571
474, 0.23056
475, 0.23568
476, 0.24185
477, 0.24831
478, 0.25369
479, 0.25779
480, 0.26230
481, 0.26916
482, 0.27818
483, 0.28692
484, 0.29511
485, 0.30291
486, 0.30970
487, 0.31560
488, 0.32185
489, 0.32932
490, 0.33744
491, 0.34550
492, 0.35388
493, 0.36151
494, 0.36719
495, 0.37181
496, 0.37718
497, 0.38454
498, 0.39228
499, 0.39845
500, 0.40371
501, 0.40822
502, 0.41179
503, 0.41491
504, 0.41859
505, 0.42322
506, 0.42783
507, 0.43173
508, 0.43529
509, 0.43800
510, 0.43984
511, 0.44136
512, 0.44306
513, 0.44498
514, 0.44645
515, 0.44727
516, 0.44787
517, 0.44791
518, 0.44602
519, 0.44311
520, 0.44046
521, 0.43762
522, 0.43476
523, 0.43212
524, 0.42939
525, 0.42590
526, 0.42099
527, 0.41649
528, 0.41391
529, 0.41204
530, 0.40933
531, 0.40415
532, 0.39785
533, 0.39241
534, 0.38737
535, 0.38245
536, 0.37767
537, 0.37296
538, 0.36804
539, 0.36335
540, 0.35969
541, 0.35687
542, 0.35379
543, 0.34807
544, 0.34312
545, 0.33969
546, 0.33658
547, 0.33273
548, 0.32955
549, 0.32943
550, 0.32943
551, 0.32943
552, 0.32943
553, 0.32842
554, 0.32862
555, 0.33099
556, 0.33382
557, 0.33839
558, 0.34291
559, 0.34774
560, 0.35459
561, 0.36156
562, 0.36884
563, 0.37658
564, 0.38534
565, 0.39614
566, 0.41286
567, 0.42664
568, 0.43660
569, 0.45219
570, 0.46498
571, 0.48024
572, 0.49959
573, 0.51963
574, 0.53672
575, 0.55533
576, 0.57660
577, 0.60079
578, 0.62353
579, 0.64499
580, 0.66543
581, 0.68678
582, 0.71034
583, 0.73462
584, 0.75779
585, 0.78026
586, 0.80170
587, 0.82196
588, 0.84116
589, 0.85880
590, 0.87448
591, 0.88991
592, 0.90753
593, 0.92656
594, 0.94137
595, 0.95096
596, 0.95910
597, 0.96881
598, 0.98026
599, 0.98925
600, 0.99484
601, 0.99898
602, 1.00000
603, 1.00000
604, 1.00000
605, 0.99945
606, 0.99714
607, 0.99388
608, 0.98834
609, 0.98017
610, 0.97036
611, 0.95724
612, 0.94256
613, 0.92761
614, 0.91173
615, 0.89614
616, 0.88135
617, 0.86643
618, 0.85018
619, 0.83253
620, 0.81536
621, 0.80054
622, 0.78634
623, 0.76897
624, 0.74555
625, 0.72092
626, 0.70032
627, 0.68199
628, 0.66317
629, 0.64260
630, 0.62125
631, 0.59976
632, 0.57772
633, 0.55620
634, 0.53640
635, 0.51775
636, 0.49914
637, 0.47997
638, 0.46100
639, 0.44320
640, 0.42654
641, 0.41017
642, 0.39319
643, 0.37612
644, 0.36054
645, 0.34709
646, 0.33419
647, 0.31995
648, 0.30443
649, 0.28963
650, 0.27672
651, 0.26472
652, 0.25281
653, 0.24062
654, 0.22910
655, 0.21922
656, 0.21052
657, 0.20179
658, 0.19224
659, 0.18254
660, 0.17374
661, 0.16667
662, 0.16039
663, 0.15315
664, 0.14392
665, 0.13468
666, 0.12742
667, 0.12126
668, 0.11562
669, 0.11028
670, 0.10533
671, 0.10089
672, 0.09604
673, 0.08896
674, 0.08570
675, 0.08226
676, 0.07862
677, 0.07577
678, 0.07107
679, 0.06654
680, 0.06240
681, 0.05876
682, 0.05730
683, 0.05563
684, 0.05340
685, 0.05071
686, 0.04884
687, 0.04742
688, 0.04516
689, 0.04235
690, 0.04098
691, 0.03924
692, 0.03685
693, 0.03417
694, 0.03227
695, 0.03221
696, 0.03171
697, 0.03044
698, 0.02928
699, 0.02928
700, 0.02928
