Rains Patent Application Fig. 4b
Measured with: ,GraphClick
Date measured: ,10/15/2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,2610.3
XYZt: ,1.11646,1.00000,0.23320

wavelength (nanometers),power (peak normalized)
400, 0.01852
401, 0.01852
402, 0.01852
403, 0.01852
404, 0.01852
405, 0.01852
406, 0.01852
407, 0.01852
408, 0.01852
409, 0.01852
410, 0.01852
411, 0.01852
412, 0.01852
413, 0.01852
414, 0.01903
415, 0.01990
416, 0.02020
417, 0.02020
418, 0.02020
419, 0.02029
420, 0.02086
421, 0.02168
422, 0.02271
423, 0.02410
424, 0.02526
425, 0.02590
426, 0.02643
427, 0.02716
428, 0.02832
429, 0.02967
430, 0.03089
431, 0.03199
432, 0.03329
433, 0.03525
434, 0.03792
435, 0.04041
436, 0.04221
437, 0.04388
438, 0.04613
439, 0.04961
440, 0.05365
441, 0.05736
442, 0.06081
443, 0.06461
444, 0.06962
445, 0.07572
446, 0.08083
447, 0.08400
448, 0.08667
449, 0.09038
450, 0.09637
451, 0.10311
452, 0.10870
453, 0.11350
454, 0.11829
455, 0.12362
456, 0.12927
457, 0.13472
458, 0.13966
459, 0.14444
460, 0.14951
461, 0.15517
462, 0.16079
463, 0.16561
464, 0.16972
465, 0.17394
466, 0.17909
467, 0.18489
468, 0.19027
469, 0.19477
470, 0.19892
471, 0.20314
472, 0.20763
473, 0.21193
474, 0.21556
475, 0.21870
476, 0.22156
477, 0.22411
478, 0.22639
479, 0.22898
480, 0.23237
481, 0.23623
482, 0.24000
483, 0.24352
484, 0.24718
485, 0.25147
486, 0.25659
487, 0.26157
488, 0.26554
489, 0.26899
490, 0.27277
491, 0.27791
492, 0.28335
493, 0.28684
494, 0.28867
495, 0.29025
496, 0.29253
497, 0.29553
498, 0.29886
499, 0.30251
500, 0.30655
501, 0.30979
502, 0.31181
503, 0.31344
504, 0.31538
505, 0.31788
506, 0.32044
507, 0.32260
508, 0.32454
509, 0.32624
510, 0.32763
511, 0.32881
512, 0.32998
513, 0.33120
514, 0.33243
515, 0.33368
516, 0.33526
517, 0.33651
518, 0.33670
519, 0.33670
520, 0.33670
521, 0.33737
522, 0.33952
523, 0.34177
524, 0.34355
525, 0.34534
526, 0.34736
527, 0.34961
528, 0.35215
529, 0.35517
530, 0.35887
531, 0.36275
532, 0.36636
533, 0.36990
534, 0.37379
535, 0.37842
536, 0.38349
537, 0.38848
538, 0.39322
539, 0.39811
540, 0.40354
541, 0.40952
542, 0.41593
543, 0.42280
544, 0.43019
545, 0.43782
546, 0.44581
547, 0.45395
548, 0.46149
549, 0.46831
550, 0.47488
551, 0.48166
552, 0.48871
553, 0.49525
554, 0.50064
555, 0.50533
556, 0.51018
557, 0.51582
558, 0.52159
559, 0.52638
560, 0.53017
561, 0.53362
562, 0.53730
563, 0.54119
564, 0.54474
565, 0.54745
566, 0.54969
567, 0.55223
568, 0.55570
569, 0.55962
570, 0.56316
571, 0.56618
572, 0.56915
573, 0.57245
574, 0.57598
575, 0.57984
576, 0.58405
577, 0.58869
578, 0.59438
579, 0.60281
580, 0.61294
581, 0.62149
582, 0.62765
583, 0.63405
584, 0.64398
585, 0.65961
586, 0.67542
587, 0.68675
588, 0.69621
589, 0.70729
590, 0.72321
591, 0.74171
592, 0.75825
593, 0.77229
594, 0.78595
595, 0.80095
596, 0.81729
597, 0.83325
598, 0.84745
599, 0.86064
600, 0.87399
601, 0.88835
602, 0.90278
603, 0.91571
604, 0.92702
605, 0.93765
606, 0.94847
607, 0.95967
608, 0.96950
609, 0.97689
610, 0.98301
611, 0.98831
612, 0.99391
613, 0.99866
614, 1.00000
615, 1.00000
616, 1.00000
617, 0.99985
618, 0.99883
619, 0.99710
620, 0.99359
621, 0.98649
622, 0.97794
623, 0.96782
624, 0.95559
625, 0.94256
626, 0.92837
627, 0.91318
628, 0.89749
629, 0.88101
630, 0.86415
631, 0.84763
632, 0.83113
633, 0.81271
634, 0.78977
635, 0.76451
636, 0.74175
637, 0.72205
638, 0.70305
639, 0.68290
640, 0.66177
641, 0.64096
642, 0.62156
643, 0.60303
644, 0.58375
645, 0.56225
646, 0.54010
647, 0.52020
648, 0.50311
649, 0.48655
650, 0.46826
651, 0.44833
652, 0.42855
653, 0.40987
654, 0.39176
655, 0.37508
656, 0.36030
657, 0.34660
658, 0.33297
659, 0.31945
660, 0.30607
661, 0.29248
662, 0.27850
663, 0.26535
664, 0.25405
665, 0.24388
666, 0.23377
667, 0.22336
668, 0.21295
669, 0.20252
670, 0.19182
671, 0.18140
672, 0.17192
673, 0.16307
674, 0.15493
675, 0.14771
676, 0.14119
677, 0.13451
678, 0.12693
679, 0.11928
680, 0.11292
681, 0.10788
682, 0.10327
683, 0.09839
684, 0.09328
685, 0.08851
686, 0.08449
687, 0.08091
688, 0.07735
689, 0.07374
690, 0.07011
691, 0.06619
692, 0.06145
693, 0.05706
694, 0.05436
695, 0.05263
696, 0.05096
697, 0.04879
698, 0.04636
699, 0.04370
700, 0.04085
