wavelength (nanometers),power (peak normalized)
370, 0.000000
371, 0.000000
372, 0.000000
373, 0.000000
374, 0.000000
375, 0.000000
376, 0.000000
377, 0.000000
378, 0.000000
379, 0.000000
380, 0.003515
381, 0.004119
382, 0.005397
383, 0.006236
384, 0.006719
385, 0.008237
386, 0.008898
387, 0.009465
388, 0.009634
389, 0.009720
390, 0.009864
391, 0.009997
392, 0.010044
393, 0.009978
394, 0.009938
395, 0.010016
396, 0.009990
397, 0.009965
398, 0.010161
399, 0.010651
400, 0.011329
401, 0.012052
402, 0.012995
403, 0.014226
404, 0.015982
405, 0.018111
406, 0.020367
407, 0.023181
408, 0.026496
409, 0.030618
410, 0.035589
411, 0.041470
412, 0.048503
413, 0.056780
414, 0.066541
415, 0.077529
416, 0.089926
417, 0.104311
418, 0.120873
419, 0.139876
420, 0.160937
421, 0.185012
422, 0.211626
423, 0.240667
424, 0.272769
425, 0.307571
426, 0.345020
427, 0.384881
428, 0.426295
429, 0.470367
430, 0.516565
431, 0.564077
432, 0.612548
433, 0.661756
434, 0.711738
435, 0.761528
436, 0.809904
437, 0.856208
438, 0.898500
439, 0.935301
440, 0.965311
441, 0.985522
442, 0.998146
443, 1.000000
444, 0.990965
445, 0.971339
446, 0.942512
447, 0.905054
448, 0.860297
449, 0.810846
450, 0.758644
451, 0.703830
452, 0.649780
453, 0.595946
454, 0.544709
455, 0.497308
456, 0.453572
457, 0.412306
458, 0.374785
459, 0.340616
460, 0.309411
461, 0.281399
462, 0.256294
463, 0.234287
464, 0.214268
465, 0.196765
466, 0.181480
467, 0.168139
468, 0.156446
469, 0.145996
470, 0.136645
471, 0.128604
472, 0.121707
473, 0.115667
474, 0.110215
475, 0.105828
476, 0.101941
477, 0.098410
478, 0.095223
479, 0.092725
480, 0.091182
481, 0.090243
482, 0.089475
483, 0.089097
484, 0.089346
485, 0.090100
486, 0.090986
487, 0.092216
488, 0.094154
489, 0.096971
490, 0.100878
491, 0.105190
492, 0.110000
493, 0.115613
494, 0.121998
495, 0.129093
496, 0.136926
497, 0.145844
498, 0.155573
499, 0.165341
500, 0.175085
501, 0.184505
502, 0.194467
503, 0.205089
504, 0.216351
505, 0.227411
506, 0.237793
507, 0.248085
508, 0.257809
509, 0.267808
510, 0.278184
511, 0.289457
512, 0.301306
513, 0.313226
514, 0.324532
515, 0.334977
516, 0.345550
517, 0.356816
518, 0.368318
519, 0.379597
520, 0.390115
521, 0.399825
522, 0.408619
523, 0.416978
524, 0.424742
525, 0.432426
526, 0.440105
527, 0.447056
528, 0.453513
529, 0.459049
530, 0.464247
531, 0.469147
532, 0.474055
533, 0.478517
534, 0.482351
535, 0.486189
536, 0.489984
537, 0.494073
538, 0.498026
539, 0.501546
540, 0.505170
541, 0.509315
542, 0.511853
543, 0.514253
544, 0.516118
545, 0.518008
546, 0.519358
547, 0.520502
548, 0.520808
549, 0.520621
550, 0.520127
551, 0.518362
552, 0.516270
553, 0.516253
554, 0.516180
555, 0.515975
556, 0.516279
557, 0.516100
558, 0.515466
559, 0.514519
560, 0.513761
561, 0.512850
562, 0.512893
563, 0.512603
564, 0.511626
565, 0.510171
566, 0.509031
567, 0.506958
568, 0.505256
569, 0.504001
570, 0.502887
571, 0.501798
572, 0.500236
573, 0.498495
574, 0.496416
575, 0.494846
576, 0.493798
577, 0.492367
578, 0.490577
579, 0.488280
580, 0.485487
581, 0.482710
582, 0.479908
583, 0.477745
584, 0.475215
585, 0.472705
586, 0.469139
587, 0.465147
588, 0.461205
589, 0.458056
590, 0.455467
591, 0.452523
592, 0.449446
593, 0.445770
594, 0.442013
595, 0.438395
596, 0.434945
597, 0.431747
598, 0.428005
599, 0.424030
600, 0.419425
601, 0.414307
602, 0.409790
603, 0.405028
604, 0.400528
605, 0.395118
606, 0.389159
607, 0.384129
608, 0.378946
609, 0.373981
610, 0.369042
611, 0.363860
612, 0.359105
613, 0.354306
614, 0.349256
615, 0.344294
616, 0.339511
617, 0.335533
618, 0.330737
619, 0.325646
620, 0.320674
621, 0.315891
622, 0.311419
623, 0.306665
624, 0.301624
625, 0.296912
626, 0.292180
627, 0.287976
628, 0.283834
629, 0.279382
630, 0.275251
631, 0.271202
632, 0.267259
633, 0.262976
634, 0.258111
635, 0.253567
636, 0.249188
637, 0.244746
638, 0.240344
639, 0.235588
640, 0.230641
641, 0.225527
642, 0.220609
643, 0.215812
644, 0.211352
645, 0.207447
646, 0.203405
647, 0.199295
648, 0.195046
649, 0.191065
650, 0.187361
651, 0.183823
652, 0.180564
653, 0.177446
654, 0.174350
655, 0.171009
656, 0.167576
657, 0.164035
658, 0.160499
659, 0.157276
660, 0.154084
661, 0.150762
662, 0.147491
663, 0.144166
664, 0.140611
665, 0.137093
666, 0.134067
667, 0.131091
668, 0.128070
669, 0.125036
670, 0.122072
671, 0.119361
672, 0.116764
673, 0.114240
674, 0.111873
675, 0.109700
676, 0.107268
677, 0.104557
678, 0.102167
679, 0.099965
680, 0.098068
681, 0.096286
682, 0.094189
683, 0.091943
684, 0.089566
685, 0.087365
686, 0.085269
687, 0.083399
688, 0.081716
689, 0.079711
690, 0.077641
691, 0.075442
692, 0.073289
693, 0.071281
694, 0.069564
695, 0.068116
696, 0.066524
697, 0.064845
698, 0.063072
699, 0.061473
700, 0.060317
701, 0.059201
702, 0.058070
703, 0.056826
704, 0.055518
705, 0.054208
706, 0.052858
707, 0.051518
708, 0.050220
709, 0.049113
710, 0.047941
711, 0.046524
712, 0.045152
713, 0.043820
714, 0.042572
715, 0.041378
716, 0.040111
717, 0.038866
718, 0.037705
719, 0.036628
720, 0.035653
721, 0.034618
722, 0.033537
723, 0.032557
724, 0.031660
725, 0.031061
726, 0.030444
727, 0.029560
728, 0.028746
729, 0.028042
730, 0.027301
