HIVE Lighting LIFI-STA-40-02
Measured with: ,
Date measured: ,
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5305.9
XYZt: ,0.96342,1.00000,0.89337

wavelength (nanometers),power (peak normalized)
360, 0.21366
361, 0.21534
362, 0.22226
363, 0.23766
364, 0.24071
365, 0.25170
366, 0.25428
367, 0.25814
368, 0.26538
369, 0.26995
370, 0.26606
371, 0.27627
372, 0.29307
373, 0.30233
374, 0.30962
375, 0.32717
376, 0.33311
377, 0.35007
378, 0.36525
379, 0.35466
380, 0.35591
381, 0.36380
382, 0.36532
383, 0.37733
384, 0.39548
385, 0.40407
386, 0.41294
387, 0.42872
388, 0.44116
389, 0.44197
390, 0.45420
391, 0.45574
392, 0.46162
393, 0.47039
394, 0.47995
395, 0.49224
396, 0.50596
397, 0.51373
398, 0.52835
399, 0.53644
400, 0.54382
401, 0.56412
402, 0.57786
403, 0.59800
404, 0.61161
405, 0.62886
406, 0.63321
407, 0.63745
408, 0.56050
409, 0.46022
410, 0.33702
411, 0.23890
412, 0.23910
413, 0.35077
414, 0.46384
415, 0.56893
416, 0.63307
417, 0.68000
418, 0.69838
419, 0.70364
420, 0.69419
421, 0.70052
422, 0.68864
423, 0.69303
424, 0.70407
425, 0.68566
426, 0.67524
427, 0.65796
428, 0.62621
429, 0.61524
430, 0.61572
431, 0.61010
432, 0.60614
433, 0.62092
434, 0.66198
435, 0.70178
436, 0.71759
437, 0.72093
438, 0.68954
439, 0.66917
440, 0.67376
441, 0.68338
442, 0.69814
443, 0.72698
444, 0.76601
445, 0.79853
446, 0.83312
447, 0.85857
448, 0.88010
449, 0.83729
450, 0.66027
451, 0.50283
452, 0.35782
453, 0.34062
454, 0.46624
455, 0.61507
456, 0.71887
457, 0.83836
458, 0.88622
459, 0.88338
460, 0.87169
461, 0.84154
462, 0.81822
463, 0.79440
464, 0.78295
465, 0.76509
466, 0.74616
467, 0.73289
468, 0.72823
469, 0.71921
470, 0.71926
471, 0.71103
472, 0.70765
473, 0.70341
474, 0.69892
475, 0.69385
476, 0.69805
477, 0.70141
478, 0.69306
479, 0.68768
480, 0.68110
481, 0.67957
482, 0.67968
483, 0.67990
484, 0.68528
485, 0.69147
486, 0.69759
487, 0.70726
488, 0.71135
489, 0.71847
490, 0.72569
491, 0.74116
492, 0.77604
493, 0.80750
494, 0.82710
495, 0.84569
496, 0.86121
497, 0.88136
498, 0.89996
499, 0.91233
500, 0.90391
501, 0.89368
502, 0.88697
503, 0.88888
504, 0.87768
505, 0.85655
506, 0.82494
507, 0.80125
508, 0.76621
509, 0.73857
510, 0.72077
511, 0.72492
512, 0.73068
513, 0.74163
514, 0.75713
515, 0.76920
516, 0.78810
517, 0.82171
518, 0.84607
519, 0.86098
520, 0.86996
521, 0.87248
522, 0.85974
523, 0.82964
524, 0.77961
525, 0.72939
526, 0.70673
527, 0.68346
528, 0.67899
529, 0.68466
530, 0.68738
531, 0.69613
532, 0.70047
533, 0.69713
534, 0.71219
535, 0.72048
536, 0.72736
537, 0.74161
538, 0.74483
539, 0.75207
540, 0.75806
541, 0.76042
542, 0.76327
543, 0.76766
544, 0.80757
545, 0.86783
546, 0.89981
547, 0.91235
548, 0.89623
549, 0.85815
550, 0.84172
551, 0.83679
552, 0.83766
553, 0.83891
554, 0.84602
555, 0.85704
556, 0.86175
557, 0.85998
558, 0.85809
559, 0.84794
560, 0.84084
561, 0.83875
562, 0.83201
563, 0.82195
564, 0.81270
565, 0.79742
566, 0.79331
567, 0.79649
568, 0.80119
569, 0.79678
570, 0.79100
571, 0.77253
572, 0.75973
573, 0.75839
574, 0.76039
575, 0.76326
576, 0.76624
577, 0.76840
578, 0.77144
579, 0.77339
580, 0.77412
581, 0.77452
582, 0.77647
583, 0.77672
584, 0.79569
585, 0.82594
586, 0.84758
587, 0.91096
588, 0.96887
589, 0.98792
590, 1.00000
591, 0.96731
592, 0.89707
593, 0.86979
594, 0.85036
595, 0.84030
596, 0.86058
597, 0.90107
598, 0.91421
599, 0.90355
600, 0.85164
601, 0.79472
602, 0.76684
603, 0.76255
604, 0.75939
605, 0.75925
606, 0.76901
607, 0.78135
608, 0.78933
609, 0.79061
610, 0.77677
611, 0.77171
612, 0.77402
613, 0.77426
614, 0.77922
615, 0.77828
616, 0.76902
617, 0.76545
618, 0.75319
619, 0.74838
620, 0.74024
621, 0.73231
622, 0.73033
623, 0.72863
624, 0.73299
625, 0.73188
626, 0.72625
627, 0.71645
628, 0.71210
629, 0.72055
630, 0.72418
631, 0.72146
632, 0.70811
633, 0.68529
634, 0.67496
635, 0.67464
636, 0.67807
637, 0.67174
638, 0.66530
639, 0.65142
640, 0.63291
641, 0.61977
642, 0.61076
643, 0.59908
644, 0.58771
645, 0.57823
646, 0.57465
647, 0.56932
648, 0.56414
649, 0.55111
650, 0.53642
651, 0.52875
652, 0.52391
653, 0.52203
654, 0.52941
655, 0.53372
656, 0.53701
657, 0.52979
658, 0.54082
659, 0.60281
660, 0.63571
661, 0.66570
662, 0.67373
663, 0.60937
664, 0.56643
665, 0.50979
666, 0.48081
667, 0.47537
668, 0.48336
669, 0.49272
670, 0.49242
671, 0.48353
672, 0.47026
673, 0.46378
674, 0.45562
675, 0.44973
676, 0.44288
677, 0.43262
678, 0.43137
679, 0.42732
680, 0.42313
681, 0.41732
682, 0.40845
683, 0.40201
684, 0.39227
685, 0.38649
686, 0.38202
687, 0.37842
688, 0.37442
689, 0.37054
690, 0.36801
691, 0.36362
692, 0.35913
693, 0.36445
694, 0.37238
695, 0.37786
696, 0.37105
697, 0.35913
698, 0.33630
699, 0.31958
700, 0.30792
701, 0.30075
702, 0.29607
703, 0.29157
704, 0.28817
705, 0.28272
706, 0.27830
707, 0.27570
708, 0.27227
709, 0.27008
710, 0.26852
711, 0.26473
712, 0.26195
713, 0.25915
714, 0.25647
715, 0.25460
716, 0.25342
717, 0.25186
718, 0.25081
719, 0.25016
720, 0.24805
721, 0.24549
722, 0.24206
723, 0.23970
724, 0.23862
725, 0.23797
726, 0.23639
727, 0.23465
728, 0.23093
729, 0.22862
730, 0.22738
731, 0.22562
732, 0.22432
733, 0.22012
734, 0.21579
735, 0.21284
736, 0.21066
737, 0.20820
738, 0.20628
739, 0.20400
740, 0.20206
741, 0.19967
742, 0.19683
743, 0.19640
744, 0.19577
745, 0.19676
746, 0.19643
747, 0.19511
748, 0.19543
749, 0.19453
750, 0.19476
751, 0.19360
752, 0.19049
753, 0.18999
754, 0.20508
755, 0.22482
756, 0.23837
757, 0.24715
758, 0.23748
759, 0.22905
760, 0.22288
761, 0.21871
762, 0.21747
763, 0.21638
764, 0.21632
765, 0.22389
766, 0.23186
767, 0.23869
768, 0.24839
769, 0.24725
770, 0.24786
771, 0.24873
772, 0.23469
773, 0.22033
774, 0.20010
775, 0.18937
776, 0.18152
777, 0.17460
778, 0.16749
779, 0.16163
780, 0.16171
781, 0.17332
782, 0.18195
783, 0.18820
784, 0.18496
785, 0.17266
786, 0.16275
787, 0.15487
788, 0.15098
789, 0.14883
790, 0.14162
791, 0.13619
792, 0.12990
793, 0.13024
794, 0.13134
795, 0.13296
796, 0.13538
797, 0.13654
798, 0.13739
799, 0.13322
800, 0.13114
801, 0.12870
802, 0.12675
803, 0.12808
804, 0.12704
805, 0.12438
806, 0.12388
807, 0.12302
808, 0.13228
809, 0.16749
810, 0.18061
811, 0.17986
812, 0.15712
813, 0.13330
814, 0.12214
815, 0.11996
816, 0.12056
817, 0.12187
818, 0.12188
819, 0.11744
820, 0.11616
821, 0.11346
822, 0.11255
823, 0.11174
824, 0.10916
825, 0.10914
826, 0.10822
827, 0.11000
828, 0.10752
829, 0.10898
830, 0.10829
831, 0.10779
832, 0.10981
833, 0.11038
834, 0.11030
835, 0.10681
836, 0.10561
837, 0.10298
838, 0.10336
839, 0.10595
840, 0.10612
841, 0.10630
