HIVE Plasma w/ full CTO
Measured with: ,AMPAS PR-705
Date measured: ,03/31/2011
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,2791.8
XYZt: ,1.09967,1.00000,0.31565

wavelength (nanometers),power (peak normalized)
380, 0.21123
382, 0.17408
384, 0.18202
386, 0.18868
388, 0.21772
390, 0.19598
392, 0.20960
394, 0.18251
396, 0.19906
398, 0.18462
400, 0.17375
402, 0.17894
404, 0.16124
406, 0.15918
408, 0.13662
410, 0.11145
412, 0.08639
414, 0.09252
416, 0.10693
418, 0.11898
420, 0.11705
422, 0.11460
424, 0.10143
426, 0.09484
428, 0.09336
430, 0.09473
432, 0.09833
434, 0.10496
436, 0.10904
438, 0.10775
440, 0.10054
442, 0.09262
444, 0.08488
446, 0.07531
448, 0.06629
450, 0.05349
452, 0.04727
454, 0.05498
456, 0.07998
458, 0.11449
460, 0.16434
462, 0.21058
464, 0.25114
466, 0.29299
468, 0.32982
470, 0.35967
472, 0.38368
474, 0.40234
476, 0.41402
478, 0.42018
480, 0.42408
482, 0.42278
484, 0.42992
486, 0.43705
488, 0.44160
490, 0.45003
492, 0.47291
494, 0.49335
496, 0.50860
498, 0.52385
500, 0.53034
502, 0.52401
504, 0.50146
506, 0.48021
508, 0.45279
510, 0.43008
512, 0.41872
514, 0.41596
516, 0.42472
518, 0.43170
520, 0.44014
522, 0.42197
524, 0.40526
526, 0.38920
528, 0.38465
530, 0.39293
532, 0.41126
534, 0.42894
536, 0.44727
538, 0.46950
540, 0.48167
542, 0.50130
544, 0.53180
546, 0.54964
548, 0.55289
550, 0.53715
552, 0.51785
554, 0.51330
556, 0.51184
558, 0.51006
560, 0.50568
562, 0.50762
564, 0.51233
566, 0.52807
568, 0.54526
570, 0.56489
572, 0.58858
574, 0.61924
576, 0.65915
578, 0.69841
580, 0.73199
582, 0.77060
584, 0.82106
586, 0.88822
588, 0.93884
590, 0.96042
592, 0.95685
594, 0.97128
596, 1.00000
598, 0.99903
600, 0.97567
602, 0.94095
604, 0.92034
606, 0.93073
608, 0.94371
610, 0.95003
612, 0.95360
614, 0.95182
616, 0.94776
618, 0.93705
620, 0.92294
622, 0.91499
624, 0.90931
626, 0.90655
628, 0.90655
630, 0.89698
632, 0.88822
634, 0.87476
636, 0.86145
638, 0.84199
640, 0.81716
642, 0.79250
644, 0.77482
646, 0.75746
648, 0.73799
650, 0.71690
652, 0.71512
654, 0.71577
656, 0.72907
658, 0.76184
660, 0.78877
662, 0.78650
664, 0.73475
666, 0.68965
668, 0.67229
670, 0.66661
672, 0.65104
674, 0.62768
676, 0.61518
678, 0.60350
680, 0.59150
682, 0.57511
684, 0.56067
686, 0.54656
688, 0.53423
690, 0.52953
692, 0.53666
694, 0.52417
696, 0.51055
698, 0.48670
700, 0.45831
702, 0.43576
704, 0.42326
706, 0.41418
708, 0.40331
710, 0.39536
712, 0.38887
714, 0.38222
716, 0.37638
718, 0.37297
720, 0.37103
722, 0.36746
724, 0.36064
726, 0.35594
728, 0.35107
730, 0.34799
732, 0.33793
734, 0.33063
736, 0.32252
738, 0.31830
740, 0.31424
742, 0.31116
744, 0.30954
746, 0.30467
748, 0.30581
750, 0.30354
752, 0.30273
754, 0.32219
756, 0.34831
758, 0.35934
760, 0.35545
762, 0.34101
764, 0.33517
766, 0.33063
768, 0.32787
770, 0.33323
772, 0.32998
774, 0.32106
776, 0.29981
778, 0.27774
780, 0.27141
