Dedolight 650W Tungsten
Measured with: ,PR-705
Date measured: ,08-18-2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3207.6
XYZt: ,1.05247,1.00000,0.42311

wavelength (nanometers),power (peak normalized)
380, 0.06677
382, 0.05946
384, 0.06096
386, 0.06877
388, 0.08258
390, 0.07908
392, 0.08879
394, 0.08438
396, 0.09219
398, 0.09570
400, 0.09870
402, 0.11311
404, 0.11512
406, 0.12813
408, 0.12813
410, 0.13814
412, 0.13714
414, 0.14515
416, 0.15015
418, 0.15516
420, 0.16016
422, 0.17017
424, 0.17317
426, 0.17818
428, 0.18619
430, 0.19419
432, 0.19920
434, 0.20420
436, 0.21221
438, 0.21622
440, 0.21922
442, 0.22623
444, 0.23323
446, 0.23924
448, 0.24725
450, 0.25025
452, 0.25826
454, 0.26226
456, 0.26827
458, 0.27427
460, 0.28228
462, 0.29029
464, 0.29530
466, 0.30430
468, 0.30731
470, 0.31431
472, 0.32132
474, 0.33033
476, 0.33634
478, 0.34334
480, 0.35035
482, 0.35736
484, 0.36637
486, 0.37437
488, 0.37838
490, 0.38438
492, 0.39439
494, 0.40240
496, 0.40440
498, 0.41542
500, 0.42543
502, 0.43043
504, 0.43443
506, 0.44244
508, 0.44945
510, 0.45546
512, 0.46847
514, 0.47147
516, 0.48048
518, 0.48949
520, 0.49850
522, 0.50250
524, 0.50951
526, 0.51852
528, 0.52653
530, 0.53453
532, 0.54254
534, 0.54855
536, 0.55556
538, 0.56557
540, 0.57057
542, 0.57658
544, 0.58659
546, 0.59259
548, 0.59760
550, 0.60561
552, 0.61161
554, 0.61962
556, 0.62563
558, 0.63363
560, 0.63964
562, 0.64665
564, 0.65265
566, 0.66066
568, 0.66767
570, 0.67267
572, 0.68068
574, 0.68669
576, 0.69369
578, 0.70070
580, 0.70470
582, 0.70971
584, 0.71471
586, 0.72372
588, 0.73273
590, 0.73674
592, 0.74074
594, 0.74675
596, 0.75576
598, 0.75876
600, 0.76376
602, 0.77077
604, 0.77377
606, 0.78378
608, 0.79179
610, 0.79379
612, 0.80080
614, 0.80380
616, 0.81081
618, 0.81882
620, 0.82182
622, 0.82583
624, 0.82883
626, 0.83483
628, 0.83984
630, 0.84685
632, 0.85285
634, 0.85786
636, 0.86486
638, 0.86587
640, 0.87087
642, 0.87588
644, 0.88288
646, 0.88889
648, 0.89289
650, 0.89489
652, 0.90290
654, 0.90691
656, 0.90891
658, 0.91091
660, 0.91592
662, 0.92092
664, 0.92593
666, 0.93293
668, 0.93994
670, 0.94194
672, 0.94294
674, 0.94294
676, 0.94995
678, 0.95696
680, 0.95796
682, 0.95696
684, 0.96096
686, 0.96396
688, 0.96396
690, 0.97197
692, 0.97598
694, 0.97197
696, 0.97397
698, 0.97898
700, 0.98298
702, 0.98398
704, 0.98699
706, 0.99199
708, 0.99499
710, 0.98599
712, 0.99600
714, 1.00000
716, 0.99299
718, 0.99399
720, 0.99800
722, 0.99600
724, 0.99299
726, 0.99499
728, 0.99600
730, 0.99399
732, 0.98799
734, 0.98799
736, 0.97898
738, 0.98498
740, 0.98198
742, 0.97598
744, 0.97097
746, 0.96096
748, 0.96296
750, 0.95796
752, 0.95095
754, 0.94995
756, 0.93594
758, 0.92793
760, 0.92392
762, 0.90891
764, 0.90991
766, 0.90190
768, 0.89289
770, 0.88589
772, 0.87487
774, 0.86486
776, 0.85786
778, 0.84785
780, 0.83784
