Solux 3200K
Measured with: ,PR-705
Date measured: ,unknown
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,3203.0
XYZt: ,1.05376,1.00000,0.42454

wavelength (nanometers),power (peak normalized)
380, 0.09244
382, 0.07924
384, 0.08227
386, 0.09076
388, 0.10168
390, 0.09916
392, 0.11008
394, 0.10420
396, 0.11513
398, 0.11513
400, 0.12185
402, 0.13529
404, 0.13697
406, 0.15042
408, 0.15126
410, 0.16218
412, 0.16218
414, 0.16975
416, 0.17731
418, 0.18067
420, 0.18908
422, 0.20000
424, 0.20168
426, 0.20672
428, 0.21513
430, 0.22269
432, 0.22941
434, 0.23529
436, 0.24454
438, 0.24958
440, 0.25462
442, 0.26303
444, 0.27143
446, 0.27815
448, 0.28655
450, 0.29076
452, 0.29916
454, 0.30420
456, 0.31176
458, 0.31765
460, 0.32689
462, 0.33529
464, 0.34202
466, 0.35126
468, 0.35546
470, 0.36303
472, 0.37143
474, 0.37983
476, 0.38655
478, 0.39412
480, 0.40252
482, 0.40924
484, 0.42017
486, 0.43109
488, 0.43613
490, 0.44202
492, 0.45294
494, 0.46134
496, 0.46471
498, 0.47731
500, 0.48992
502, 0.49580
504, 0.50084
506, 0.51008
508, 0.51933
510, 0.52521
512, 0.53866
514, 0.54370
516, 0.55210
518, 0.56134
520, 0.57227
522, 0.57647
524, 0.58487
526, 0.59412
528, 0.60336
530, 0.61176
532, 0.62101
534, 0.62689
536, 0.63445
538, 0.64706
540, 0.65210
542, 0.65966
544, 0.66975
546, 0.67731
548, 0.68403
550, 0.69412
552, 0.70084
554, 0.70924
556, 0.71681
558, 0.72605
560, 0.73193
562, 0.74118
564, 0.74874
566, 0.75882
568, 0.76639
570, 0.77395
572, 0.78403
574, 0.79412
576, 0.80168
578, 0.81092
580, 0.81765
582, 0.82437
584, 0.83109
586, 0.84034
588, 0.85714
590, 0.85714
592, 0.86555
594, 0.87395
596, 0.88235
598, 0.89076
600, 0.89916
602, 0.90756
604, 0.90756
606, 0.92437
608, 0.93277
610, 0.93277
612, 0.94118
614, 0.94118
616, 0.94958
618, 0.95798
620, 0.96639
622, 0.96639
624, 0.96639
626, 0.97479
628, 0.97479
630, 0.98319
632, 0.99160
634, 0.99160
636, 0.99160
638, 0.99160
640, 1.00000
642, 1.00000
644, 1.00000
646, 1.00000
648, 1.00000
650, 1.00000
652, 1.00000
654, 0.99160
656, 0.99160
658, 0.98319
660, 0.98319
662, 0.98319
664, 0.98319
666, 0.97479
668, 0.97479
670, 0.96639
672, 0.95798
674, 0.94958
676, 0.94958
678, 0.94118
680, 0.94118
682, 0.92437
684, 0.92437
686, 0.91597
688, 0.90756
690, 0.89916
692, 0.89916
694, 0.88235
696, 0.87395
698, 0.87395
700, 0.86555
702, 0.85714
704, 0.84874
706, 0.84874
708, 0.84034
710, 0.83025
712, 0.83025
714, 0.82437
716, 0.81345
718, 0.80756
720, 0.80672
722, 0.80168
724, 0.79244
726, 0.78908
728, 0.78655
730, 0.78067
732, 0.77395
734, 0.76975
736, 0.76134
738, 0.76555
740, 0.75966
742, 0.75546
744, 0.75042
746, 0.74202
748, 0.74370
750, 0.73782
752, 0.73277
754, 0.73445
756, 0.72605
758, 0.72017
760, 0.72101
762, 0.71261
764, 0.71429
766, 0.71176
768, 0.70420
770, 0.70084
772, 0.69496
774, 0.69160
776, 0.68655
778, 0.68319
780, 0.67395
