ARRI Xenon SkyPanel21
Measured with: ,PR-705
Date measured: ,08-19-2010
File generated on: ,July 31,2012 11:31:40 PM

CCT: ,5160.1
XYZt: ,1.00841,1.00000,0.95684

wavelength (nanometers),power (peak normalized)
380, 0.03970
382, 0.01721
384, 0.03294
386, 0.01761
388, 0.03483
390, 0.03721
392, 0.02597
394, 0.04100
396, 0.04881
398, 0.05871
400, 0.07413
402, 0.09851
404, 0.12637
406, 0.16915
408, 0.20945
410, 0.27015
412, 0.31343
414, 0.38109
416, 0.44527
418, 0.51741
420, 0.58706
422, 0.66667
424, 0.71642
426, 0.77114
428, 0.82587
430, 0.88060
432, 0.91542
434, 0.94030
436, 0.98010
438, 0.98507
440, 0.98507
442, 0.99502
444, 1.00000
446, 0.99502
448, 0.99005
450, 0.96517
452, 0.95025
454, 0.92537
456, 0.90547
458, 0.88060
460, 0.85572
462, 0.83085
464, 0.80100
466, 0.78109
468, 0.74129
470, 0.71642
472, 0.69652
474, 0.67662
476, 0.65174
478, 0.63184
480, 0.61692
482, 0.59701
484, 0.59701
486, 0.58706
488, 0.57711
490, 0.57711
492, 0.58209
494, 0.58706
496, 0.59204
498, 0.61194
500, 0.62687
502, 0.64179
504, 0.66169
506, 0.68159
508, 0.70149
510, 0.72637
512, 0.75622
514, 0.77114
516, 0.79104
518, 0.81095
520, 0.83582
522, 0.84080
524, 0.85572
526, 0.87065
528, 0.88060
530, 0.89055
532, 0.89055
534, 0.89552
536, 0.89552
538, 0.90547
540, 0.90547
542, 0.90050
544, 0.91045
546, 0.90547
548, 0.90050
550, 0.89552
552, 0.89055
554, 0.88557
556, 0.88060
558, 0.88060
560, 0.87562
562, 0.87065
564, 0.86070
566, 0.86567
568, 0.86070
570, 0.85572
572, 0.86070
574, 0.85572
576, 0.85572
578, 0.86070
580, 0.85572
582, 0.86070
584, 0.86070
586, 0.87065
588, 0.87562
590, 0.88060
592, 0.88557
594, 0.89055
596, 0.90050
598, 0.90547
600, 0.91045
602, 0.92040
604, 0.92537
606, 0.93035
608, 0.94030
610, 0.94527
612, 0.94527
614, 0.94030
616, 0.94030
618, 0.93532
620, 0.92537
622, 0.91045
624, 0.89552
626, 0.88557
628, 0.87065
630, 0.85572
632, 0.84080
634, 0.82090
636, 0.80597
638, 0.77612
640, 0.75622
642, 0.73632
644, 0.71642
646, 0.69154
648, 0.67164
650, 0.64179
652, 0.62687
654, 0.60199
656, 0.57214
658, 0.55224
660, 0.53234
662, 0.50746
664, 0.49005
666, 0.46766
668, 0.45323
670, 0.43184
672, 0.41095
674, 0.39453
676, 0.37214
678, 0.35672
680, 0.33881
682, 0.32637
684, 0.30995
686, 0.29502
688, 0.27960
690, 0.26567
692, 0.26269
694, 0.24179
696, 0.23483
698, 0.22289
700, 0.21294
702, 0.20348
704, 0.19353
706, 0.18507
708, 0.17264
710, 0.16219
712, 0.15970
714, 0.15124
716, 0.14527
718, 0.14030
720, 0.13532
722, 0.13532
724, 0.12488
726, 0.12090
728, 0.11642
730, 0.11045
732, 0.11194
734, 0.10647
736, 0.10199
738, 0.09552
740, 0.09552
742, 0.09055
744, 0.07960
746, 0.08259
748, 0.07861
750, 0.07015
752, 0.07264
754, 0.07065
756, 0.06020
758, 0.06816
760, 0.06816
762, 0.06468
764, 0.04766
766, 0.06965
768, 0.05423
770, 0.05224
772, 0.05970
774, 0.05174
776, 0.05274
778, 0.04672
780, 0.05075
