wavelength (nanometers),power (peak normalized)
370, 0.000000
371, 0.000000
372, 0.000000
373, 0.000000
374, 0.000000
375, 0.000000
376, 0.000000
377, 0.000000
378, 0.000000
379, 0.000000
380, 0.028273
381, 0.027098
382, 0.025755
383, 0.024375
384, 0.023566
385, 0.027942
386, 0.027419
387, 0.027759
388, 0.027891
389, 0.028027
390, 0.028049
391, 0.029645
392, 0.030859
393, 0.030219
394, 0.034363
395, 0.044302
396, 0.062943
397, 0.087213
398, 0.115970
399, 0.147377
400, 0.180161
401, 0.209373
402, 0.232323
403, 0.247706
404, 0.259083
405, 0.263017
406, 0.259753
407, 0.246599
408, 0.226393
409, 0.200301
410, 0.171334
411, 0.140776
412, 0.113332
413, 0.089626
414, 0.072906
415, 0.061182
416, 0.053730
417, 0.048758
418, 0.045187
419, 0.042551
420, 0.040772
421, 0.039038
422, 0.038313
423, 0.039419
424, 0.045643
425, 0.057438
426, 0.086451
427, 0.129177
428, 0.187020
429, 0.249381
430, 0.315536
431, 0.379850
432, 0.439692
433, 0.487617
434, 0.520330
435, 0.535919
436, 0.542290
437, 0.525938
438, 0.492244
439, 0.442681
440, 0.388108
441, 0.326483
442, 0.265153
443, 0.208568
444, 0.162816
445, 0.130550
446, 0.110338
447, 0.092442
448, 0.078354
449, 0.067915
450, 0.058693
451, 0.049835
452, 0.043766
453, 0.039492
454, 0.036186
455, 0.034170
456, 0.030505
457, 0.026521
458, 0.023828
459, 0.022802
460, 0.022326
461, 0.021083
462, 0.020259
463, 0.020404
464, 0.020246
465, 0.019375
466, 0.016641
467, 0.015109
468, 0.016405
469, 0.017451
470, 0.017933
471, 0.017731
472, 0.017937
473, 0.019238
474, 0.019872
475, 0.019407
476, 0.018600
477, 0.018371
478, 0.019773
479, 0.019629
480, 0.020708
481, 0.022368
482, 0.024140
483, 0.024749
484, 0.023363
485, 0.025038
486, 0.028032
487, 0.029700
488, 0.031269
489, 0.031381
490, 0.031734
491, 0.030880
492, 0.029809
493, 0.028614
494, 0.028422
495, 0.028731
496, 0.025346
497, 0.023104
498, 0.022708
499, 0.022083
500, 0.021639
501, 0.019858
502, 0.019534
503, 0.019777
504, 0.017679
505, 0.015982
506, 0.016020
507, 0.016800
508, 0.016392
509, 0.016058
510, 0.016503
511, 0.016391
512, 0.017173
513, 0.016946
514, 0.016210
515, 0.018094
516, 0.019198
517, 0.019478
518, 0.020838
519, 0.021139
520, 0.020180
521, 0.020412
522, 0.022112
523, 0.022028
524, 0.021786
525, 0.023017
526, 0.023545
527, 0.024145
528, 0.025665
529, 0.026310
530, 0.027334
531, 0.029777
532, 0.031598
533, 0.035184
534, 0.042169
535, 0.059684
536, 0.092765
537, 0.185165
538, 0.296971
539, 0.425393
540, 0.549631
541, 0.677426
542, 0.785926
543, 0.884803
544, 0.951186
545, 0.992725
546, 1.000000
547, 0.991385
548, 0.917800
549, 0.824760
550, 0.708994
551, 0.595888
552, 0.476857
553, 0.374527
554, 0.279625
555, 0.212799
556, 0.170421
557, 0.150557
558, 0.129558
559, 0.113932
560, 0.098085
561, 0.086581
562, 0.075675
563, 0.068315
564, 0.064569
565, 0.066712
566, 0.079725
567, 0.101085
568, 0.155284
569, 0.232793
570, 0.333243
571, 0.449756
572, 0.564590
573, 0.672712
574, 0.767616
575, 0.838607
576, 0.889179
577, 0.910821
578, 0.910828
579, 0.867813
580, 0.797484
581, 0.705414
582, 0.597800
583, 0.490349
584, 0.394036
585, 0.310252
586, 0.251624
587, 0.208867
588, 0.185697
589, 0.173348
590, 0.171112
591, 0.170804
592, 0.168714
593, 0.163989
594, 0.159267
595, 0.148293
596, 0.139109
597, 0.128842
598, 0.117430
599, 0.106460
600, 0.100008
601, 0.095602
602, 0.094737
603, 0.097399
604, 0.105160
605, 0.123178
606, 0.149026
607, 0.185022
608, 0.227404
609, 0.280712
610, 0.347161
611, 0.424097
612, 0.493519
613, 0.560781
614, 0.613306
615, 0.659508
616, 0.685743
617, 0.696980
618, 0.683347
619, 0.655574
620, 0.611780
621, 0.559127
622, 0.489985
623, 0.423163
624, 0.355380
625, 0.301540
626, 0.249833
627, 0.207652
628, 0.174591
629, 0.153351
630, 0.137607
631, 0.127410
632, 0.112572
633, 0.100688
634, 0.093885
635, 0.086755
636, 0.076888
637, 0.069160
638, 0.063492
639, 0.059505
640, 0.057126
641, 0.056397
642, 0.055617
643, 0.054367
644, 0.053425
645, 0.051611
646, 0.051287
647, 0.052464
648, 0.053910
649, 0.054956
650, 0.053838
651, 0.052018
652, 0.049123
653, 0.047218
654, 0.046253
655, 0.044298
656, 0.042299
657, 0.041357
658, 0.039339
659, 0.035816
660, 0.032788
661, 0.030364
662, 0.029707
663, 0.029580
664, 0.029587
665, 0.029122
666, 0.027581
667, 0.026816
668, 0.026177
669, 0.024671
670, 0.023760
671, 0.025604
672, 0.027700
673, 0.026896
674, 0.025479
675, 0.023741
676, 0.022237
677, 0.021642
678, 0.021070
679, 0.020041
680, 0.022120
681, 0.025222
682, 0.025861
683, 0.026211
684, 0.027454
685, 0.029976
686, 0.033490
687, 0.037834
688, 0.044264
689, 0.056303
690, 0.070610
691, 0.085897
692, 0.101472
693, 0.117420
694, 0.134497
695, 0.153013
696, 0.168911
697, 0.183318
698, 0.193922
699, 0.202499
700, 0.205280
701, 0.202241
702, 0.193662
703, 0.183617
704, 0.171705
705, 0.157059
706, 0.140072
707, 0.124497
708, 0.109130
709, 0.096878
710, 0.084994
711, 0.072352
712, 0.062113
713, 0.054627
714, 0.047589
715, 0.041475
716, 0.037083
717, 0.034132
718, 0.031934
719, 0.030767
720, 0.030369
721, 0.030962
722, 0.032379
723, 0.034776
724, 0.038153
725, 0.041812
726, 0.045854
727, 0.049856
728, 0.052523
729, 0.053074
730, 0.053650
